round_id,instance_id,M,Q,scenario,arm,original_run_id,repeat_run_id,original_certificate,repeat_certificate,certificate_equal,original_certificate_time_seconds,repeat_certificate_time_seconds,certificate_time_ratio_repeat_over_original,original_verified_objective,repeat_verified_objective,objective_absolute_delta,objective_equal,original_work,repeat_work,work_ratio_repeat_over_original,lifecycle_valid,hga_trajectory_exact,target_sequence_exact,split_sequence_exact,repeatability_valid
33,round33_v10_high_imbalance_M1_Q20_seed2098545008,1,20,high_imbalance,C6-FROZEN,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__3600s,stage3__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__repeat1__3600s,True,True,True,4.8166641,4.7211363,0.9801672281859972,2.4593376173848993,2.4593376173848993,0.0,True,1.1997266723761215,1.1997266723761215,1.0,True,True,True,True,True
33,round33_v10_high_imbalance_M1_Q20_seed2098545008,1,20,high_imbalance,P-GRB,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__p_grb__3600s,stage3__round33_v10_high_imbalance_M1_Q20_seed2098545008__p_grb__repeat1__3600s,True,True,True,0.8440135,0.8380358,0.9929175303475596,2.4593376173848993,2.4593376173848993,0.0,True,0.8902689553420533,0.8902689553420533,1.0,True,not_applicable,not_applicable,not_applicable,True
33,round33_v10_high_imbalance_M3_Q30_seed1765289896,3,30,high_imbalance,C6-FROZEN,stage1__round33_v10_high_imbalance_M3_Q30_seed1765289896__c6_frozen__3600s,stage3__round33_v10_high_imbalance_M3_Q30_seed1765289896__c6_frozen__repeat1__3600s,True,True,True,77.0638877,76.870894,0.9974956661834751,1.0059157404995958,1.0059157404995958,0.0,True,140.86603909164785,140.86603909164785,1.0,True,True,True,True,True
33,round33_v10_high_imbalance_M3_Q30_seed1765289896,3,30,high_imbalance,P-GRB,stage1__round33_v10_high_imbalance_M3_Q30_seed1765289896__p_grb__3600s,stage3__round33_v10_high_imbalance_M3_Q30_seed1765289896__p_grb__repeat1__3600s,True,True,True,2528.0842596,2526.6840792,0.9994461496310166,1.0059157404995958,1.0059157404995958,0.0,True,3864.9041648744687,3864.9041648744687,1.0,True,not_applicable,not_applicable,not_applicable,True
33,round33_v10_moderate_M1_Q30_seed82526096,1,30,moderate,C6-FROZEN,stage1__round33_v10_moderate_M1_Q30_seed82526096__c6_frozen__3600s,stage3__round33_v10_moderate_M1_Q30_seed82526096__c6_frozen__repeat1__3600s,True,True,True,3.8912537,3.8741356,0.9956008779381308,0.5780151685284923,0.5780151685284923,0.0,True,0.5300196170250036,0.5300196170250036,1.0,True,True,True,True,True
33,round33_v10_moderate_M1_Q30_seed82526096,1,30,moderate,P-GRB,stage1__round33_v10_moderate_M1_Q30_seed82526096__p_grb__3600s,stage3__round33_v10_moderate_M1_Q30_seed82526096__p_grb__repeat1__3600s,True,True,True,2.5684964,2.5869343,1.0071784799854109,0.5780151685284923,0.5780151685284923,0.0,True,3.2283695267533035,3.2283695267533035,1.0,True,not_applicable,not_applicable,not_applicable,True
33,round33_v10_moderate_M2_Q20_seed1118884127,2,20,moderate,C6-FROZEN,stage1__round33_v10_moderate_M2_Q20_seed1118884127__c6_frozen__3600s,stage3__round33_v10_moderate_M2_Q20_seed1118884127__c6_frozen__repeat1__3600s,True,True,True,4.4821829,4.5427818,1.0135199525213485,0.007531475161479737,0.007531475161479737,0.0,True,2.393012442697036,2.393012442697036,1.0,True,True,True,True,True
33,round33_v10_moderate_M2_Q20_seed1118884127,2,20,moderate,P-GRB,stage1__round33_v10_moderate_M2_Q20_seed1118884127__p_grb__3600s,stage3__round33_v10_moderate_M2_Q20_seed1118884127__p_grb__repeat1__3600s,True,True,True,13.6838016,13.7420616,1.004257588768314,0.007531475161479737,0.007531475161479737,0.0,True,17.94329425954024,17.94329425954024,1.0,True,not_applicable,not_applicable,not_applicable,True
33,round33_v10_tight_T_M2_Q30_seed1783646009,2,30,tight_T,C6-FROZEN,stage1__round33_v10_tight_T_M2_Q30_seed1783646009__c6_frozen__3600s,stage3__round33_v10_tight_T_M2_Q30_seed1783646009__c6_frozen__repeat1__3600s,True,True,True,9.9449315,9.9126007,0.9967490173260621,0.5536761744384507,0.5536761744384507,0.0,True,12.484572065419147,12.484572065419147,1.0,True,True,True,True,True
33,round33_v10_tight_T_M2_Q30_seed1783646009,2,30,tight_T,P-GRB,stage1__round33_v10_tight_T_M2_Q30_seed1783646009__p_grb__3600s,stage3__round33_v10_tight_T_M2_Q30_seed1783646009__p_grb__repeat1__3600s,True,True,True,21.6237976,21.6955048,1.0033161242685698,0.5536761744384507,0.5536761744384507,0.0,True,31.903393917007364,31.903393917007364,1.0,True,not_applicable,not_applicable,not_applicable,True
33,round33_v10_tight_T_M3_Q20_seed284843780,3,20,tight_T,C6-FROZEN,stage1__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__3600s,stage3__round33_v10_tight_T_M3_Q20_seed284843780__c6_frozen__repeat1__3600s,True,True,True,11.8910776,12.0052815,1.0096041674137255,1.2467213755892614,1.2467213755892614,0.0,True,16.528954100150106,16.528954100150106,1.0,True,True,True,True,True
33,round33_v10_tight_T_M3_Q20_seed284843780,3,20,tight_T,P-GRB,stage1__round33_v10_tight_T_M3_Q20_seed284843780__p_grb__3600s,stage3__round33_v10_tight_T_M3_Q20_seed284843780__p_grb__repeat1__3600s,True,True,True,223.5160808,223.931477,1.0018584622570028,1.2467213755892614,1.2467213755892614,0.0,True,379.15405513889505,379.15405513889505,1.0,True,not_applicable,not_applicable,not_applicable,True
