M,pairs,p_grb_certificates,c6_certificates,both_certified,c6_time_wins,p_grb_time_wins,time_ties,unresolved,median_speedup_p_over_c6,shifted_geomean_p_grb_seconds,shifted_geomean_c6_seconds,geomean_shift_seconds
1,6,6,6,6,0,6,0,0,0.36627085003799775,1.2415034898606927,3.142276542545349,1.0
2,6,6,6,6,6,0,0,0,2.4940821210413464,37.73438395592242,15.622487883430225,1.0
3,6,6,6,6,4,2,0,0,1.724781796244307,39.7291947859434,15.204976470091559,1.0
