round_id,stage_id,instance_id,instance_sha256,serial_order,probe_seconds,frozen_before_fingerprint_results
33,stage0_fingerprint,round33_v10_high_imbalance_M1_Q20_seed2098545008,004097e7f1323ed8d5a8877b3c1f07e34a2284909502a3f156285dc92fd528ec,1,0.001,True
33,stage0_fingerprint,round33_v10_moderate_M1_Q20_seed256070676,2a320d901944a0e94d3a611f247ac934f4d39191fc4fe292cb9cb9cf90033cb2,2,0.001,True
33,stage0_fingerprint,round33_v10_tight_T_M1_Q20_seed1215342007,266306777768989f0b637956442c10392a3f004f1d0271e90f7ea4d1f817b4c9,3,0.001,True
33,stage0_fingerprint,round33_v10_high_imbalance_M1_Q30_seed289447508,798703a65382aa0b41c3dcef9a08c94b1578e58d015f9692f6c36c804d985992,4,0.001,True
33,stage0_fingerprint,round33_v10_moderate_M1_Q30_seed82526096,67647350f3af104da697ca5f8dd541d549104dfee28ab189d64ee567562949c7,5,0.001,True
33,stage0_fingerprint,round33_v10_tight_T_M1_Q30_seed1122319721,47b804c11f21432aaefcef45c794e2e0d20794e82c4b9a4d6a990b127f69b446,6,0.001,True
33,stage0_fingerprint,round33_v10_high_imbalance_M2_Q20_seed1719879984,2087cd04dc30960beb98aad7c3b4f684b27be61df137cfc0cf53c581714e42d7,7,0.001,True
33,stage0_fingerprint,round33_v10_moderate_M2_Q20_seed1118884127,fdc524808524a79c87d04832a5b56653c00691ceab53b57f44568238bd3bc7b8,8,0.001,True
33,stage0_fingerprint,round33_v10_tight_T_M2_Q20_seed2085634706,b840b83be09662046b996765fa93b354ee533e358804527e2a2e38c1a081dd94,9,0.001,True
33,stage0_fingerprint,round33_v10_high_imbalance_M2_Q30_seed1244253498,dd0712ca30710c310b16f44976eead292788a7de9f89c2ba77b08bd81e1a2933,10,0.001,True
33,stage0_fingerprint,round33_v10_moderate_M2_Q30_seed763364383,dc2ea2ddd924bc513aa68548c517fffd5a7f12979960c4d446825b6eb89a028b,11,0.001,True
33,stage0_fingerprint,round33_v10_tight_T_M2_Q30_seed1783646009,ebbf8deb0a83cd7c26dbbbc9b30fd62e6b762f83a2d905d1f2acf5f9f434e997,12,0.001,True
33,stage0_fingerprint,round33_v10_high_imbalance_M3_Q20_seed434104496,3166610006cbf4d23b08a693dd0742b02f1c82391fc4de2c6b85e02811769dd4,13,0.001,True
33,stage0_fingerprint,round33_v10_moderate_M3_Q20_seed935682861,8472af5eb9eed0b5049b6dcab6939e877d2386dd4538fbca94ca7068bf4692a4,14,0.001,True
33,stage0_fingerprint,round33_v10_tight_T_M3_Q20_seed284843780,dfd0641e6a17f92a284f67ec4ad0eae705f34ce20137ac1ee334aeda5178922f,15,0.001,True
33,stage0_fingerprint,round33_v10_high_imbalance_M3_Q30_seed1765289896,e594c99b4ec65eafc53e54f924183ebb3c44108042ddecbb4034f7ea4473a7d0,16,0.001,True
33,stage0_fingerprint,round33_v10_moderate_M3_Q30_seed2031960658,ea55deb137102f25663ced62fed3b4493452a5d59e15ab65886690cff9869b4e,17,0.001,True
33,stage0_fingerprint,round33_v10_tight_T_M3_Q30_seed1796239044,799307906a90a9d38d4607f57a461f1a63a69dac9ffdd64582c6a3fb79c98aac,18,0.001,True
33,stage0_fingerprint,V12_M1,e395cfef336d3407a65f04d7e201aa29ac844a08aff25d1991ce6983e5e9508d,19,0.001,True
33,stage0_fingerprint,V12_M2,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,20,0.001,True
