round_id,stage_id,run_id,instance_id,V,M,Q,scenario,arm,nominal_process_cap_seconds,actual_process_cap_seconds,shutdown_margin_seconds,emergency_watchdog_seconds,repetition,serial_order,frozen_before_stage1_results
33,stage1,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__p_grb__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,P-GRB,3600,3600,15,3690,primary,1,True
33,stage1,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,C6-FROZEN,3600,3600,15,3690,primary,2,True
33,stage1,stage1__round33_v10_moderate_M1_Q20_seed256070676__p_grb__3600s,round33_v10_moderate_M1_Q20_seed256070676,10,1,20,moderate,P-GRB,3600,3600,15,3690,primary,3,True
33,stage1,stage1__round33_v10_moderate_M1_Q20_seed256070676__c6_frozen__3600s,round33_v10_moderate_M1_Q20_seed256070676,10,1,20,moderate,C6-FROZEN,3600,3600,15,3690,primary,4,True
33,stage1,stage1__round33_v10_tight_T_M1_Q20_seed1215342007__p_grb__3600s,round33_v10_tight_T_M1_Q20_seed1215342007,10,1,20,tight_T,P-GRB,3600,3600,15,3690,primary,5,True
33,stage1,stage1__round33_v10_tight_T_M1_Q20_seed1215342007__c6_frozen__3600s,round33_v10_tight_T_M1_Q20_seed1215342007,10,1,20,tight_T,C6-FROZEN,3600,3600,15,3690,primary,6,True
33,stage1,stage1__round33_v10_high_imbalance_M1_Q30_seed289447508__p_grb__3600s,round33_v10_high_imbalance_M1_Q30_seed289447508,10,1,30,high_imbalance,P-GRB,3600,3600,15,3690,primary,7,True
33,stage1,stage1__round33_v10_high_imbalance_M1_Q30_seed289447508__c6_frozen__3600s,round33_v10_high_imbalance_M1_Q30_seed289447508,10,1,30,high_imbalance,C6-FROZEN,3600,3600,15,3690,primary,8,True
33,stage1,stage1__round33_v10_moderate_M1_Q30_seed82526096__p_grb__3600s,round33_v10_moderate_M1_Q30_seed82526096,10,1,30,moderate,P-GRB,3600,3600,15,3690,primary,9,True
33,stage1,stage1__round33_v10_moderate_M1_Q30_seed82526096__c6_frozen__3600s,round33_v10_moderate_M1_Q30_seed82526096,10,1,30,moderate,C6-FROZEN,3600,3600,15,3690,primary,10,True
33,stage1,stage1__round33_v10_tight_T_M1_Q30_seed1122319721__p_grb__3600s,round33_v10_tight_T_M1_Q30_seed1122319721,10,1,30,tight_T,P-GRB,3600,3600,15,3690,primary,11,True
33,stage1,stage1__round33_v10_tight_T_M1_Q30_seed1122319721__c6_frozen__3600s,round33_v10_tight_T_M1_Q30_seed1122319721,10,1,30,tight_T,C6-FROZEN,3600,3600,15,3690,primary,12,True
