V,M,Q,Scenario,P-GRB Time,P-GRB Conv.,C6 Time,C6 Conv.,Speedup,instance_id
10,1,20,high_imbalance,0.8440135,True,4.8166641,True,0.1752278096369643,round33_v10_high_imbalance_M1_Q20_seed2098545008
10,1,30,high_imbalance,0.5896309,True,2.6357259,True,0.2237072147752541,round33_v10_high_imbalance_M1_Q30_seed289447508
10,2,20,high_imbalance,45.2994415,True,28.738723,True,1.5762510220095722,round33_v10_high_imbalance_M2_Q20_seed1719879984
10,2,30,high_imbalance,13.6920052,True,11.8509598,True,1.1553498983263786,round33_v10_high_imbalance_M2_Q30_seed1244253498
10,3,20,high_imbalance,97.2629525,True,65.1819016,True,1.4921772779332352,round33_v10_high_imbalance_M3_Q20_seed434104496
10,3,30,high_imbalance,2528.0842596,True,77.0638877,True,32.80504442549685,round33_v10_high_imbalance_M3_Q30_seed1765289896
10,1,20,moderate,3.5362241,True,5.2748369,True,0.6703949651978812,round33_v10_moderate_M1_Q20_seed256070676
10,1,30,moderate,2.5684964,True,3.8912537,True,0.6600691185979469,round33_v10_moderate_M1_Q30_seed82526096
10,2,20,moderate,13.6838016,True,4.4821829,True,3.0529324450369932,round33_v10_moderate_M2_Q20_seed1118884127
10,2,30,moderate,158.0121898,True,26.0182308,True,6.073133527587894,round33_v10_moderate_M2_Q30_seed763364383
10,3,20,moderate,0.1206353,True,2.0289281,True,0.05945765155502554,round33_v10_moderate_M3_Q20_seed935682861
10,3,30,moderate,7.0121911,True,16.4498531,True,0.4262768218884581,round33_v10_moderate_M3_Q30_seed2031960658
10,1,20,tight_T,0.9529064,True,1.8727237,True,0.5088344853007414,round33_v10_tight_T_M1_Q20_seed1215342007
10,1,30,tight_T,0.368721,True,1.709274,True,0.21571790128440496,round33_v10_tight_T_M1_Q30_seed1122319721
10,2,20,tight_T,92.9915173,True,33.0482499,True,2.813810642965393,round33_v10_tight_T_M2_Q20_seed2085634706
10,2,30,tight_T,21.6237976,True,9.9449315,True,2.1743535991172993,round33_v10_tight_T_M2_Q30_seed1783646009
10,3,20,tight_T,223.5160808,True,11.8910776,True,18.79695754403285,round33_v10_tight_T_M3_Q20_seed284843780
10,3,30,tight_T,8.1121065,True,4.1443564,True,1.9573863145553791,round33_v10_tight_T_M3_Q30_seed1796239044
