round_id,stage_id,instance_id,V,M,Q,scenario,p_grb_strict_certificate,c6_strict_certificate,p_grb_certificate_time_seconds,c6_certificate_time_seconds,speedup_p_grb_over_c6,certificate_time_materiality_tolerance_seconds,certificate_time_outcome,p_grb_verified_objective,c6_verified_objective,verified_objective_equal,common_verified_ub,p_grb_final_lb,c6_final_lb,p_grb_common_gap,c6_common_gap,p_grb_work,c6_work,p_grb_nodes,c6_nodes,p_grb_peak_memory_gb,c6_peak_memory_gb,auc_status,auc_reason,common_window_start_process_seconds,common_window_end_process_seconds,common_window_duration_seconds,left_mean_valid_lower_bound,right_mean_valid_lower_bound,left_normalized_proof_auc,right_normalized_proof_auc,normalized_proof_auc_delta_right_minus_left,left_normalized_gap_auc,right_normalized_gap_auc
33,stage1,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,True,True,0.8440135,4.8166641,0.1752278096369643,0.05,P_GRB_win,2.4593376173848993,2.4593376173848993,True,2.4593376173848993,2.4593376173848993,2.4593376173848993,0.0,0.0,0.8902689553420533,1.1997266723761215,963.0,94.0,nan,0.011461359,auc_unavailable,no_positive_common_observed_window,,,,,,,,,,
33,stage1,round33_v10_high_imbalance_M1_Q30_seed289447508,10,1,30,high_imbalance,True,True,0.5896309,2.6357259,0.2237072147752541,0.05,P_GRB_win,3.0787094943441926,3.0787094943441926,True,3.0787094943441926,3.078709494344193,3.0787094943441926,0.0,0.0,0.5091715471541276,0.5208543866153156,9.0,4.0,nan,0.009572105,auc_unavailable,no_positive_common_observed_window,,,,,,,,,,
33,stage1,round33_v10_high_imbalance_M2_Q20_seed1719879984,10,2,20,high_imbalance,True,True,45.2994415,28.738723,1.5762510220095722,0.05,C6_win,1.8398450646494322,1.8398450646494322,True,1.8398450646494322,1.8398450646494326,1.839845063536864,0.0,6.047075816975739e-10,71.32926976241934,47.496527808032965,26439.0,3915.0,nan,0.035929973,observed_common_window,no_interpolation_no_post_last_event_extension,2.5624032,28.7339732,26.171570000000003,1.7948791533974306,1.785186790006718,0.9755599468042352,0.9702919144155585,-0.005268032388676777,0.024440053195766056,0.02970808558443972
33,stage1,round33_v10_high_imbalance_M2_Q30_seed1244253498,10,2,30,high_imbalance,True,True,13.6920052,11.8509598,1.1553498983263786,0.05,C6_win,2.3656372457099724,2.3656372457099724,True,2.3656372457099724,2.3656372457099724,2.3656372457099724,0.0,0.0,20.01579630627638,11.273948227671562,11216.0,90.0,nan,0.032294772,observed_common_window,no_interpolation_no_post_last_event_extension,3.0105875,11.8438959,8.8333084,2.3064700315290945,2.2264473247920873,0.9749888896583064,0.9411617646913939,-0.03382712496691246,0.02501111034169481,0.058838235308606227
33,stage1,round33_v10_high_imbalance_M3_Q20_seed434104496,10,3,20,high_imbalance,True,True,97.2629525,65.1819016,1.4921772779332352,0.06518190160000001,C6_win,3.2139098229866803,3.2139098229866803,True,3.2139098229866803,3.21390982298668,3.21390982298668,1.3817724650325483e-16,1.3817724650325483e-16,149.214538098095,103.80311792086702,38387.0,1929.0,nan,0.078925215,observed_common_window,no_interpolation_no_post_last_event_extension,4.8364224,65.1745304,60.33810799999999,3.1442720511742,3.115716264918077,0.9783323815390179,0.969447320093957,-0.00888506144506099,0.02166761846098313,0.030552679906043503
33,stage1,round33_v10_high_imbalance_M3_Q30_seed1765289896,10,3,30,high_imbalance,True,True,2528.0842596,77.0638877,32.80504442549685,0.0770638877,C6_win,1.0059157404995958,1.0059157404995958,True,1.0059157404995958,1.0059157346371248,1.0059157404995958,5.827994052684103e-09,0.0,3864.9041648744687,140.86603909164785,1408752.0,8964.0,nan,0.066543758,observed_common_window,no_interpolation_no_post_last_event_extension,2.1465087,77.0600334,74.9135247,0.5397922318264678,0.8712915121107412,0.5366177405260342,0.8661674900106524,0.32954974948461824,0.4633822594739657,0.13383250998934795
33,stage1,round33_v10_moderate_M1_Q20_seed256070676,10,1,20,moderate,True,True,3.5362241,5.2748369,0.6703949651978812,0.05,P_GRB_win,0.4643475724818831,0.4643475724818831,True,0.4643475724818831,0.46434757248188274,0.46434757248188263,7.172793121483193e-16,9.563724161977592e-16,4.66442107561436,0.9867120081393022,2928.0,52.0,nan,0.010576029,auc_unavailable,no_positive_common_observed_window,,,,,,,,,,
33,stage1,round33_v10_moderate_M1_Q30_seed82526096,10,1,30,moderate,True,True,2.5684964,3.8912537,0.6600691185979469,0.05,P_GRB_win,0.5780151685284923,0.5780151685284923,True,0.5780151685284923,0.5780151685284922,0.5780151685284922,1.9207506741588734e-16,1.9207506741588734e-16,3.2283695267533035,0.5300196170250036,1805.0,2.0,nan,0.008685588,auc_unavailable,no_positive_common_observed_window,,,,,,,,,,
33,stage1,round33_v10_moderate_M2_Q20_seed1118884127,10,2,20,moderate,True,True,13.6838016,4.4821829,3.0529324450369932,0.05,C6_win,0.007531475161479737,0.007531475161479737,True,0.007531475161479737,0.007531475161479747,0.007531475161479737,0.0,0.0,17.94329425954024,2.393012442697036,5612.0,68.0,nan,0.020945507,observed_common_window,no_interpolation_no_post_last_event_extension,2.5424395,4.4782561,1.9358166000000003,0.0,0.004714987543688073,0.0,0.6260377207115031,0.6260377207115031,1.0,0.37396227928849696
33,stage1,round33_v10_moderate_M2_Q30_seed763364383,10,2,30,moderate,True,True,158.0121898,26.0182308,6.073133527587894,0.05,C6_win,0.13507469656016455,0.13507469656016455,True,0.13507469656016455,0.13507469631606708,0.13507469656016374,1.8071294674705914e-09,5.959011667997471e-15,241.2811173326794,35.922478760207,96742.0,2590.0,nan,0.034615763,observed_common_window,no_interpolation_no_post_last_event_extension,3.4143796,26.014603,22.6002234,0.08833060714875016,0.09116459838680221,0.6539389641301625,0.674919882912312,0.020980918782149503,0.3460610358698367,0.3250801170876887
