instance_id,path,sha256,scenario,family,V,M,Q,T,lambda,origin,frozen_before_round33_results
V12_M1,reference/regen_candidate_V12_M1_average.txt,e395cfef336d3407a65f04d7e201aa29ac844a08aff25d1991ce6983e5e9508d,v12_anchor,v12_anchor,12,1,30,3600.0,0.15,round32_explicit_historical_anchor_identity,True
V12_M2,reference/regen_candidate_V12_M2_average.txt,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,v12_anchor,v12_anchor,12,2,30,3600.0,0.15,round32_explicit_historical_anchor_identity,True
