round_id,stage_id,run_id,instance_id,V,M,Q,scenario,atomic_splits,native_targets,exact_closures,child_lookahead_pairs,requeues,total_work,native_nodes,peak_memory_gb,strict_certificate,lifecycle_valid
33,stage1,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,1,2,1,2,1,1.1997266723761215,94.0,0.011461359,True,True
33,stage1,stage1__round33_v10_high_imbalance_M1_Q30_seed289447508__c6_frozen__3600s,round33_v10_high_imbalance_M1_Q30_seed289447508,10,1,30,high_imbalance,1,4,1,2,2,0.5208543866153156,4.0,0.009572105,True,True
33,stage1,stage1__round33_v10_high_imbalance_M2_Q20_seed1719879984__c6_frozen__3600s,round33_v10_high_imbalance_M2_Q20_seed1719879984,10,2,20,high_imbalance,3,4,2,5,4,47.496527808032965,3915.0,0.035929973,True,True
33,stage1,stage1__round33_v10_high_imbalance_M2_Q30_seed1244253498__c6_frozen__3600s,round33_v10_high_imbalance_M2_Q30_seed1244253498,10,2,30,high_imbalance,3,3,2,5,3,11.273948227671562,90.0,0.032294772,True,True
33,stage1,stage1__round33_v10_high_imbalance_M3_Q20_seed434104496__c6_frozen__3600s,round33_v10_high_imbalance_M3_Q20_seed434104496,10,3,20,high_imbalance,1,2,2,3,2,103.80311792086702,1929.0,0.078925215,True,True
33,stage1,stage1__round33_v10_high_imbalance_M3_Q30_seed1765289896__c6_frozen__3600s,round33_v10_high_imbalance_M3_Q30_seed1765289896,10,3,30,high_imbalance,1,3,1,2,2,140.86603909164785,8964.0,0.066543758,True,True
33,stage1,stage1__round33_v10_moderate_M1_Q20_seed256070676__c6_frozen__3600s,round33_v10_moderate_M1_Q20_seed256070676,10,1,20,moderate,2,1,2,4,1,0.9867120081393022,52.0,0.010576029,True,True
33,stage1,stage1__round33_v10_moderate_M1_Q30_seed82526096__c6_frozen__3600s,round33_v10_moderate_M1_Q30_seed82526096,10,1,30,moderate,2,2,2,4,1,0.5300196170250036,2.0,0.008685588,True,True
33,stage1,stage1__round33_v10_moderate_M2_Q20_seed1118884127__c6_frozen__3600s,round33_v10_moderate_M2_Q20_seed1118884127,10,2,20,moderate,0,4,2,2,2,2.393012442697036,68.0,0.020945507,True,True
33,stage1,stage1__round33_v10_moderate_M2_Q30_seed763364383__c6_frozen__3600s,round33_v10_moderate_M2_Q30_seed763364383,10,2,30,moderate,1,3,4,5,3,35.922478760207,2590.0,0.034615763,True,True
