round_id,stage_id,run_id,instance_id,V,M,Q,scenario,arm,gap_threshold,reached,first_observed_process_entry_seconds,unreached_semantics
33,stage1,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,C6-FROZEN,0.5,True,3.7161647,
33,stage1,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,C6-FROZEN,0.25,True,3.7161647,
33,stage1,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,C6-FROZEN,0.1,True,3.81129,
33,stage1,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,C6-FROZEN,0.05,True,4.3582501,
33,stage1,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,C6-FROZEN,0.02,True,4.7631745,
33,stage1,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,C6-FROZEN,0.01,True,4.7872397,
33,stage1,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,C6-FROZEN,0.005,True,4.792384,
33,stage1,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__c6_frozen__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,C6-FROZEN,0.001,True,4.7961221,
33,stage1,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__p_grb__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,P-GRB,0.5,True,0.0368423,
33,stage1,stage1__round33_v10_high_imbalance_M1_Q20_seed2098545008__p_grb__3600s,round33_v10_high_imbalance_M1_Q20_seed2098545008,10,1,20,high_imbalance,P-GRB,0.25,True,0.0368423,
