scenario,pairs,p_grb_certificates,c6_certificates,both_certified,c6_time_wins,p_grb_time_wins,time_ties,unresolved,median_speedup_p_over_c6,shifted_geomean_p_grb_seconds,shifted_geomean_c6_seconds,geomean_shift_seconds
high_imbalance,6,6,6,6,4,2,0,0,1.3237635881298069,27.13056063614996,17.625963013054136,1.0
moderate,6,6,6,6,2,4,0,0,0.6652320418979141,7.351747994077773,6.884708339255547,1.0
tight_T,6,6,6,6,4,2,0,0,2.0658699568363392,14.051719893271875,6.597647671000018,1.0
