Q,pairs,p_grb_certificates,c6_certificates,both_certified,c6_time_wins,p_grb_time_wins,time_ties,unresolved,median_speedup_p_over_c6,shifted_geomean_p_grb_seconds,shifted_geomean_c6_seconds,geomean_shift_seconds
20,9,9,9,9,5,4,0,0,1.4921772779332352,13.350284156486154,9.46394314842199,1.0
30,9,9,9,9,5,4,0,0,1.1553498983263786,15.174620398521807,9.280801519377246,1.0
