leaf,gamma_L,gamma_U,variant,budget_seconds,json_path,progress_path,lp_path,status,solver_status,certified,lower_bound,upper_bound,gap,gap_to_cutoff,runtime_seconds,compact_bc_best_bound_available,compact_bc_bound_valid,best_valid_lb_seen,best_valid_gap_seen,finalization_source,final_json_uses_best_checkpoint,checkpoint_valid_rows,checkpoint_improvements,checkpoint_best_bound,checkpoint_best_time,checkpoint_best_node_count,nodes,tailored_bc_callback_cut_profile,tailored_bc_local_centering_rows_added,tailored_bc_low_gini_l1_centering_rows_added,tailored_bc_variable_s_centering_rows_added,tailored_bc_gini_subset_envelope_rows_added,tailored_bc_transfer_cutset_rows_added,compact_bc_sp_product_estimator_rows_added,compact_bc_sp_product_paper_safe,s_range_refinement_enabled,s_range_certificate_valid,s_range_global_L,s_range_global_U,thread_fairness_class,compact_bc_solver_threads,diagnostic_only,command_hash,model_lp_exists,lp_hash,lp_rows_estimated,lp_binary_markers,lp_general_markers,lp_h_vars,lp_q_l1_vars,lp_local_centering_rows,bucket_name,bucket_S_L,bucket_S_U,cutoff,closure_source,paper_core_eligible,compact_bc_solver_status,bucket_ratio_domain_rows_added,bucket_ratio_domain_bounds_tightened,bucket_subset_ratio_domain_cuts_added,bucket_subset_ratio_domain_candidates,bucket_h_cap_rows_added,sp_mccormick_rows,sp_estimator_rows,objective_estimator_rows,enabled_families_effective,node_count,last_improvement_time,number_of_improvements,valid_checkpoint_count,solver_final_reached
low_gini_2,0.0245762763324,0.0368644144986,plain_fixed_interval_mip,300,results\gf_tailored_bc_dominant_s_bucket_round\raw\low_gini_2_plain_fixed_interval_mip_300s.json,,results\gf_tailored_bc_dominant_s_bucket_round\model_exports\low_gini_2_plain_fixed_interval_mip_300s.lp,interval_unresolved_timeout,time limit exceeded,False,0.048894652654,0.0491525526647,0.00524693015354,0.0002579000107000018,300.1504873,True,True,0.048894652654,0.00524693015354,solver_final_json,True,0,0,0.0,0.0,0,15155,full,0,0,0,0,0,0,False,False,False,0,66.9085786677,one_thread_fair,0,True,385485e44daac225,True,df7f1aa859c8801c,5078,1,1,760,0,0,,,,0.0491525526647,interval_exact_cutoff_mip_timeout,False,time limit exceeded,0,0,0,0,0,0,0,0,none,15155,0,,0,True
low_gini_2,0.0245762763324,0.0368644144986,best_combined_paper_safe,300,results\gf_tailored_bc_dominant_s_bucket_round\raw\low_gini_2_best_combined_paper_safe_300s.json,results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\low_gini_2_best_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_dominant_s_bucket_round\model_exports\low_gini_2_best_combined_paper_safe_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0489209015481,0.0491525526647,0.00471290104116,0.00023165111659999987,300.9152941,True,True,0.0489209015481,0.00471290104116,cplex_time_limit_with_valid_best_bound,True,10,2,0.0489209015481,60.0194212,2360,9499,full,40,41,0,2700,630,1,True,False,False,4.6455026455,28.7993876794,one_thread_fair,1,False,e89434c30c626f67,True,c170e370e54aef39,18723,1,1,133570,100,0,,,,0.0491525526647,interval_exact_cutoff_mip_timeout,True,"time limit exceeded, no integer solution",0,0,0,0,0,4,1,1,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,9499,300.0848237,,10,True
low_gini_2,0.0245762763324,0.0368644144986,best_new_combined_paper_safe,300,results\gf_tailored_bc_dominant_s_bucket_round\raw\low_gini_2_best_new_combined_paper_safe_300s.json,results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\low_gini_2_best_new_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_dominant_s_bucket_round\model_exports\low_gini_2_best_new_combined_paper_safe_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.0489209015481,0.0491525526647,0.00471290104116,0.00023165111659999987,300.8994764,True,True,0.0489209015481,0.00471290104116,cplex_time_limit_with_valid_best_bound,True,11,2,0.0489209015481,60.0099153,2368,9560,full,40,41,0,2700,630,1,True,False,False,4.6455026455,28.7993876794,one_thread_fair,1,False,7d6ac3c1cdf93518,True,c170e370e54aef39,18723,1,1,133570,100,0,,,,0.0491525526647,interval_exact_cutoff_mip_timeout,True,"time limit exceeded, no integer solution",0,0,0,0,0,4,1,1,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,9560,300.0726685,,11,True
high_imbalance_seed3201_hard,0.475,0.59375,plain_fixed_interval_mip,300,results\gf_tailored_bc_dominant_s_bucket_round\raw\high_imbalance_seed3201_hard_plain_fixed_interval_mip_300s.json,,results\gf_tailored_bc_dominant_s_bucket_round\model_exports\high_imbalance_seed3201_hard_plain_fixed_interval_mip_300s.lp,interval_unresolved_timeout,time limit exceeded,False,2.1614881406,2.44340319194,0.115378031866,0.0,300.1320912,True,True,2.1614881406,0.115378031866,solver_final_json,True,0,0,0.0,0.0,0,20481,full,0,0,0,0,0,0,False,False,False,0,88.192425813,one_thread_fair,0,True,e617b649ed926c38,True,3ce64ca6b5d3730d,5075,1,1,760,0,0,,,,0.0491525526647,interval_exact_cutoff_mip_timeout,False,time limit exceeded,0,0,0,0,0,0,0,0,none,20481,0,,0,True
high_imbalance_seed3201_hard,0.475,0.59375,best_combined_paper_safe,300,results\gf_tailored_bc_dominant_s_bucket_round\raw\high_imbalance_seed3201_hard_best_combined_paper_safe_300s.json,results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\high_imbalance_seed3201_hard_best_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_dominant_s_bucket_round\model_exports\high_imbalance_seed3201_hard_best_combined_paper_safe_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,2.27667764295,2.44340319194,0.068234972246,0.0,330.8657077,True,True,2.27667764295,0.068234972246,cplex_time_limit_with_valid_best_bound,True,11,10,2.27667764295,300.0653554,7542,7542,full,40,41,0,2700,630,1,True,False,False,14.5666666667,78.1355729679,one_thread_fair,1,False,463e8c8c007751db,True,7f6156a157f94aa1,18709,1,1,133570,100,0,,,,0.0491525526647,interval_exact_cutoff_mip_timeout,True,"time limit exceeded, no integer solution",0,0,0,0,0,4,1,1,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,7542,330.0812259,,11,True
high_imbalance_seed3201_hard,0.475,0.59375,best_new_combined_paper_safe,300,results\gf_tailored_bc_dominant_s_bucket_round\raw\high_imbalance_seed3201_hard_best_new_combined_paper_safe_300s.json,results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\high_imbalance_seed3201_hard_best_new_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_dominant_s_bucket_round\model_exports\high_imbalance_seed3201_hard_best_new_combined_paper_safe_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,2.27669085412,2.44340319194,0.0682295653738,0.0,330.8510595,True,True,2.27669085412,0.0682295653738,cplex_time_limit_with_valid_best_bound,True,11,10,2.27669085412,300.0662728,7611,7611,full,40,41,0,2700,630,1,True,False,False,14.5666666667,78.1355729679,one_thread_fair,1,False,9c7301503f032c82,True,7f6156a157f94aa1,18709,1,1,133570,100,0,,,,0.0491525526647,interval_exact_cutoff_mip_timeout,True,"time limit exceeded, no integer solution",0,0,0,0,0,4,1,1,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,7611,330.0751962,,11,True
tight_T_seed3102_hard,0.150176109171,0.300352218343,plain_fixed_interval_mip,300,results\gf_tailored_bc_dominant_s_bucket_round\raw\tight_T_seed3102_hard_plain_fixed_interval_mip_300s.json,,results\gf_tailored_bc_dominant_s_bucket_round\model_exports\tight_T_seed3102_hard_plain_fixed_interval_mip_300s.lp,interval_unresolved_timeout,time limit exceeded,False,0.31244733564,0.600704436685,0.479865110762,0.0,300.1176288,True,True,0.31244733564,0.479865110762,solver_final_json,True,0,0,0.0,0.0,0,20246,full,0,0,0,0,0,0,False,False,False,0,73.0065087446,one_thread_fair,0,True,42dfee2e47497489,True,acf35ccda4df7df5,5069,1,1,760,0,0,,,,0.0491525526647,interval_exact_cutoff_mip_timeout,False,time limit exceeded,0,0,0,0,0,0,0,0,none,20246,0,,0,True
tight_T_seed3102_hard,0.150176109171,0.300352218343,best_combined_paper_safe,300,results\gf_tailored_bc_dominant_s_bucket_round\raw\tight_T_seed3102_hard_best_combined_paper_safe_300s.json,results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\tight_T_seed3102_hard_best_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_dominant_s_bucket_round\model_exports\tight_T_seed3102_hard_best_combined_paper_safe_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.517898731718,0.600704436685,0.137847666689,0.0,331.1109083,True,True,0.517898731718,0.137847666689,cplex_time_limit_with_valid_best_bound,True,11,10,0.517898731718,300.0737536,9917,9917,full,40,41,0,2700,630,1,True,False,False,5.50586593258,50.5248237629,one_thread_fair,1,False,94ffeb331508788a,True,5be5f3c8320c592c,18696,1,1,133570,100,0,,,,0.0491525526647,interval_exact_cutoff_mip_timeout,True,"time limit exceeded, no integer solution",0,0,0,0,0,4,1,1,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,9917,330.0787597,,11,True
tight_T_seed3102_hard,0.150176109171,0.300352218343,best_new_combined_paper_safe,300,results\gf_tailored_bc_dominant_s_bucket_round\raw\tight_T_seed3102_hard_best_new_combined_paper_safe_300s.json,results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\tight_T_seed3102_hard_best_new_combined_paper_safe_300s.progress.csv,results\gf_tailored_bc_dominant_s_bucket_round\model_exports\tight_T_seed3102_hard_best_new_combined_paper_safe_300s.lp,interval_unresolved_timeout,"time limit exceeded, no integer solution",False,0.517905880713,0.600704436685,0.137835765671,0.0,301.1042045,True,True,0.517905880713,0.137835765671,cplex_time_limit_with_valid_best_bound,True,10,10,0.517905880713,300.0579889,9976,9976,full,40,41,0,2700,630,1,True,False,False,5.50586593258,50.5248237629,one_thread_fair,1,False,179bc4669acbfd9a,True,5be5f3c8320c592c,18696,1,1,133570,100,0,,,,0.0491525526647,interval_exact_cutoff_mip_timeout,True,"time limit exceeded, no integer solution",0,0,0,0,0,4,1,1,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,9976,300.0579889,,10,True
moderate_seed3302_hard,0.0489090516373,0.0978181032745,plain_fixed_interval_mip,300,results\gf_tailored_bc_dominant_s_bucket_round\raw\moderate_seed3302_hard_plain_fixed_interval_mip_300s.json,,results\gf_tailored_bc_dominant_s_bucket_round\model_exports\moderate_seed3302_hard_plain_fixed_interval_mip_300s.lp,interval_unresolved_timeout,time limit exceeded,False,0.14433286301,0.195636206549,0.262238490737,0.0,300.1222193,True,True,0.14433286301,0.262238490737,solver_final_json,True,0,0,0.0,0.0,0,7515,full,0,0,0,0,0,0,False,False,False,0,45.2857559372,one_thread_fair,0,True,cec323e95a5804c8,True,814f939210f6d585,5069,1,1,760,0,0,,,,0.0491525526647,interval_exact_cutoff_mip_timeout,False,time limit exceeded,0,0,0,0,0,0,0,0,none,7515,0,,0,True
