bucket_name,variant,budget_seconds,z_fractionality,p_fractionality,d_fractionality,node_count
dominant_k4,plain_fixed_interval_mip,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,3946
dominant_k4,plain_fixed_interval_mip,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,28394
dominant_k4,static_tailored_compact_bc,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,13487
dominant_k4,static_tailored_compact_bc,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,37760
dominant_k4,best_combined_paper_safe,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,10781
dominant_k4,best_combined_paper_safe,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,40066
dominant_k4,bucket_ratio_domain_tightening,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,8843
dominant_k4,bucket_ratio_domain_tightening,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,30899
dominant_k4,denominator_estimator_strengthening,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,10827
dominant_k4,denominator_estimator_strengthening,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,40826
dominant_k4,targeted_low_gini_centering,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,10922
dominant_k4,targeted_low_gini_centering,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,40942
dominant_k4,transfer_inventory_cuts,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,10993
dominant_k4,transfer_inventory_cuts,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,40732
dominant_k4,best_new_combined_paper_safe,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,10951
dominant_k4,best_new_combined_paper_safe,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,38472
adaptive_child,plain_fixed_interval_mip,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,3072
adaptive_child,plain_fixed_interval_mip,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,9746
adaptive_child,static_tailored_compact_bc,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,18545
adaptive_child,static_tailored_compact_bc,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,37156
adaptive_child,best_combined_paper_safe,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,12736
adaptive_child,best_combined_paper_safe,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,40438
adaptive_child,bucket_ratio_domain_tightening,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,12678
adaptive_child,bucket_ratio_domain_tightening,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,64428
adaptive_child,denominator_estimator_strengthening,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,12517
adaptive_child,denominator_estimator_strengthening,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,40225
adaptive_child,targeted_low_gini_centering,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,12631
adaptive_child,targeted_low_gini_centering,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,40663
adaptive_child,transfer_inventory_cuts,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,12568
adaptive_child,transfer_inventory_cuts,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,40397
adaptive_child,best_new_combined_paper_safe,300,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,14492
adaptive_child,best_new_combined_paper_safe,1200,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,33471
dominant_k4,best_new_combined_paper_safe,3600,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,158703
adaptive_child,best_new_combined_paper_safe,3600,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,89085
dominant_k4,best_new_combined_paper_safe,10800,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,not_exposed_by_current_cplex_callback,481042
