bucket_name,variant,budget_seconds,violated_bucket_ratio_domain_cuts,bucket_ratio_domain_rows_added,bucket_subset_ratio_domain_cuts_added,violated_transfer_inventory_candidate_cuts
dominant_k4,plain_fixed_interval_mip,300,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
dominant_k4,plain_fixed_interval_mip,1200,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
dominant_k4,static_tailored_compact_bc,300,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
dominant_k4,static_tailored_compact_bc,1200,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
dominant_k4,best_combined_paper_safe,300,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
dominant_k4,best_combined_paper_safe,1200,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
dominant_k4,bucket_ratio_domain_tightening,300,not_exposed_after_static_generation,40,0,not_exposed_by_current_cplex_callback
dominant_k4,bucket_ratio_domain_tightening,1200,not_exposed_after_static_generation,40,0,not_exposed_by_current_cplex_callback
dominant_k4,denominator_estimator_strengthening,300,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
dominant_k4,denominator_estimator_strengthening,1200,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
dominant_k4,targeted_low_gini_centering,300,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
dominant_k4,targeted_low_gini_centering,1200,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
dominant_k4,transfer_inventory_cuts,300,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
dominant_k4,transfer_inventory_cuts,1200,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
dominant_k4,best_new_combined_paper_safe,300,not_exposed_after_static_generation,40,2700,not_exposed_by_current_cplex_callback
dominant_k4,best_new_combined_paper_safe,1200,not_exposed_after_static_generation,40,2700,not_exposed_by_current_cplex_callback
adaptive_child,plain_fixed_interval_mip,300,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
adaptive_child,plain_fixed_interval_mip,1200,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
adaptive_child,static_tailored_compact_bc,300,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
adaptive_child,static_tailored_compact_bc,1200,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
adaptive_child,best_combined_paper_safe,300,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
adaptive_child,best_combined_paper_safe,1200,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
adaptive_child,bucket_ratio_domain_tightening,300,not_exposed_after_static_generation,40,0,not_exposed_by_current_cplex_callback
adaptive_child,bucket_ratio_domain_tightening,1200,not_exposed_after_static_generation,40,0,not_exposed_by_current_cplex_callback
adaptive_child,denominator_estimator_strengthening,300,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
adaptive_child,denominator_estimator_strengthening,1200,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
adaptive_child,targeted_low_gini_centering,300,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
adaptive_child,targeted_low_gini_centering,1200,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
adaptive_child,transfer_inventory_cuts,300,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
adaptive_child,transfer_inventory_cuts,1200,not_exposed_after_static_generation,0,0,not_exposed_by_current_cplex_callback
adaptive_child,best_new_combined_paper_safe,300,not_exposed_after_static_generation,40,2700,not_exposed_by_current_cplex_callback
adaptive_child,best_new_combined_paper_safe,1200,not_exposed_after_static_generation,40,2700,not_exposed_by_current_cplex_callback
dominant_k4,best_new_combined_paper_safe,3600,not_exposed_after_static_generation,40,2700,not_exposed_by_current_cplex_callback
adaptive_child,best_new_combined_paper_safe,3600,not_exposed_after_static_generation,40,2700,not_exposed_by_current_cplex_callback
dominant_k4,best_new_combined_paper_safe,10800,not_exposed_after_static_generation,40,2700,not_exposed_by_current_cplex_callback
