file,method,algorithm_preset,status,thread_fairness_class,time_budget_seconds,progress_log,compact_bc_enabled_families_effective,compact_bc_diagnostic_force_leaf_solve,compact_bc_low_gini_aggressive_diagnostic,audit_passed,failures
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_best_combined_paper_safe_1200s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,one_thread_fair,1200,E:\codes\ExactEBRP\results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\adaptive_child_low_gini_1_best_combined_paper_safe_1200s.progress.csv,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|s_range_refinement_paper_safe|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_best_combined_paper_safe_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,one_thread_fair,300,E:\codes\ExactEBRP\results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\adaptive_child_low_gini_1_best_combined_paper_safe_300s.progress.csv,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|s_range_refinement_paper_safe|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_best_new_combined_paper_safe_1200s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,one_thread_fair,1200,E:\codes\ExactEBRP\results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\adaptive_child_low_gini_1_best_new_combined_paper_safe_1200s.progress.csv,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|bucket_ratio_domain_tightening|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|bucket_subset_ratio_domain|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|s_range_refinement_paper_safe|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_best_new_combined_paper_safe_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,one_thread_fair,300,E:\codes\ExactEBRP\results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\adaptive_child_low_gini_1_best_new_combined_paper_safe_300s.progress.csv,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|bucket_ratio_domain_tightening|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|bucket_subset_ratio_domain|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|s_range_refinement_paper_safe|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_best_new_combined_paper_safe_3600s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,one_thread_fair,3600,E:\codes\ExactEBRP\results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\adaptive_child_low_gini_1_best_new_combined_paper_safe_3600s.progress.csv,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|bucket_ratio_domain_tightening|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|bucket_subset_ratio_domain|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|s_range_refinement_paper_safe|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_bucket_ratio_domain_tightening_1200s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,one_thread_fair,1200,E:\codes\ExactEBRP\results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\adaptive_child_low_gini_1_bucket_ratio_domain_tightening_1200s.progress.csv,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|bucket_ratio_domain_tightening|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|s_range_refinement_paper_safe|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_bucket_ratio_domain_tightening_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,one_thread_fair,300,E:\codes\ExactEBRP\results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\adaptive_child_low_gini_1_bucket_ratio_domain_tightening_300s.progress.csv,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|bucket_ratio_domain_tightening|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|s_range_refinement_paper_safe|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_denominator_estimator_strengthening_1200s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,one_thread_fair,1200,E:\codes\ExactEBRP\results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\adaptive_child_low_gini_1_denominator_estimator_strengthening_1200s.progress.csv,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|s_range_refinement_paper_safe|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_denominator_estimator_strengthening_300s.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_unresolved_timeout,one_thread_fair,300,E:\codes\ExactEBRP\results\gf_tailored_bc_dominant_s_bucket_round\progress_traces\adaptive_child_low_gini_1_denominator_estimator_strengthening_300s.progress.csv,penalty_final_inventory_domain|movement_reachability_final_inventory_domain|total_station_inventory_conservation|duration_compatibility_singleton_transfer|pairwise_transfer_compatibility|pair_triple_route_duration_support|visit_final_inventory_linking|required_station_movement|global_handling_capacity_pickup_only|direct_gini_cap_floor|gini_subset_envelope|low_gini_l1_centering|local_centering_pairwise_h|subset_cross_h_centering|local_q_centering|subset_inventory_imbalance|vehicle_transfer_cutset_basic|compatible_source_transfer_cutset|required_external_source|gini_pairwise_spread|low_gini_centering_band|variable_s_low_gini_centering|interval_tight_mccormick_G_bit|s_range_refinement_paper_safe|objective_lower_estimator_cutoff|sp_product_objective_estimator_paper_safe|penalty_lower_bound_closure,False,False,True,
results\gf_tailored_bc_dominant_s_bucket_round\raw\adaptive_child_low_gini_1_plain_fixed_interval_mip_1200s.json,interval-cutoff-oracle,custom,interval_unresolved_timeout,one_thread_fair,1200,,s_range_refinement_paper_safe,False,False,True,
