panel_ordinal,panel_row_id,event_order,event_kind,leaf_id,current_bound,target_bound,native_bound,target_reached,requeued,exact_closure,event_source
1,r36_01_V12_M1,1,native_target,L1,0.27726096936095629,0.29424322429778327,1e+100,0,0,1,round38_rejected_pilot_resume_c6_next_frontier
1,r36_01_V12_M1,2,native_target,L2,0.29424322429778327,0.35403537724225576,0.35404031513876566,1,1,0,c6_next_strict_frontier_bound_reached_requeue
1,r36_01_V12_M1,3,native_target,L3,0.35403537724225576,0.35404031513876566,1e+100,0,0,1,c6_next_strict_frontier_bound_reached_requeue
2,r36_02_V12_M2,1,native_target,L2.0,0.59521651627960104,0.65720345116560386,0.65721441052402374,1,1,0,c6_next_strict_frontier_bound_reached_requeue
2,r36_02_V12_M2,2,native_target,L2.1,0.65720345116560386,0.65721441052402374,0.6603522489521183,1,1,0,c6_next_strict_frontier_bound_reached_requeue
2,r36_02_V12_M2,3,native_target,L2.0.1,0.65721441052402374,0.6603522489521183,0.66054819431902201,1,1,0,c6_next_strict_frontier_bound_reached_requeue
4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,1,native_target,L1,0.15661358654541371,0.23593037105001993,0.25825349499100786,1,1,0,round38_rejected_pilot_resume_c6_next_frontier
4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,2,native_target,L2,0.23593037105001993,0.25825349499100786,0.26779345719212061,1,1,0,c6_next_strict_frontier_bound_reached_requeue
6,r36_06_moderate_seed5301,1,native_target,L0,0.057144635390030694,0.083514114925258745,0.086013910457348894,1,1,0,round38_rejected_pilot_resume_c6_next_frontier
6,r36_06_moderate_seed5301,2,native_target,L1,0.083514114925258745,0.086013910457348894,0.092821868749065256,1,1,0,c6_next_strict_frontier_bound_reached_requeue
7,r36_07_high_imbalance_seed5203,1,native_target,L2,1.9814255024217624,2.1976615213567423,2.2133907859778033,1,1,0,round38_rejected_pilot_resume_c6_next_frontier
7,r36_07_high_imbalance_seed5203,2,native_target,L3,2.1976615213567423,2.2133907859778033,2.307041601797919,1,1,0,c6_next_strict_frontier_bound_reached_requeue
7,r36_07_high_imbalance_seed5203,3,native_target,L1,2.258965497085816,2.307041601797919,2.3177517431279604,1,1,0,c6_next_strict_frontier_bound_reached_requeue
8,r36_08_tight_T_seed5102,1,native_target,L1,0.20682410371683468,0.28917631309429254,0.29804469519923471,1,1,0,round38_rejected_pilot_resume_c6_next_frontier
8,r36_08_tight_T_seed5102,2,native_target,L2,0.28917631309429254,0.29804469519923471,0.32985105207896404,1,1,0,c6_next_strict_frontier_bound_reached_requeue
9,r36_09_round31_sealed_moderate_V50_seed1112848618,1,native_target,L1,0.47114477265216009,0.63729271116882058,0.54392587713839091,0,0,0,round38_rejected_pilot_resume_c6_next_frontier
10,r36_10_high_imbalance_seed6202,1,native_target,L2,7.4070090034849541,7.5557176110501905,7.7850579556832047,1,1,0,round38_rejected_pilot_resume_c6_next_frontier
10,r36_10_high_imbalance_seed6202,2,native_target,L3,7.5557176110501905,7.7850579556832047,8.1916999284193164,1,1,0,c6_next_strict_frontier_bound_reached_requeue
11,r36_11_tight_T_seed6102,1,native_target,L1,0.48661597140378293,0.62305459378377903,0.60463169087364255,0,0,0,round38_rejected_pilot_resume_c6_next_frontier
12,r36_12_round32_multi_m_moderate_V50_M4_seed721910669,1,native_target,L1,0.26545684397297908,0.36122471902797532,0.3147776330533491,0,0,0,round38_rejected_pilot_resume_c6_next_frontier
13,r36_13_moderate_seed4302,1,native_target,L0,0,0.012135714717816735,0.012520737740756724,1,1,0,round38_rejected_pilot_resume_c6_next_frontier
13,r36_13_moderate_seed4302,2,native_target,L1,0.012135714717816735,0.012520737740756724,0.012713898513226624,1,1,0,c6_next_strict_frontier_bound_reached_requeue
14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,1,native_target,L2,4.2430945553030863,4.3029840799645553,4.3145156001533271,1,1,0,round38_rejected_pilot_resume_c6_next_frontier
14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,2,native_target,L3,4.3029840799645553,4.3145156001533271,4.330968081602224,1,1,0,c6_next_strict_frontier_bound_reached_requeue
14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,3,native_target,L2.1,4.3145156001533271,4.330968081602224,1e+100,0,0,1,c6_next_strict_frontier_bound_reached_requeue
