serial_order,stage,run_id,panel_ordinal,panel_row_id,instance_id,V,M,scenario,arm,process_cap_seconds,watchdog_seconds
1,medium_full_panel_diagnostic,diagnostic_r36_01_V12_M1__c6,1,r36_01_V12_M1,V12_M1,12,1,v12,C6,480,570
2,medium_full_panel_diagnostic,diagnostic_r36_01_V12_M1__g2a,1,r36_01_V12_M1,V12_M1,12,1,v12,G2A,480,570
3,medium_full_panel_diagnostic,diagnostic_r36_02_V12_M2__c6,2,r36_02_V12_M2,V12_M2,12,2,v12,C6,480,570
4,medium_full_panel_diagnostic,diagnostic_r36_02_V12_M2__g2a,2,r36_02_V12_M2,V12_M2,12,2,v12,G2A,480,570
5,medium_full_panel_diagnostic,diagnostic_r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__c6,4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,C6,480,570
6,medium_full_panel_diagnostic,diagnostic_r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__g2a,4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,G2A,480,570
7,medium_full_panel_diagnostic,diagnostic_r36_06_moderate_seed5301__c6,6,r36_06_moderate_seed5301,moderate_seed5301,20,3,moderate,C6,480,570
8,medium_full_panel_diagnostic,diagnostic_r36_06_moderate_seed5301__g2a,6,r36_06_moderate_seed5301,moderate_seed5301,20,3,moderate,G2A,480,570
9,medium_full_panel_diagnostic,diagnostic_r36_07_high_imbalance_seed5203__c6,7,r36_07_high_imbalance_seed5203,high_imbalance_seed5203,20,3,high_imbalance,C6,480,570
10,medium_full_panel_diagnostic,diagnostic_r36_07_high_imbalance_seed5203__g2a,7,r36_07_high_imbalance_seed5203,high_imbalance_seed5203,20,3,high_imbalance,G2A,480,570
11,medium_full_panel_diagnostic,diagnostic_r36_08_tight_T_seed5102__c6,8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,C6,480,570
12,medium_full_panel_diagnostic,diagnostic_r36_08_tight_T_seed5102__g2a,8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,G2A,480,570
13,medium_full_panel_diagnostic,diagnostic_r36_09_round31_sealed_moderate_V50_seed1112848618__c6,9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,C6,480,570
14,medium_full_panel_diagnostic,diagnostic_r36_09_round31_sealed_moderate_V50_seed1112848618__g2a,9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,G2A,480,570
15,medium_full_panel_diagnostic,diagnostic_r36_10_high_imbalance_seed6202__c6,10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,C6,480,570
16,medium_full_panel_diagnostic,diagnostic_r36_10_high_imbalance_seed6202__g2a,10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,G2A,480,570
17,medium_full_panel_diagnostic,diagnostic_r36_11_tight_T_seed6102__c6,11,r36_11_tight_T_seed6102,tight_T_seed6102,50,3,tight_T,C6,480,570
18,medium_full_panel_diagnostic,diagnostic_r36_11_tight_T_seed6102__g2a,11,r36_11_tight_T_seed6102,tight_T_seed6102,50,3,tight_T,G2A,480,570
19,medium_full_panel_diagnostic,diagnostic_r36_12_round32_multi_m_moderate_V50_M4_seed721910669__c6,12,r36_12_round32_multi_m_moderate_V50_M4_seed721910669,round32_multi_m_moderate_V50_M4_seed721910669,50,4,moderate,C6,480,570
20,medium_full_panel_diagnostic,diagnostic_r36_12_round32_multi_m_moderate_V50_M4_seed721910669__g2a,12,r36_12_round32_multi_m_moderate_V50_M4_seed721910669,round32_multi_m_moderate_V50_M4_seed721910669,50,4,moderate,G2A,480,570
21,medium_full_panel_diagnostic,diagnostic_r36_13_moderate_seed4302__c6,13,r36_13_moderate_seed4302,moderate_seed4302,20,3,moderate,C6,480,570
22,medium_full_panel_diagnostic,diagnostic_r36_13_moderate_seed4302__g2a,13,r36_13_moderate_seed4302,moderate_seed4302,20,3,moderate,G2A,480,570
23,medium_full_panel_diagnostic,diagnostic_r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__c6,14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,20,2,high_imbalance,C6,480,570
24,medium_full_panel_diagnostic,diagnostic_r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459__g2a,14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,20,2,high_imbalance,G2A,480,570
