panel_ordinal,panel_row_id,V,M,scenario,all_initial_lps_complete,initial_lp_count,eligible_cell_count,sorted_initial_bounds,global_min_L,frontier_plateau_size,unique_controlling_cell,next_strict_frontier_available,next_strict_frontier_t,selected_leaf,selected_gamma_L,selected_gamma_U,children_evaluated,left_child_infeasible,right_child_infeasible,left_child_bound,right_child_bound,b_plus_infinite,b_plus,delta_local,hypothetical_L_i_plus,delta_global,frontier_completion,sorted_post_bounds,completes_next_strict_frontier,refinement_performed,refinement_count,rejection_count,decision_reason,round38_resume_target_count,native_target_count,native_requeue_count,native_exact_closure_count,split_decision_count,actual_split_count,final_gap_outcome,final_gap_improvement,auc_improvement,sequence_diverged
1,r36_01_V12_M1,12,1,v12,True,4,3,0.27726096936095629;0.29424322429778327;0.35403537724225576,0.2772609693609563,1,True,True,0.29424322429778327,L1,0.08930014580210388,0.17860029160420776,True,True,False,0.0,0.2929612572872057,False,0.2929612572872057,0.01570028792624939,0.2929612572872057,0.01570028792624939,0.01570028792624939,0.29296125728720568;0.29424322429778327;0.35403537724225576;inf,False,False,0,1,midpoint_children_do_not_complete_next_strict_frontier,1,3,1,2,2,0,tie,0.0,-0.0033761904644977886,True
2,r36_02_V12_M2,12,2,v12,True,4,1,0.58956333674838779,0.0,1,True,False,0.0,,0.0,0.0,False,False,False,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,,False,False,0,0,no_next_strict_open_leaf_frontier,0,3,3,0,4,2,tie,0.0,-0.00011701692442173117,True
4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,True,4,3,0.15661358654541371;0.23593037105001993;0.32434010332119489,0.1566135865454137,1,True,True,0.23593037105001993,L1,0.08840973227117493,0.17681946454234987,True,False,False,0.17379180329874633,0.1919812370379214,False,0.17379180329874633,0.017178216753332615,0.17379180329874633,0.017178216753332615,0.017178216753332615,0.17379180329874633;0.19198123703792139;0.23593037105001993;0.32434010332119489,False,False,0,1,midpoint_children_do_not_complete_next_strict_frontier,1,2,2,0,5,1,tie,0.0,0.0002027800756214948,True
6,r36_06_moderate_seed5301,20,3,moderate,True,4,4,0.057144635390030694;0.083514114925258745;0.11831542250307144;0.15998675644551036,0.057144635390030694,1,True,True,0.08351411492525875,L0,0.0,0.04221433414923167,True,False,False,0.06615752602729702,0.07091496551936455,False,0.06615752602729702,0.009012890637266326,0.06615752602729702,0.009012890637266326,0.009012890637266326,0.06615752602729702;0.070914965519364548;0.083514114925258745;0.11831542250307144;0.15998675644551036,False,False,0,1,midpoint_children_do_not_complete_next_strict_frontier,1,2,2,0,3,0,g2a_improves,0.1090654712170297,0.09606318403075942,True
7,r36_07_high_imbalance_seed5203,20,3,high_imbalance,True,4,3,1.9814255024217624;2.1976615213567423;2.258965497085816,1.9814255024217624,1,True,True,2.1976615213567423,L2,0.475,0.7124999999999999,True,False,False,1.9883255556665396,2.078911521356742,False,1.9883255556665396,0.00690005324477716,1.9883255556665396,0.00690005324477716,0.00690005324477716,1.9883255556665396;2.078911521356742;2.1976615213567423;2.258965497085816,False,False,0,1,midpoint_children_do_not_complete_next_strict_frontier,1,3,3,0,9,5,tie,0.0,-0.0006213195889235648,True
8,r36_08_tight_T_seed5102,20,3,tight_T,True,4,2,0.20682410371683468;0.28917631309429254,0.20682410371683468,1,True,True,0.28917631309429254,L1,0.09058866569614615,0.1811773313922923,True,False,False,0.20843292656852036,0.24388198024621935,False,0.20843292656852036,0.0016088228516856762,0.20843292656852036,0.0016088228516856762,0.0016088228516856762,0.20843292656852036;0.24388198024621935;0.28917631309429254,False,False,0,1,midpoint_children_do_not_complete_next_strict_frontier,1,2,2,0,2,0,g2a_improves,0.10022437484446607,0.08003751173458191,True
9,r36_09_round31_sealed_moderate_V50_seed1112848618,50,3,moderate,True,4,2,0.47114477265216009;0.63729271116882058,0.4711447726521601,1,True,True,0.6372927111688206,L1,0.17187095993425508,0.34374191986851016,True,False,False,0.4716210287054333,0.5513579379743019,False,0.4716210287054333,0.0004762560532732274,0.4716210287054333,0.0004762560532732274,0.0004762560532732274,0.47162102870543332;0.55135793797430188;0.63729271116882058,False,False,0,1,midpoint_children_do_not_complete_next_strict_frontier,1,1,0,0,1,0,g2a_improves,5.31249623555996e-06,-0.0014342039166874987,True
10,r36_10_high_imbalance_seed6202,50,3,high_imbalance,True,4,2,7.4070090034849541;7.5557176110501905,7.407009003484954,1,True,True,7.5557176110501905,L2,0.49,0.735,True,False,False,7.909894409896645,7.461555638889693,False,7.461555638889693,0.05454663540473881,7.461555638889693,0.05454663540473881,0.05454663540473881,7.4615556388896929;7.5557176110501905;7.9098944098966451,False,False,0,1,midpoint_children_do_not_complete_next_strict_frontier,1,2,2,0,2,0,tie,0.0,-0.0013720316495437757,True
11,r36_11_tight_T_seed6102,50,3,tight_T,True,4,2,0.48661597140378293;0.62305459378377903,0.48661597140378293,1,True,True,0.623054593783779,L1,0.17139937077610898,0.34279874155221796,True,True,False,0.0,0.5408540636939213,False,0.5408540636939213,0.05423809229013837,0.5408540636939213,0.05423809229013837,0.05423809229013837,0.54085406369392131;0.62305459378377903;inf,False,False,0,1,midpoint_children_do_not_complete_next_strict_frontier,1,1,0,0,1,0,g2a_regresses,-0.009320194571573487,-0.012124638730546727,True
12,r36_12_round32_multi_m_moderate_V50_M4_seed721910669,50,4,moderate,True,4,2,0.26545684397297908;0.36122471902797532,0.2654568439729791,1,True,True,0.3612247190279753,L1,0.10167309768248162,0.20334619536496323,True,False,False,0.2654568439729788,0.3103881701867356,False,0.2654568439729788,-2.7755575615628914e-16,0.2654568439729788,-2.7755575615628914e-16,-2.7755575615628914e-16,0.26545684397297881;0.31038817018673559;0.36122471902797532,False,False,0,1,midpoint_children_do_not_complete_next_strict_frontier,1,1,0,0,1,0,g2a_improves,0.001688456357798962,-0.009964283168180432,True
