stage,run_count,pair_count,all_completion_artifact_contract_coverage_lifecycle_monotonicity_feasibility_gates_pass,strict_certificate_count,false_certificate_count,certificate_regression_count,child_evaluation_count,next_frontier_completion_count,accepted_refinement_count,improvement_count,regression_count,tie_count,run_audit_sha256,pair_analysis_sha256,analysis_sha256
smoke,12,6,True,6,0,0,5,0,0,1,0,5,f5073aa683a2fadb4eaccdc65dc9c10f6686739d8559a399b2161831579cd956,5693e144bd91746acee351ae2ff2fd5697e4614ccb2d20bd2f908e9c53044c10,b952d35d40f416208b09a08d1ac493a11b5a1b726da6eea702311b179ebb788d
diagnostic,24,12,True,10,0,0,11,0,0,4,1,7,684ef24cf20c1101d63d6292821c7b2e540ebc4111d186654139bff8ad3113e0,7e06d95251317135fa1d5eb96e95b913af522c5c069a6442c293efb3493cf447,559c8f6ca0b4da42a6fee45ea2981e7466c6b12a49453df093d755e542f0a0c4
confirmation,6,3,True,0,0,0,3,0,0,1,1,1,b1b264bda76466e1a60882a8658647e18c916d05655f6dabdd314063079a2fa4,4f0b58b81407cb3d011ca4f75fd4d2150b8ad7ea356e9cf747fea6c263d3a14a,ecb0ed3e00bc08ae47a1353e2d1cb6590c10ab2c70b5a45008c53f8f4aea5e7d
