panel_ordinal,panel_row_id,instance_id,V,M,scenario,common_verified_ub,c6_valid_lb,g2a_valid_lb,c6_common_ub_gap,g2a_common_ub_gap,g2a_gap_improvement,outcome,c6_strict,g2a_strict,certificate_regression,common_exact_window_seconds,c6_mean_common_gap_auc,g2a_mean_common_gap_auc,g2a_auc_improvement,c6_sequence_sha256,g2a_sequence_sha256,sequence_diverged,c6_work_descriptive,g2a_work_descriptive,c6_nodes_descriptive,g2a_nodes_descriptive,c6_exact_seconds_descriptive,g2a_exact_seconds_descriptive
1,r36_01_V12_M1,V12_M1,12,1,v12,0.3572005832084155,0.3572005832084145,0.3572005832084145,2.797309884512809e-15,2.797309884512809e-15,0.0,tie,True,True,False,23.6829536,0.07299298066919102,0.07636917113368881,-0.0033761904644977886,b068e711c9f5027ef03ad68606792d845c993e57321f647f7bb39a36bee9fcbe,ffe277193c274c5ff532f04837f430bbf31874b965e18b1b2b97dd88d9b6fd04,True,35.46318543974309,35.796255157948465,5867.0,5867.0,0.0,0.0
2,r36_02_V12_M2,V12_M2,12,2,v12,0.7185040707549709,0.7185040707549673,0.7185040707549673,5.099116526108658e-15,5.099116526108658e-15,0.0,tie,True,True,False,117.2555674,0.08568106179601495,0.08579807872043668,-0.00011701692442173117,c9df2db831353a9db13c3ae4a6856b02f4496e0710799a738138edf8ff34ba58,2c477933cfe74077709e85750a51a115036215ce7d0e05e0e4deb640fdb5ace7,True,219.71345731112058,219.71345731112058,2107.0,2107.0,0.0,0.0
4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,0.33993609699240646,0.33993609633698973,0.33993609633698973,1.9280586165897106e-09,1.9280586165897106e-09,0.0,tie,True,True,False,134.5079275,0.0854987097868957,0.0852959297112742,0.0002027800756214948,03529275dc4ad2ecf9a1fc2fad330501cf6fde8d0e71fc833d9ee758c7a0dfc3,c324544a39e559e0e66d9adb0ee05aee501f8b6341a861f493da003d42468620,True,225.66341762426467,226.4389349828048,8861.0,8861.0,0.0,0.0
6,r36_06_moderate_seed5301,moderate_seed5301,20,3,moderate,0.16885733659692667,0.0860139104573489,0.10443041544174529,0.4906119438406776,0.3815464726236479,0.1090654712170297,g2a_improves,False,False,False,444.1303677,0.4920184433590049,0.3959552593282455,0.09606318403075942,8b6a421c4906594682eec4c11457dd2299cbe56d1aeaa5534ffc2a1d083c2424,a666ca3d31f881effb2cce9c23b85670013d737ff21bd4735af078a4e14cd9ab,True,813.8398244898433,820.832592006164,877.0,868.0,0.0,0.0
7,r36_07_high_imbalance_seed5203,high_imbalance_seed5203,20,3,high_imbalance,2.3524097575828193,2.3524097575828056,2.3524097575828056,5.852197076200602e-15,5.852197076200602e-15,0.0,tie,True,True,False,146.7541969,0.04733233141534586,0.047953651004269425,-0.0006213195889235648,d3a072345eee9ceb499c6902bcef2ba761ad60d9bb05f439276e42179c439185,e5f3b9539914b8541b7378b12562fa8c7dc661ad6071361877fb6060a944bc42,True,247.00505883848243,248.21812535519067,2785.0,2785.0,0.0,0.0
8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,0.3623546627845846,0.28917631309429254,0.32549308264385485,0.20195227826775808,0.10172790342329201,0.10022437484446607,g2a_improves,False,False,False,447.1653995,0.2039291216945358,0.1238916099599539,0.08003751173458191,15969fe62b4bf63e727eb0caa256d07511409cded6ea096d558dcce52788a4fe,8d7fabc1c4af60fc73efde223d370ce95b3ab769c13b8a1ad1fed4c38fce6ebd,True,909.7016891926351,864.0616567229129,3873.0,4121.0,0.0,0.0
9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,0.637670997700243,0.5439224895136161,0.5439258771383909,0.14701704879903654,0.14701173630280098,5.31249623555996e-06,g2a_improves,False,False,False,308.2378295,0.21106797989695422,0.21250218381364172,-0.0014342039166874987,1351ea69c4014ff4b2db17ab7327b7eb2e983ce1d138608aaff649faf3610006,7282d3fd36112c4ef649478a8752259d1a514212def9069c50954c68b80a5258,True,869.2333129374922,848.28921432948,2.0,1.0,0.0,0.0
10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,9.733452945383577,8.191699928419316,8.191699928419316,0.15839733603432996,0.15839733603432996,0.0,tie,False,False,False,443.2935904,0.205265467349245,0.20663749899878878,-0.0013720316495437757,e403aa2fa5182221d483544117a1d95660e66f4c3c626edbbc9ea38b92e31186,a228c0dd2bac8ac30b925e887ac2b65fc3d35f0ac0e79f5165ba0c1bc1e1a7e4,True,1089.7391917284788,1089.4796122395483,624.0,623.0,0.0,0.0
11,r36_11_tight_T_seed6102,tight_T_seed6102,50,3,tight_T,0.6855974831044359,0.611021592813957,0.6046316908736425,0.10877503510192865,0.11809522967350214,-0.009320194571573487,g2a_regresses,False,False,False,372.093635,0.1601406153140294,0.17226525404457613,-0.012124638730546727,68c518e8dc409612e9387ebe1b62c551a28d6e81d5412a8db176a40c1540fcbb,7f2aabebf336215ec13df9600c857ae4d76eb9cad6efadd80e529a2fdb96f7cb,True,974.811269531767,1025.730610871332,2.0,1.0,0.0,0.0
12,r36_12_round32_multi_m_moderate_V50_M4_seed721910669,round32_multi_m_moderate_V50_M4_seed721910669,50,4,moderate,0.40669239072992647,0.3140909507005527,0.3147776330533491,0.22769405609771515,0.22600559973991619,0.001688456357798962,g2a_improves,False,False,False,176.2325201,0.3711683823732154,0.38113266554139585,-0.009964283168180432,9831db74c971e9c3350ddf262309bd5419994036ee699377f3b10676df2e8470,9e7efdb93dd172464fdb5e27e9ac7c0cc65ca75f90a2b40d147b11ec413f26db,True,489.1445232899159,488.1571093451922,2.0,1.0,0.0,0.0
