stage,run_id,panel_row_id,arm,process_cap_seconds,raw_directory,raw_directory_git_policy,completion_marker_sha256,artifact_count,artifact_manifest_sha256,result_sha256,executable_sha256,matrix_sha256,source_tree_fingerprint,recreation_command
smoke,smoke_r36_01_V12_M1__c6,r36_01_V12_M1,C6,180,results/gf_global_frontier_lift_round38/smoke_runs/smoke_r36_01_V12_M1__c6,local_ignored_reproducible,bd93cee2ee93ef7af33ee2f7e960e697c45e53cb31bf793a99f0b5985d57a563,34,5e15656557ba9c134e4ffee84461a3b9e271eb221d9f6d1ac9be65c4690fa561,610e47120a0992696570807f856b418bf691ca3f30d75767aab7fa11fc5de428,701d6cae4bdb9639ddc8a9046618ec97cdb5687ee534c808efb3497948b4077d,39418e71216f4d8029ca5a75ab95d98ffd2878a29e72558094b87c651e2e63a2,ec14436ac2409a9c534c967e3262ee856d557ea2d17a12d93eb528dc4724c76f,python scripts/run_round38_smoke.py
smoke,smoke_r36_01_V12_M1__g2a,r36_01_V12_M1,G2A,180,results/gf_global_frontier_lift_round38/smoke_runs/smoke_r36_01_V12_M1__g2a,local_ignored_reproducible,18f0c53327d0877ebffd369729f3fc309044734060c8a8b9d81b215510244669,38,78743441cc6f886e61527f87a550fb65d2655593cdad74bab2e1fcbad468a53c,90727589e5ec84e8fb270c4ea3f7bb0f35c69e73acc3ad18d3dcf35eb9ea9bbd,701d6cae4bdb9639ddc8a9046618ec97cdb5687ee534c808efb3497948b4077d,39418e71216f4d8029ca5a75ab95d98ffd2878a29e72558094b87c651e2e63a2,ec14436ac2409a9c534c967e3262ee856d557ea2d17a12d93eb528dc4724c76f,python scripts/run_round38_smoke.py
smoke,smoke_r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__c6,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,C6,180,results/gf_global_frontier_lift_round38/smoke_runs/smoke_r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__c6,local_ignored_reproducible,4f7d9525645d6bb099aa97315b811a143a56f9046d20bf9e103b4c4e244498da,47,90b2e598a4f6705c55a86ec3be26ce292fddf753b1901a91ea15c3043a81dd5c,6d8acdb0f9d75a6bdc57223aa294e26f62734ae74d82d8ac6dcc421fd50b215d,701d6cae4bdb9639ddc8a9046618ec97cdb5687ee534c808efb3497948b4077d,39418e71216f4d8029ca5a75ab95d98ffd2878a29e72558094b87c651e2e63a2,ec14436ac2409a9c534c967e3262ee856d557ea2d17a12d93eb528dc4724c76f,python scripts/run_round38_smoke.py
smoke,smoke_r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__g2a,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,G2A,180,results/gf_global_frontier_lift_round38/smoke_runs/smoke_r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__g2a,local_ignored_reproducible,72bca4f230188ac2fd1b88154ebb7086e8cd85cff1f0947981e9f0fceb8f47ac,47,6223114d9ed9b744374eaf914eb6f44ab8124abdae7cd2196c4595b40cff46ff,f3ffd313a52df93e174f0b86ff4c03376b2dcf00812d5678d2b707148c4fc968,701d6cae4bdb9639ddc8a9046618ec97cdb5687ee534c808efb3497948b4077d,39418e71216f4d8029ca5a75ab95d98ffd2878a29e72558094b87c651e2e63a2,ec14436ac2409a9c534c967e3262ee856d557ea2d17a12d93eb528dc4724c76f,python scripts/run_round38_smoke.py
smoke,smoke_r36_08_tight_T_seed5102__c6,r36_08_tight_T_seed5102,C6,180,results/gf_global_frontier_lift_round38/smoke_runs/smoke_r36_08_tight_T_seed5102__c6,local_ignored_reproducible,77ae3f05be8db0b229ba9836d1c130753454acacc1cd243bdd7f6befd3eec105,32,3f7210464f1cd4c9452722f76699add658a06ff1fe02ea833bf258f998a096cf,5cdf345d32c8f5364ad05aaa663253ea6786a9da1d617a9ec73c63ed14e35f20,701d6cae4bdb9639ddc8a9046618ec97cdb5687ee534c808efb3497948b4077d,39418e71216f4d8029ca5a75ab95d98ffd2878a29e72558094b87c651e2e63a2,ec14436ac2409a9c534c967e3262ee856d557ea2d17a12d93eb528dc4724c76f,python scripts/run_round38_smoke.py
smoke,smoke_r36_08_tight_T_seed5102__g2a,r36_08_tight_T_seed5102,G2A,180,results/gf_global_frontier_lift_round38/smoke_runs/smoke_r36_08_tight_T_seed5102__g2a,local_ignored_reproducible,059dd7b1c5734e4855a2ab8b328be30b00115b16543e444919ad75f1bce80b7c,33,7b4379d3e1befef8ff7983cc2782a696ff0a3eec1428aecc0208fc9667fa809b,940071cde19d14984960dc626a72422d12444decf08bb85f6aeab1058f18fd8d,701d6cae4bdb9639ddc8a9046618ec97cdb5687ee534c808efb3497948b4077d,39418e71216f4d8029ca5a75ab95d98ffd2878a29e72558094b87c651e2e63a2,ec14436ac2409a9c534c967e3262ee856d557ea2d17a12d93eb528dc4724c76f,python scripts/run_round38_smoke.py
smoke,smoke_r36_09_round31_sealed_moderate_V50_seed1112848618__c6,r36_09_round31_sealed_moderate_V50_seed1112848618,C6,180,results/gf_global_frontier_lift_round38/smoke_runs/smoke_r36_09_round31_sealed_moderate_V50_seed1112848618__c6,local_ignored_reproducible,82cb32caa999006cc561e5e271761b35b5a48adaaa310cf6cc806585fe55d863,20,3528ceee7e3e00f96d3031f4b8286ee2a5c84c20053fffcce7f9e130c8cba311,0938d0f91f64f1d3701c1d72eddcf98fcab606b614a4d9885542218a550e2ecc,701d6cae4bdb9639ddc8a9046618ec97cdb5687ee534c808efb3497948b4077d,39418e71216f4d8029ca5a75ab95d98ffd2878a29e72558094b87c651e2e63a2,ec14436ac2409a9c534c967e3262ee856d557ea2d17a12d93eb528dc4724c76f,python scripts/run_round38_smoke.py
smoke,smoke_r36_09_round31_sealed_moderate_V50_seed1112848618__g2a,r36_09_round31_sealed_moderate_V50_seed1112848618,G2A,180,results/gf_global_frontier_lift_round38/smoke_runs/smoke_r36_09_round31_sealed_moderate_V50_seed1112848618__g2a,local_ignored_reproducible,db0b741f2aa7fc04bf5feb8f9d10ec4dee871574f8a10c7baddedf03b0e46b2d,20,adbdf7923dd4af3d1e550d1d4053bfc1b58e132c67deb15a0c6fbbc89e9d5f69,53df75e79f57f704fed0bf2c5be9a06374d440bbcc1279a2c7e812e6aa41123d,701d6cae4bdb9639ddc8a9046618ec97cdb5687ee534c808efb3497948b4077d,39418e71216f4d8029ca5a75ab95d98ffd2878a29e72558094b87c651e2e63a2,ec14436ac2409a9c534c967e3262ee856d557ea2d17a12d93eb528dc4724c76f,python scripts/run_round38_smoke.py
smoke,smoke_r36_10_high_imbalance_seed6202__c6,r36_10_high_imbalance_seed6202,C6,180,results/gf_global_frontier_lift_round38/smoke_runs/smoke_r36_10_high_imbalance_seed6202__c6,local_ignored_reproducible,f41fdb33d9717517653ae09bb9c156895f1f515c14b13dd428374b8ff3c04862,33,be502f7f2bd9e0f479af275e0acef47514b2ebb97651c4aa28ae5db15e6e0db9,24a11898c4511cc6c73b00a538504a9aa9a9345f7d80052070730ae3908179ea,701d6cae4bdb9639ddc8a9046618ec97cdb5687ee534c808efb3497948b4077d,39418e71216f4d8029ca5a75ab95d98ffd2878a29e72558094b87c651e2e63a2,ec14436ac2409a9c534c967e3262ee856d557ea2d17a12d93eb528dc4724c76f,python scripts/run_round38_smoke.py
smoke,smoke_r36_10_high_imbalance_seed6202__g2a,r36_10_high_imbalance_seed6202,G2A,180,results/gf_global_frontier_lift_round38/smoke_runs/smoke_r36_10_high_imbalance_seed6202__g2a,local_ignored_reproducible,d72c8569cb8699650d979564300db5ce2259a675d337073903832e15d74f72f2,33,2549d3b1117517e5e7198882b9b8b79f89b0d7f73b3e6f4a00d0db6f0c023448,9e065bdaec5189f1f78e52f5d36eb2d9c6d9c9ef2d8e1eb23ff2752226434dae,701d6cae4bdb9639ddc8a9046618ec97cdb5687ee534c808efb3497948b4077d,39418e71216f4d8029ca5a75ab95d98ffd2878a29e72558094b87c651e2e63a2,ec14436ac2409a9c534c967e3262ee856d557ea2d17a12d93eb528dc4724c76f,python scripts/run_round38_smoke.py
