panel_ordinal,panel_row_id,role,arm,initial_bound_vector,candidate_b_plus,candidate_next_frontier,candidate_accepted,controlling_leaf_sequence,target_sequence,requeue_count,split_sequence,atomic_split_events,terminal_mip_sequence,final_valid_lb,common_ub_gap,proof_auc,strict_certificate,certificate_rejection_reason,work_descriptive,nodes_descriptive,process_seconds_descriptive,trajectory_sha256
8,r36_08_tight_T_seed5102,stable_positive,C6,see_initial_LP_ledger_same_geometry,not_evaluated,not_evaluated,not_evaluated,L0;L1;L2;L1;L3;L1.0;L1.1;L1,L1:0.20682410371683468->0.27176599708843846:target_reached_requeue,1,L1:0:current_child_gain_not_strict,0,,0.28917631309429254,0.20195227826775808,0.20297289748078087,False,relevant_leaf_open,1806.307030380966,8835,885.0331711,850a55a08365ebcfdf586d9b4566fbac92e5df0dfe00ea193364d145a7cd66dd
8,r36_08_tight_T_seed5102,stable_positive,G2A,0.20682410371683468;0.28917631309429254,0.20843292656852036,0.28917631309429254,False,L0;L1;L2;L3;L1;L1.0;L1.1;L1;L2;L1.0;L1.1;L1,L1:0.20682410371683468->0.28917631309429254:target_reached_requeue;L2:0.28917631309429254->0.29804469519923471:target_reached_requeue,2,L1:0:midpoint_children_do_not_complete_next_strict_frontier;L1:0:current_child_gain_not_strict,0,,0.32985105207896404,0.08970109686416143,0.10844530609621446,False,relevant_leaf_open,1844.7544192123257,9554,885.0366796,ad9e474106aba27bd265875cb5734d1e5bd9a937823a57756f0273bdd5ec5817
10,r36_10_high_imbalance_seed6202,stable_adversarial,C6,see_initial_LP_ledger_same_geometry,not_evaluated,not_evaluated,not_evaluated,L0;L1;L2;L3;L2;L3;L2.0;L2.1;L2,L2:7.4070090034849541->7.5557176110501905:target_reached_requeue;L3:7.5557176110501905->7.7850579556832047:target_reached_requeue,2,L2:0:current_child_gain_not_strict,0,,8.191699928419316,0.15806489674137436,0.1821699661336062,False,relevant_leaf_open,2097.8473640917045,977,885.1281339,3227cfee0b77cf98995b4bd92a6547707960b1c84a3ae58914464b88fea1baee
10,r36_10_high_imbalance_seed6202,stable_adversarial,G2A,7.4070090034849541;7.5557176110501905,7.461555638889693,7.5557176110501905,False,L0;L1;L2;L3;L2;L2.0;L2.1;L2;L3;L2.0;L2.1;L2,L2:7.4070090034849541->7.5557176110501905:target_reached_requeue;L3:7.5557176110501905->7.7850579556832047:target_reached_requeue,2,L2:0:midpoint_children_do_not_complete_next_strict_frontier;L2:0:current_child_gain_not_strict,0,,8.191699928419316,0.15806489674137436,0.1829586265881621,False,relevant_leaf_open,2102.5865696760416,971,885.1216078,2763ac42522eb8e62c5a1786977b5d374ad3a964e16bb13e76bc467b28d30703
11,r36_11_tight_T_seed6102,confirmed_regression,C6,see_initial_LP_ledger_same_geometry,not_evaluated,not_evaluated,not_evaluated,L0;L1;L2;L1;L3;L1.0;L1.1;L1;L1.1,L1:0.48661597140378293->0.51419811232832691:target_reached_requeue;L1.1:0.55834130540150817->0.62305459378377903:deadline_open,1,L1:1:current_complete_child_infeasibility,1,,0.6137151352979232,0.09105619096455457,0.11761510925095,False,relevant_leaf_open,2143.5228562896295,31,885.0912797,1dc10e54358b37e24fc61a3e7c1ca1710065dde68b29efbc181a121d5fc90439
11,r36_11_tight_T_seed6102,confirmed_regression,G2A,0.48661597140378293;0.62305459378377903,0.5408540636939213,0.623054593783779,False,L0;L1;L2;L3;L1;L1.0;L1.1;L1,L1:0.48661597140378293->0.62305459378377903:deadline_open,0,L1:0:midpoint_children_do_not_complete_next_strict_frontier,0,,0.6076330549522581,0.10006406604908356,0.12850385260839056,False,relevant_leaf_open,2394.67528676305,141,885.0971471,669141175026d774554705dd6fd633316751ffd00f185d96f84a45fc6d5bee3b
