stage,process_cap_seconds,panel_ordinal,panel_row_id,instance_id,V,M,scenario,verified_ub_at_g2a_launch,common_verified_ub,initial_intervals,all_initial_lps_complete,initial_lp_count,sorted_initial_open_bounds,initial_global_L,next_strict_frontier_t,frontier_plateau_size,unique_controlling_cell,selected_cell,selected_interval,left_child_interval,right_child_interval,children_evaluated,left_child_infeasible,right_child_infeasible,left_child_bound,right_child_bound,b_plus_infinite,b_plus,delta_local,hypothetical_L_i_plus,delta_global,frontier_completion,completes_next_frontier,hypothetical_sorted_post_bounds,accepted_refinement,decision_reason,live_refined_descendants,c6_controlling_leaf_sequence,g2a_controlling_leaf_sequence,c6_target_sequence,g2a_target_sequence,c6_split_sequence,g2a_split_sequence,c6_closure_sequence,g2a_closure_sequence,c6_terminal_mip_sequence,g2a_terminal_mip_sequence,c6_valid_lb,g2a_valid_lb,c6_common_ub_gap,g2a_common_ub_gap,g2a_gap_improvement,c6_proof_auc,g2a_proof_auc,g2a_auc_improvement,outcome,c6_strict_certificate,g2a_strict_certificate,certificate_regression,c6_work_descriptive,g2a_work_descriptive,c6_nodes_descriptive,g2a_nodes_descriptive,c6_process_seconds_descriptive,g2a_process_seconds_descriptive,c6_exact_phase_seconds_descriptive,g2a_exact_phase_seconds_descriptive
smoke,180,1,r36_01_V12_M1,V12_M1,12,1,v12,0.3572005832084155,0.3572005832084155,"[0,0.089300145802103881];[0.089300145802103881,0.17860029160420776];[0.17860029160420776,0.26790043740631164];[0.26790043740631164,0.35720058320841552]",True,4,0.27726096936095629;0.29424322429778327;0.35403537724225576,0.2772609693609563,0.29424322429778327,1,True,L1,"[0.089300145802103881,0.17860029160420776]","[0.089300145802103881,0.13395021870315582]","[0.13395021870315582,0.17860029160420776]",True,True,False,0,0.2929612572872057,False,0.2929612572872057,0.01570028792624939,0.2929612572872057,0.01570028792624939,0.01570028792624939,False,0.29296125728720568;0.29424322429778327;0.35403537724225576;inf,False,midpoint_children_do_not_complete_next_strict_frontier,0,L0;L1;L2;L3;L1;L2;L3;L2.0;L2.1;L2,L0;L1;L2;L3;L1;L1.0;L1.1;L1;L2;L3;L2.0;L2.1;L2,L1:0.27726096936095629->0.29424322429778327:exact_closure:c6_next_strict_frontier_bound_reached_requeue;L2:0.29424322429778327->0.35403537724225576:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L3:0.35403537724225576->0.35404031513876566:exact_closure:c6_next_strict_frontier_bound_reached_requeue,L1:0.27726096936095629->0.29424322429778327:exact_closure:round38_rejected_pilot_resume_c6_next_frontier;L2:0.29424322429778327->0.35403537724225576:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L3:0.35403537724225576->0.35404031513876566:exact_closure:c6_next_strict_frontier_bound_reached_requeue,L2:0:current_child_gain_not_strict,L1:0:midpoint_children_do_not_complete_next_strict_frontier;L2:0:current_child_gain_not_strict,,,,,0.3572005832084145,0.3572005832084145,2.797309884512809e-15,2.797309884512809e-15,0.0,0.07269608256982993,0.07588600429254494,-0.003189921722715011,tie,True,True,False,35.46318543974309,35.796255157948465,5867,5867,30.1908524,30.6902988,23.6457779,24.0437381
smoke,180,4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,0.33993609699240646,0.33993609699240646,"[0,0.088409732271174934];[0.088409732271174934,0.17681946454234987];[0.17681946454234987,0.2652291968135248];[0.2652291968135248,0.35363892908469974]",True,4,0.15661358654541371;0.23593037105001993;0.32434010332119489,0.1566135865454137,0.23593037105001993,1,True,L1,"[0.088409732271174934,0.17681946454234987]","[0.088409732271174934,0.1326145984067624]","[0.1326145984067624,0.17681946454234987]",True,False,False,0.17379180329874633,0.1919812370379214,False,0.17379180329874633,0.017178216753332615,0.17379180329874633,0.017178216753332615,0.017178216753332615,False,0.17379180329874633;0.19198123703792139;0.23593037105001993;0.32434010332119489,False,midpoint_children_do_not_complete_next_strict_frontier,0,L0;L1;L2;L1.0;L1.1;L1;L2;L3;L2.0;L2.1;L2;L3.0;L3.1;L3;L3.0.0;L3.0.1;L3.0,L0;L1;L2;L3;L1;L1.0;L1.1;L1;L2;L1.0;L1.1;L1;L2.0;L2.1;L2;L3.0;L3.1;L3;L3.0.0;L3.0.1;L3.0,L1:0.15661358654541371->0.17681946454234987:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L2:0.23593037105001993->0.2652291968135248:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue,L1:0.15661358654541371->0.23593037105001993:target_reached_requeue:round38_rejected_pilot_resume_c6_next_frontier;L2:0.23593037105001993->0.25825349499100786:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue,L1:0:current_child_gain_not_strict;L2:0:current_child_gain_not_strict;L3:1:current_complete_child_infeasibility;L3.0:0:current_child_gain_not_strict,L1:0:midpoint_children_do_not_complete_next_strict_frontier;L1:0:current_child_gain_not_strict;L2:0:current_child_gain_not_strict;L3:1:current_complete_child_infeasibility;L3.0:0:current_child_gain_not_strict,,,,,0.33993609633698973,0.33993609633698973,1.9280586165897106e-09,1.9280586165897106e-09,0.0,0.08534284618970825,0.08529088101785395,5.196517185429572e-05,tie,True,True,False,225.66341762426467,226.4389349828048,8861,8861,139.6055537,139.5317327,134.7793533,134.8295531
smoke,180,8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,0.3623546627845846,0.3623546627845846,"[0,0.090588665696146153];[0.090588665696146153,0.18117733139229231];[0.18117733139229231,0.27176599708843846];[0.27176599708843846,0.36235466278458461]",True,4,0.20682410371683468;0.28917631309429254,0.20682410371683468,0.28917631309429254,1,True,L1,"[0.090588665696146153,0.18117733139229231]","[0.090588665696146153,0.13588299854421923]","[0.13588299854421923,0.18117733139229231]",True,False,False,0.20843292656852036,0.24388198024621935,False,0.20843292656852036,0.0016088228516856762,0.20843292656852036,0.0016088228516856762,0.0016088228516856762,False,0.20843292656852036;0.24388198024621935;0.28917631309429254,False,midpoint_children_do_not_complete_next_strict_frontier,0,L0;L1;L2;L1;L3;L1.0;L1.1;L1,L0;L1;L2;L3;L1;L1.0;L1.1;L1;L2;L1.0;L1.1;L1,L1:0.20682410371683468->0.27176599708843846:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue,L1:0.20682410371683468->0.28917631309429254:target_reached_requeue:round38_rejected_pilot_resume_c6_next_frontier;L2:0.28917631309429254->0.29804469519923471:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue,L1:0:current_child_gain_not_strict,L1:0:midpoint_children_do_not_complete_next_strict_frontier;L1:0:current_child_gain_not_strict,,,,,0.28917631309429254,0.31813288777943777,0.20195227826775808,0.12204003300334552,0.07991224526441255,0.2079556164170154,0.14690964416208413,0.061045972254931274,g2a_improves,False,False,False,259.8879844043837,266.6816252855213,795,972,165.0338266,165.029548,147.2108587,147.1916984
smoke,180,9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,0.6874838397370203,0.6874838397370203,"[0,0.17187095993425508];[0.17187095993425508,0.34374191986851016];[0.34374191986851016,0.51561287980276527];[0.51561287980276527,0.68748383973702032]",False,0,,0,0,0,False,,,,,False,False,False,0,0,False,0,0,0,0,0,False,,False,not_evaluated,0,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,tie,False,False,False,24.352004990075997,21.391444383792713,0,0,165.2970056,165.2941054,9.52763090000002,8.751024900000004
smoke,180,10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,9.820664665302525,9.820664665302525,"[0,0.245];[0.245,0.48999999999999999];[0.48999999999999999,0.73499999999999999];[0.73499999999999999,0.97999999999999998]",True,4,7.4070090034849541;7.5557176110501905,7.407009003484954,7.5557176110501905,1,True,L2,"[0.48999999999999999,0.73499999999999999]","[0.48999999999999999,0.61250000000000004]","[0.61250000000000004,0.73499999999999999]",True,False,False,7.909894409896645,7.461555638889693,False,7.461555638889693,0.05454663540473881,7.461555638889693,0.05454663540473881,0.05454663540473881,False,7.4615556388896929;7.5557176110501905;7.9098944098966451,False,midpoint_children_do_not_complete_next_strict_frontier,0,L0;L1;L2;L3;L2;L3;L2.0;L2.1;L2,L0;L1;L2;L3;L2;L2.0;L2.1;L2;L3;L2.0;L2.1;L2,L2:7.4070090034849541->7.5557176110501905:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L3:7.5557176110501905->7.7850579556832047:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue,L2:7.4070090034849541->7.5557176110501905:target_reached_requeue:round38_rejected_pilot_resume_c6_next_frontier;L3:7.5557176110501905->7.7850579556832047:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue,L2:0:current_child_gain_not_strict,L2:0:midpoint_children_do_not_complete_next_strict_frontier;L2:0:current_child_gain_not_strict,,,,,8.191699928419316,8.191699928419316,0.16587112913431593,0.16587112913431593,0.0,0.30966911244971085,0.3142078159411459,-0.004538703491435037,tie,False,False,False,283.44785278476513,290.0052102905276,3,3,165.0887713,165.0867778,143.2648274,143.3262305
smoke,180,14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,20,2,high_imbalance,4.356924112605589,4.356924112605589,"[0,0.23749999999999999];[0.23749999999999999,0.47499999999999998];[0.47499999999999998,0.71249999999999991];[0.71249999999999991,0.94999999999999996]",True,4,4.2430945553030863;4.3029840799645553,4.243094555303086,4.302984079964555,1,True,L2,"[0.47499999999999998,0.71249999999999991]","[0.47499999999999998,0.59375]","[0.59375,0.71249999999999991]",True,True,False,0,4.2732934103796625,False,4.2732934103796625,0.03019885507657616,4.2732934103796625,0.03019885507657616,0.03019885507657616,False,4.2732934103796625;4.3029840799645553;inf,False,midpoint_children_do_not_complete_next_strict_frontier,0,L0;L1;L2;L3;L2;L3;L2.0;L2.1;L2;L2.1;L3.0;L3.1;L3;L3.0.0;L3.0.1;L3.0;L3.0.0.0;L3.0.0.1;L3.0.0,L0;L1;L2;L3;L2;L2.0;L2.1;L2;L3;L2.0;L2.1;L2;L2.1;L3.0;L3.1;L3;L3.0.0;L3.0.1;L3.0;L3.0.0.0;L3.0.0.1;L3.0.0,L2:4.2430945553030863->4.3029840799645553:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L3:4.3029840799645553->4.3145156001533271:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L2.1:4.3145156001533271->4.330968081602224:exact_closure:c6_next_strict_frontier_bound_reached_requeue,L2:4.2430945553030863->4.3029840799645553:target_reached_requeue:round38_rejected_pilot_resume_c6_next_frontier;L3:4.3029840799645553->4.3145156001533271:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L2.1:4.3145156001533271->4.330968081602224:exact_closure:c6_next_strict_frontier_bound_reached_requeue,L2:1:current_complete_child_infeasibility;L3:1:current_complete_child_infeasibility;L3.0:1:current_complete_child_infeasibility;L3.0.0:0:current_child_gain_not_strict,L2:0:midpoint_children_do_not_complete_next_strict_frontier;L2:1:current_complete_child_infeasibility;L3:1:current_complete_child_infeasibility;L3.0:1:current_complete_child_infeasibility;L3.0.0:0:current_child_gain_not_strict,,,,,4.356924112605589,4.356924112605589,0.0,0.0,0.0,0.1954687825103801,0.1975952569102212,-0.002126474399841094,tie,True,True,False,4.85301819199449,5.395434719826091,3,3,11.0400227,11.3822273,3.8408628,4.0901192
diagnostic,480,1,r36_01_V12_M1,V12_M1,12,1,v12,0.3572005832084155,0.3572005832084155,"[0,0.089300145802103881];[0.089300145802103881,0.17860029160420776];[0.17860029160420776,0.26790043740631164];[0.26790043740631164,0.35720058320841552]",True,4,0.27726096936095629;0.29424322429778327;0.35403537724225576,0.2772609693609563,0.29424322429778327,1,True,L1,"[0.089300145802103881,0.17860029160420776]","[0.089300145802103881,0.13395021870315582]","[0.13395021870315582,0.17860029160420776]",True,True,False,0,0.2929612572872057,False,0.2929612572872057,0.01570028792624939,0.2929612572872057,0.01570028792624939,0.01570028792624939,False,0.29296125728720568;0.29424322429778327;0.35403537724225576;inf,False,midpoint_children_do_not_complete_next_strict_frontier,0,L0;L1;L2;L3;L1;L2;L3;L2.0;L2.1;L2,L0;L1;L2;L3;L1;L1.0;L1.1;L1;L2;L3;L2.0;L2.1;L2,L1:0.27726096936095629->0.29424322429778327:exact_closure:c6_next_strict_frontier_bound_reached_requeue;L2:0.29424322429778327->0.35403537724225576:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L3:0.35403537724225576->0.35404031513876566:exact_closure:c6_next_strict_frontier_bound_reached_requeue,L1:0.27726096936095629->0.29424322429778327:exact_closure:round38_rejected_pilot_resume_c6_next_frontier;L2:0.29424322429778327->0.35403537724225576:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L3:0.35403537724225576->0.35404031513876566:exact_closure:c6_next_strict_frontier_bound_reached_requeue,L2:0:current_child_gain_not_strict,L1:0:midpoint_children_do_not_complete_next_strict_frontier;L2:0:current_child_gain_not_strict,,,,,0.3572005832084145,0.3572005832084145,2.797309884512809e-15,2.797309884512809e-15,0.0,0.07299298066919102,0.07636917113368881,-0.0033761904644977886,tie,True,True,False,35.46318543974309,35.796255157948465,5867,5867,30.3754053,30.5319958,23.6861197,23.9345889
diagnostic,480,2,r36_02_V12_M2,V12_M2,12,2,v12,0.7185040707549709,0.7185040707549709,"[0,0.17962601768874273];[0.17962601768874273,0.35925203537748546];[0.35925203537748546,0.53887805306622816];[0.53887805306622816,0.71850407075497091]",True,4,0.58956333674838779,0,0,1,True,,,,,False,False,False,0,0,False,0,0,0,0,0,False,,False,no_next_strict_open_leaf_frontier,0,L0;L1;L2;L3;L2.0;L2.1;L2;L2.0;L2.1;L2.0.0;L2.0.1;L2.0;L2.0.1;L2.1.0;L2.1.1;L2.1;L2.0.1.0;L2.0.1.1;L2.0.1,L0;L1;L2;L3;L2.0;L2.1;L2;L2.0;L2.1;L2.0.0;L2.0.1;L2.0;L2.0.1;L2.1.0;L2.1.1;L2.1;L2.0.1.0;L2.0.1.1;L2.0.1,L2.0:0.59521651627960104->0.65720345116560386:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L2.1:0.65720345116560386->0.65721441052402374:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L2.0.1:0.65721441052402374->0.6603522489521183:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue,L2.0:0.59521651627960104->0.65720345116560386:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L2.1:0.65720345116560386->0.65721441052402374:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L2.0.1:0.65721441052402374->0.6603522489521183:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue,L2:1:current_normalized_child_gain_reaches_rho;L2.0:1:current_complete_child_infeasibility;L2.1:0:current_child_gain_not_strict;L2.0.1:0:current_child_gain_not_strict,L2:1:current_normalized_child_gain_reaches_rho;L2.0:1:current_complete_child_infeasibility;L2.1:0:current_child_gain_not_strict;L2.0.1:0:current_child_gain_not_strict,,,,,0.7185040707549673,0.7185040707549673,5.099116526108658e-15,5.099116526108658e-15,0.0,0.08568106179601495,0.08579807872043668,-0.00011701692442173117,tie,True,True,False,219.71345731112058,219.71345731112058,2107,2107,124.6271762,124.5756271,117.25972429999999,117.47249500000001
diagnostic,480,4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,0.33993609699240646,0.33993609699240646,"[0,0.088409732271174934];[0.088409732271174934,0.17681946454234987];[0.17681946454234987,0.2652291968135248];[0.2652291968135248,0.35363892908469974]",True,4,0.15661358654541371;0.23593037105001993;0.32434010332119489,0.1566135865454137,0.23593037105001993,1,True,L1,"[0.088409732271174934,0.17681946454234987]","[0.088409732271174934,0.1326145984067624]","[0.1326145984067624,0.17681946454234987]",True,False,False,0.17379180329874633,0.1919812370379214,False,0.17379180329874633,0.017178216753332615,0.17379180329874633,0.017178216753332615,0.017178216753332615,False,0.17379180329874633;0.19198123703792139;0.23593037105001993;0.32434010332119489,False,midpoint_children_do_not_complete_next_strict_frontier,0,L0;L1;L2;L1.0;L1.1;L1;L2;L3;L2.0;L2.1;L2;L3.0;L3.1;L3;L3.0.0;L3.0.1;L3.0,L0;L1;L2;L3;L1;L1.0;L1.1;L1;L2;L1.0;L1.1;L1;L2.0;L2.1;L2;L3.0;L3.1;L3;L3.0.0;L3.0.1;L3.0,L1:0.15661358654541371->0.17681946454234987:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L2:0.23593037105001993->0.2652291968135248:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue,L1:0.15661358654541371->0.23593037105001993:target_reached_requeue:round38_rejected_pilot_resume_c6_next_frontier;L2:0.23593037105001993->0.25825349499100786:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue,L1:0:current_child_gain_not_strict;L2:0:current_child_gain_not_strict;L3:1:current_complete_child_infeasibility;L3.0:0:current_child_gain_not_strict,L1:0:midpoint_children_do_not_complete_next_strict_frontier;L1:0:current_child_gain_not_strict;L2:0:current_child_gain_not_strict;L3:1:current_complete_child_infeasibility;L3.0:0:current_child_gain_not_strict,,,,,0.33993609633698973,0.33993609633698973,1.9280586165897106e-09,1.9280586165897106e-09,0.0,0.0854987097868957,0.0852959297112742,0.0002027800756214948,tie,True,True,False,225.66341762426467,226.4389349828048,8861,8861,139.2036977,139.4191422,134.5111843,134.6661534
diagnostic,480,6,r36_06_moderate_seed5301,moderate_seed5301,20,3,moderate,0.16885733659692667,0.16885733659692667,"[0,0.042214334149231668];[0.042214334149231668,0.084428668298463336];[0.084428668298463336,0.126643002447695];[0.126643002447695,0.16885733659692667]",True,4,0.057144635390030694;0.083514114925258745;0.11831542250307144;0.15998675644551036,0.057144635390030694,0.08351411492525875,1,True,L0,"[0,0.042214334149231668]","[0,0.021107167074615834]","[0.021107167074615834,0.042214334149231668]",True,False,False,0.06615752602729702,0.07091496551936455,False,0.06615752602729702,0.009012890637266326,0.06615752602729702,0.009012890637266326,0.009012890637266326,False,0.06615752602729702;0.070914965519364548;0.083514114925258745;0.11831542250307144;0.15998675644551036,False,midpoint_children_do_not_complete_next_strict_frontier,0,L0;L1;L0;L1;L2;L1.0;L1.1;L1,L0;L1;L2;L3;L0;L0.0;L0.1;L0;L1;L0.0;L0.1;L0;L1.0;L1.1;L1,L0:0.057144635390030694->0.083514114925258745:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue;L1:0.083514114925258745->0.084428668298463336:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue,L0:0.057144635390030694->0.083514114925258745:target_reached_requeue:round38_rejected_pilot_resume_c6_next_frontier;L1:0.083514114925258745->0.086013910457348894:target_reached_requeue:c6_next_strict_frontier_bound_reached_requeue,L1:0:current_child_gain_not_strict,L0:0:midpoint_children_do_not_complete_next_strict_frontier;L0:0:current_child_gain_not_strict;L1:0:current_child_gain_not_strict,,,,,0.0860139104573489,0.10443041544174529,0.4906119438406776,0.3815464726236479,0.1090654712170297,0.4920184433590049,0.3959552593282455,0.09606318403075942,g2a_improves,False,False,False,813.8398244898433,820.832592006164,877,868,465.0321882,465.0389644,444.24823860000004,444.135398
