run_id,panel_row_id,arm,completion_marker_valid,artifact_manifest_valid,result_hash_valid,arm_contract_valid,round37_policy_off,root_coverage_valid,parent_child_coverage_valid,lifecycle_complete,global_bound_monotone,leaf_bounds_monotone,feasibility_gate,strict_certificate,strict_certificate_class,strict_certificate_rejection_reason,all_relevant_leaves_closed,false_certificate,all_gates_pass
confirmation_r36_08_tight_T_seed5102__c6,r36_08_tight_T_seed5102,C6,True,True,True,True,True,True,True,True,True,True,True,False,certificate_rejected,relevant_leaf_open,False,False,True
confirmation_r36_08_tight_T_seed5102__g2a,r36_08_tight_T_seed5102,G2A,True,True,True,True,True,True,True,True,True,True,True,False,certificate_rejected,relevant_leaf_open,False,False,True
confirmation_r36_10_high_imbalance_seed6202__c6,r36_10_high_imbalance_seed6202,C6,True,True,True,True,True,True,True,True,True,True,True,False,certificate_rejected,relevant_leaf_open,False,False,True
confirmation_r36_10_high_imbalance_seed6202__g2a,r36_10_high_imbalance_seed6202,G2A,True,True,True,True,True,True,True,True,True,True,True,False,certificate_rejected,relevant_leaf_open,False,False,True
confirmation_r36_11_tight_T_seed6102__c6,r36_11_tight_T_seed6102,C6,True,True,True,True,True,True,True,True,True,True,True,False,certificate_rejected,relevant_leaf_open,False,False,True
confirmation_r36_11_tight_T_seed6102__g2a,r36_11_tight_T_seed6102,G2A,True,True,True,True,True,True,True,True,True,True,True,False,certificate_rejected,relevant_leaf_open,False,False,True
