panel_ordinal,panel_row_id,instance_id,V,M,scenario,common_verified_ub,c6_valid_lb,g2a_valid_lb,c6_common_ub_gap,g2a_common_ub_gap,g2a_gap_improvement,outcome,c6_strict,g2a_strict,certificate_regression,common_exact_window_seconds,c6_mean_common_gap_auc,g2a_mean_common_gap_auc,g2a_auc_improvement,c6_sequence_sha256,g2a_sequence_sha256,sequence_diverged,c6_work_descriptive,g2a_work_descriptive,c6_nodes_descriptive,g2a_nodes_descriptive,c6_exact_seconds_descriptive,g2a_exact_seconds_descriptive
8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,0.3623546627845846,0.28917631309429254,0.32985105207896404,0.20195227826775808,0.08970109686416143,0.11225118140359665,g2a_improves,False,False,False,867.1308034,0.20297289748078087,0.10844530609621446,0.09452759138456641,850a55a08365ebcfdf586d9b4566fbac92e5df0dfe00ea193364d145a7cd66dd,ad9e474106aba27bd265875cb5734d1e5bd9a937823a57756f0273bdd5ec5817,True,1806.307030380966,1844.7544192123257,8835.0,9554.0,885.0331711,885.0366796
10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,9.729609677413569,8.191699928419316,8.191699928419316,0.15806489674137436,0.15806489674137436,0.0,tie,False,False,False,863.2817583,0.1821699661336062,0.1829586265881621,-0.0007886604545558895,3227cfee0b77cf98995b4bd92a6547707960b1c84a3ae58914464b88fea1baee,2763ac42522eb8e62c5a1786977b5d374ad3a964e16bb13e76bc467b28d30703,True,2097.8473640917045,2102.5865696760416,977.0,971.0,885.1281339,885.1216078
11,r36_11_tight_T_seed6102,tight_T_seed6102,50,3,tight_T,0.6751959023178633,0.6137151352979232,0.6076330549522581,0.09105619096455457,0.10006406604908356,-0.009007875084528993,g2a_regresses,False,False,False,792.5023302,0.11761510925095,0.12850385260839056,-0.010888743357440556,1dc10e54358b37e24fc61a3e7c1ca1710065dde68b29efbc181a121d5fc90439,669141175026d774554705dd6fd633316751ffd00f185d96f84a45fc6d5bee3b,True,2143.5228562896295,2394.67528676305,31.0,141.0,885.0912797,885.0971471
