stage,run_id,instance_id,process_cap_seconds,selected_leaf,complete_open_initial_count,initial_sorted_bound_vector,initial_global_lb,frontier_plateau_size,next_strict_frontier_available,next_strict_frontier,b_plus,delta_local,L_i_plus,delta_global,frontier_completion,completes_next_strict_frontier,hypothetical_sorted_post_vector,immediate_other_bottleneck,refined_descendant_controlling_event_count_before_displacement,first_other_controlling_leaf,exact_seconds_until_other_controls,descendant_target_event_count,descendant_requeue_count,descendant_terminal_event_count,final_valid_lb,verified_ub,final_verified_ub_gap,strict_certificate
exploratory_smoke,smoke_r36_01_V12_M1__g1,smoke_r36_01_V12_M1__g1,180,L1,3,L1:0.27726096936095629;L2:0.29424322429778327;L3:0.35403537724225576,0.27726096936095629,1,True,0.29424322429778327,0,-0.27726096936095629,0,-0.27726096936095629,-0.27726096936095629,False,0;0.29296125728720568;0.29424322429778327;0.35403537724225576,False,1,L2,0.39713830000000017,1,0,0,0.35720058320841452,0.35720058320841552,2.7973098845128091e-15,True
exploratory_smoke,smoke_r36_02_V12_M2__g1,smoke_r36_02_V12_M2__g1,180,L2,1,L2:0.58956333674838779,0.58956333674838779,1,False,,0.59521651627960104,0.0056531795312132482,0.59521651627960104,0.0056531795312132482,,False,0.59521651627960104;0.65720345116560386,False,83,,,3,3,2,0.71850407075496725,0.71850407075497091,5.0991165261086578e-15,True
exploratory_smoke,smoke_r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__g1,smoke_r36_04_round32_multi_m_tight_T_V20_M2_seed89001413__g1,180,L1,3,L1:0.15661358654541371;L2:0.23593037105001993;L3:0.32434010332119489,0.15661358654541371,1,True,0.23593037105001993,0.17379180329874633,0.017178216753332615,0.17379180329874633,0.017178216753332615,0.017178216753332615,False,0.17379180329874633;0.19198123703792139;0.23593037105001993;0.32434010332119489,False,4,L2,1.2810987999999999,2,1,1,0.33993609633698973,0.33993609699240646,1.9280586165897106e-09,True
exploratory_smoke,smoke_r36_08_tight_T_seed5102__g1,smoke_r36_08_tight_T_seed5102__g1,180,L1,2,L1:0.20682410371683468;L2:0.28917631309429254,0.20682410371683468,1,True,0.28917631309429254,0.20843292656852036,0.0016088228516856762,0.20843292656852036,0.0016088228516856762,0.0016088228516856762,False,0.20843292656852036;0.24388198024621935;0.28917631309429254,False,9,L2,3.7130421000000005,2,2,1,0.31644634456648246,0.36235466278458461,0.12669443209398987,False
exploratory_smoke,smoke_r36_10_high_imbalance_seed6202__g1,smoke_r36_10_high_imbalance_seed6202__g1,180,L2,2,L2:7.4070090034849541;L3:7.5557176110501905,7.4070090034849541,1,True,7.5557176110501905,7.4615556388896929,0.054546635404738808,7.4615556388896929,0.054546635404738808,0.054546635404738808,False,7.4615556388896929;7.5557176110501905;7.9098944098966451,False,3,L3,17.661007000000001,1,1,0,7.9098944098966451,9.7295882515369048,0.18702680880178227,False
focused_diagnostic,diagnostic_r36_08_tight_T_seed5102__g1,diagnostic_r36_08_tight_T_seed5102__g1,480,L1,2,L1:0.20682410371683468;L2:0.28917631309429254,0.20682410371683468,1,True,0.28917631309429254,0.20843292656852036,0.0016088228516856762,0.20843292656852036,0.0016088228516856762,0.0016088228516856762,False,0.20843292656852036;0.24388198024621935;0.28917631309429254,False,9,L2,3.7188632000000004,2,2,1,0.3287410312810925,0.36235466278458461,0.092764451394613354,False
focused_diagnostic,diagnostic_r36_09_round31_sealed_moderate_V50_seed1112848618__g1,diagnostic_r36_09_round31_sealed_moderate_V50_seed1112848618__g1,480,L1,2,L1:0.47114477265216009;L2:0.63729271116882058,0.47114477265216009,1,True,0.63729271116882058,0.47162102870543332,0.0004762560532732274,0.47162102870543332,0.0004762560532732274,0.0004762560532732274,False,0.47162102870543332;0.55135793797430188;0.63729271116882058,False,27,,,1,0,0,0.54810366802776245,0.67101383944472159,0.1831708441642127,False
focused_diagnostic,diagnostic_r36_10_high_imbalance_seed6202__g1,diagnostic_r36_10_high_imbalance_seed6202__g1,480,L2,2,L2:7.4070090034849541;L3:7.5557176110501905,7.4070090034849541,1,True,7.5557176110501905,7.4615556388896929,0.054546635404738808,7.4615556388896929,0.054546635404738808,0.054546635404738808,False,7.4615556388896929;7.5557176110501905;7.9098944098966451,False,3,L3,17.651102700000003,1,1,0,7.9098944098966451,9.7294862722789688,0.18701828765272668,False
selected_confirmation,confirmation_r36_08_tight_T_seed5102__g1,confirmation_r36_08_tight_T_seed5102__g1,900,L1,2,L1:0.20682410371683468;L2:0.28917631309429254,0.20682410371683468,1,True,0.28917631309429254,0.20843292656852036,0.0016088228516856762,0.20843292656852036,0.0016088228516856762,0.0016088228516856762,False,0.20843292656852036;0.24388198024621935;0.28917631309429254,False,9,L2,3.7229219999999992,2,2,1,0.32985105207896404,0.36235466278458461,0.089701096864161431,False
selected_confirmation,confirmation_r36_10_high_imbalance_seed6202__g1,confirmation_r36_10_high_imbalance_seed6202__g1,900,L2,2,L2:7.4070090034849541;L3:7.5557176110501905,7.4070090034849541,1,True,7.5557176110501905,7.4615556388896929,0.054546635404738808,7.4615556388896929,0.054546635404738808,0.054546635404738808,False,7.4615556388896929;7.5557176110501905;7.9098944098966451,False,3,L3,17.670381000000003,1,1,0,7.9098944098966451,9.7294862722789688,0.18701828765272668,False
