panel_ordinal,panel_row_id,instance_id,V,M,scenario,common_verified_ub,c6_valid_lb,g2a_valid_lb,c6_common_ub_gap,g2a_common_ub_gap,g2a_gap_improvement,outcome,c6_strict,g2a_strict,certificate_regression,pilot_all_initial_lps_complete,pilot_initial_lp_count,pilot_eligible_cell_count,pilot_frontier_plateau_size,pilot_unique_controlling_cell,pilot_next_strict_frontier_available,pilot_selected_leaf,pilot_children_evaluated,pilot_b_plus,pilot_delta_local,pilot_L_i_plus,pilot_delta_global,pilot_frontier_completion,pilot_completes_next_strict_frontier,pilot_refinement_performed,pilot_rejection_count,pilot_decision_reason,common_exact_window_seconds,c6_mean_common_gap_auc,g2a_mean_common_gap_auc,g2a_auc_improvement,c6_sequence_sha256,g2a_sequence_sha256,c6_work_descriptive,g2a_work_descriptive,c6_nodes_descriptive,g2a_nodes_descriptive,c6_exact_seconds_descriptive,g2a_exact_seconds_descriptive
1,r36_01_V12_M1,V12_M1,12,1,v12,0.3572005832084155,0.3572005832084145,0.3572005832084145,2.797309884512809e-15,2.797309884512809e-15,0.0,tie,True,True,False,True,4,3,1,True,True,L1,True,0.2929612572872057,0.01570028792624939,0.2929612572872057,0.01570028792624939,0.01570028792624939,False,False,1,midpoint_children_do_not_complete_next_strict_frontier,23.6429929,0.07269608256982993,0.07588600429254494,-0.003189921722715011,b068e711c9f5027ef03ad68606792d845c993e57321f647f7bb39a36bee9fcbe,ffe277193c274c5ff532f04837f430bbf31874b965e18b1b2b97dd88d9b6fd04,35.46318543974309,35.796255157948465,5867.0,5867.0,0.0,0.0
4,r36_04_round32_multi_m_tight_T_V20_M2_seed89001413,round32_multi_m_tight_T_V20_M2_seed89001413,20,2,tight_T,0.33993609699240646,0.33993609633698973,0.33993609633698973,1.9280586165897106e-09,1.9280586165897106e-09,0.0,tie,True,True,False,True,4,3,1,True,True,L1,True,0.17379180329874633,0.017178216753332615,0.17379180329874633,0.017178216753332615,0.017178216753332615,False,False,1,midpoint_children_do_not_complete_next_strict_frontier,134.7744549,0.08534284618970825,0.08529088101785395,5.196517185429572e-05,03529275dc4ad2ecf9a1fc2fad330501cf6fde8d0e71fc833d9ee758c7a0dfc3,c324544a39e559e0e66d9adb0ee05aee501f8b6341a861f493da003d42468620,225.66341762426467,226.4389349828048,8861.0,8861.0,0.0,0.0
8,r36_08_tight_T_seed5102,tight_T_seed5102,20,3,tight_T,0.3623546627845846,0.28917631309429254,0.31813288777943777,0.20195227826775808,0.12204003300334552,0.07991224526441255,g2a_improves,False,False,False,True,4,2,1,True,True,L1,True,0.20843292656852036,0.0016088228516856762,0.20843292656852036,0.0016088228516856762,0.0016088228516856762,False,False,1,midpoint_children_do_not_complete_next_strict_frontier,147.1863115,0.2079556164170154,0.14690964416208413,0.061045972254931274,e721afc8b69834a035915b657a8822b22031776f35c009f5b267e86fb25f666f,2fa04d810b0e859e55dada32506ce81fa412e5f488d4b8294eb4f296112a1c46,259.8879844043837,266.6816252855213,795.0,972.0,0.0,0.0
9,r36_09_round31_sealed_moderate_V50_seed1112848618,round31_sealed_moderate_V50_seed1112848618,50,3,moderate,0.6874838397370203,0.0,0.0,1.0,1.0,0.0,tie,False,False,False,False,0,0,0,False,False,,False,0.0,0.0,0.0,0.0,0.0,False,False,0,not_evaluated,8.7479706,1.0,1.0,0.0,e65e4ba262506d641ec41e5deff0f00154c9135711ccb6b907a2756877851853,e65e4ba262506d641ec41e5deff0f00154c9135711ccb6b907a2756877851853,24.352004990075997,21.391444383792713,0.0,0.0,0.0,0.0
10,r36_10_high_imbalance_seed6202,high_imbalance_seed6202,50,3,high_imbalance,9.820664665302525,8.191699928419316,8.191699928419316,0.16587112913431593,0.16587112913431593,0.0,tie,False,False,False,True,4,2,1,True,True,L2,True,7.461555638889693,0.05454663540473881,7.461555638889693,0.05454663540473881,0.05454663540473881,False,False,1,midpoint_children_do_not_complete_next_strict_frontier,143.2514645,0.30966911244971085,0.3142078159411459,-0.004538703491435037,6f28d91d94742e4b9ebb5cadfe4ba01d8479cc2ae559f5f69600d583859bfe9a,4009e38026fa42a5033924ad15605eb909e9186344e4b60234673c59f59e8c02,283.44785278476513,290.0052102905276,3.0,3.0,0.0,0.0
14,r36_14_round32_multi_m_high_imbalance_V20_M2_seed1052706459,round32_multi_m_high_imbalance_V20_M2_seed1052706459,20,2,high_imbalance,4.356924112605589,4.356924112605589,4.356924112605589,0.0,0.0,0.0,tie,True,True,False,True,4,2,1,True,True,L2,True,4.2732934103796625,0.03019885507657616,4.2732934103796625,0.03019885507657616,0.03019885507657616,False,False,1,midpoint_children_do_not_complete_next_strict_frontier,3.8373197,0.1954687825103801,0.1975952569102212,-0.002126474399841094,4f757babf58439e315408ca1bde4292000a3cd5ec7f291f4cf5bd181a705a073,2f0a402960452374cbf3a44f362c4672d1d8a0dc27bb69178283ca5623043073,4.85301819199449,5.395434719826091,3.0,3.0,0.0,0.0
