variant_name,time_limit_seconds,interval_id,call_index,vehicle,depth,operation_states_generated,operation_states_pruned
all_improvements_v12_m2_3600,3600,7,0,aggregate,1,5,0
all_improvements_v12_m2_3600,3600,7,0,aggregate,2,882,0
all_improvements_v12_m2_3600,3600,7,0,aggregate,3,53791,34553
all_improvements_v12_m2_3600,3600,7,0,aggregate,4,1039246,427739
all_improvements_v12_m2_3600,3600,7,0,aggregate,5,11141624,3000282
all_improvements_v12_m2_3600,3600,7,0,aggregate,6,81765542,15689564
all_improvements_v12_m2_3600,3600,7,0,aggregate,7,431689281,64348945
all_improvements_v12_m2_3600,3600,7,0,aggregate,8,1587023677,199973788
all_improvements_v12_m2_3600,3600,7,0,aggregate,9,3721860872,427088690
all_improvements_v12_m2_3600,3600,7,0,aggregate,10,4923399293,545464351
all_improvements_v12_m2_3600,3600,7,0,aggregate,11,3191809739,349376760
all_improvements_v12_m2_3600,3600,7,0,aggregate,12,761999510,82253310
