station,initial_inventory,target_inventory,final_inventory
0,50000,0,50000
1,6,11,11
2,19,11,11
3,18,10,18
4,5,10,10
5,7,11,11
6,5,10,10
7,17,9,9
8,19,11,11
9,5,9,9
10,7,11,11
11,15,8,8
12,17,10,10
13,4,9,9
14,16,9,9
15,17,10,10
16,16,9,9
17,19,11,11
18,17,10,10
19,19,11,11
20,5,9,9
21,15,8,8
22,16,9,9
23,21,13,13
24,5,8,8
25,14,8,8
26,4,9,9
27,6,13,13
28,7,12,12
29,17,10,10
30,6,11,11
31,4,9,9
32,5,12,12
33,18,10,10
34,6,13,13
35,3,8,8
36,14,8,8
37,22,13,13
38,4,8,8
39,4,9,9
40,18,11,11
41,15,9,9
42,4,9,9
43,8,15,15
44,6,12,12
45,22,13,13
46,4,8,8
47,20,11,11
48,5,11,11
49,5,10,10
50,20,11,11
