vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,21,17,7,0,0,7,109.74752898466102,420.0,8
0,2,21,17,13,8,0,7,15,269.51846360563366,480.0,11
0,3,17,13,23,0,5,15,10,226.21931106276918,300.0,9
0,4,13,23,34,8,0,10,18,729.3039858598685,480.0,13
0,5,23,34,39,0,7,18,11,509.5986436861321,420.0,13
0,6,34,39,42,0,5,11,6,430.41186173920187,300.0,9
0,7,39,42,33,0,5,6,1,198.73075277878513,300.0,9
0,8,42,33,35,8,0,1,9,517.8972747788499,480.0,10
0,9,33,35,47,0,5,9,4,187.8312789878452,300.0,8
0,10,35,47,48,9,0,4,13,399.27048496037725,540.0,11
0,11,47,48,37,0,6,13,7,106.29344126308457,360.0,11
0,12,48,37,0,9,0,7,16,255.78885174662312,540.0,13
1,1,0,25,30,6,0,0,6,262.23220721424383,360.0,8
1,2,25,30,50,0,5,6,1,353.4479774847878,300.0,11
1,3,30,50,44,9,0,1,10,420.3410118854218,540.0,11
1,4,50,44,38,0,6,10,4,142.81073508509579,360.0,12
1,5,44,38,41,0,4,4,0,317.3606634125878,240.0,8
1,6,38,41,45,6,0,0,6,518.2761851990464,360.0,9
1,7,41,45,46,9,0,6,15,247.26960506310164,540.0,13
1,8,45,46,19,0,4,15,11,165.90346725734778,240.0,8
1,9,46,19,10,8,0,11,19,812.575602924684,480.0,11
1,10,19,10,9,0,4,19,15,547.6880177379843,240.0,11
1,11,10,9,14,0,4,15,11,516.228774051733,240.0,9
1,12,9,14,0,7,0,11,18,406.28000538396697,420.0,9
2,1,0,12,7,7,0,0,7,651.4346822742361,420.0,10
2,2,12,7,4,8,0,7,15,232.81878712377363,480.0,9
2,3,7,4,1,0,5,15,10,203.53681607889686,300.0,10
2,4,4,1,2,0,5,10,5,239.74132614137366,300.0,11
2,5,1,2,16,8,0,5,13,182.41474297751725,480.0,11
2,6,2,16,43,7,0,13,20,539.3457990897472,420.0,9
2,7,16,43,32,0,7,20,13,892.5341543223393,420.0,15
2,8,43,32,28,0,7,13,6,432.62946228379906,420.0,12
2,9,32,28,40,0,5,6,1,530.7197818431227,300.0,12
2,10,28,40,29,7,0,1,8,823.7932469321851,420.0,11
2,11,40,29,24,7,0,8,15,345.06874615873124,420.0,10
2,12,29,24,0,0,3,15,12,216.51884710369097,180.0,8
3,1,0,15,18,7,0,0,7,276.3555227154589,420.0,10
3,2,15,18,20,7,0,7,14,140.74867429549053,420.0,10
3,3,18,20,26,0,4,14,10,402.66595802353316,240.0,9
3,4,20,26,22,0,5,10,5,176.5480853366007,300.0,9
3,5,26,22,36,7,0,5,12,167.3920184329966,420.0,9
3,6,22,36,31,6,0,12,18,395.99590239055266,360.0,8
3,7,36,31,49,0,5,18,13,328.9624313792005,300.0,9
3,8,31,49,27,0,5,13,8,395.0937291267588,300.0,10
3,9,49,27,11,0,7,8,1,618.734826434801,420.0,13
3,10,27,11,8,7,0,1,8,703.342624913384,420.0,8
3,11,11,8,5,8,0,8,16,110.16804367664427,480.0,11
3,12,8,5,6,0,4,16,12,377.97627562009455,240.0,11
3,13,5,6,0,0,5,12,7,115.30161435534215,300.0,10
