query,vehicle,model_reused,work_limit,time_limit,columns,rows
0,0,0,10,14.9997741,288,480
1,1,0,10,14.999606699999999,288,480
2,2,0,10,14.999787700000001,288,480
3,0,1,10,14.9998836,288,480
4,1,1,10,14.999827399999999,288,480
5,2,1,10,14.999822500000001,288,480
6,0,1,10,14.9998849,288,480
7,1,1,10,14.9998931,288,480
8,2,1,10,14.9998969,288,480
