leaf,variant,budget_seconds,top_fractional_z,top_fractional_p,top_fractional_d,node_count,checkpoint_valid_rows
low_gini_1,plain_fixed_interval_mip,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1968,0
low_gini_1,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,4233,0
low_gini_1,static_tailored_compact_bc,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,3470,3
low_gini_1,static_tailored_compact_bc,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,16023,11
low_gini_1,best_combined_paper_safe,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1883,3
low_gini_1,best_combined_paper_safe,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,10913,11
low_gini_1,best_new_combined_paper_safe,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1889,3
low_gini_1,best_new_combined_paper_safe,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,10858,11
low_gini_1,adaptive_denominator_estimator,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1970,3
low_gini_1,adaptive_denominator_estimator,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,10974,11
low_gini_1,adaptive_low_gini_centering,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1970,3
low_gini_1,adaptive_low_gini_centering,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,10794,11
low_gini_1,adaptive_transfer_inventory,60,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,1909,3
low_gini_1,adaptive_transfer_inventory,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,10931,11
low_gini_1,plain_fixed_interval_mip,1200,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,16263,0
low_gini_1,best_combined_paper_safe,1200,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,29104,40
low_gini_1,best_new_combined_paper_safe,1200,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,29134,40
low_gini_1,adaptive_denominator_estimator,1200,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,28941,40
low_gini_1,plain_fixed_interval_mip,3600,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,136571,0
low_gini_1,best_new_combined_paper_safe,3600,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,86009,120
low_gini_2,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,15148,0
low_gini_2,best_new_combined_paper_safe,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,9475,11
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,20260,0
high_imbalance_seed3201_hard,best_new_combined_paper_safe,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,7610,10
tight_T_seed3102_hard,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,19949,0
tight_T_seed3102_hard,best_new_combined_paper_safe,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,9918,10
moderate_seed3302_hard,plain_fixed_interval_mip,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,7447,0
moderate_seed3302_hard,best_new_combined_paper_safe,300,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,not_exposed_by_cplex_callback_api,6287,11
