leaf,variant,budget_seconds,snapshot_scope,time_seconds,best_bound,best_bound_available,gap_to_cutoff,node_count,callback_counts,cut_counts,branch_counts,S,P,H,G_variable,objective_lower_bound_expression
low_gini_1,adaptive_low_gini_centering,300,nearest_relaxation_callback,0.0004001,0,false,0,0,0,gini_interval=0;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,0,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,adaptive_low_gini_centering,300,nearest_relaxation_callback,30.012197,0.0441092573304,true,0.00504328533426,750,1179,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,582,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,adaptive_low_gini_centering,300,nearest_relaxation_callback,60.0219999,0.0454075154174,true,0.00374502724735,1902,2915,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,1434,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,adaptive_low_gini_centering,300,nearest_relaxation_callback,90.0227464,0.0458702677233,true,0.0032822749414,3048,4498,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,2212,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,adaptive_low_gini_centering,300,nearest_relaxation_callback,120.0234305,0.0463750239942,true,0.0027775186705,4364,6429,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,3166,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,adaptive_low_gini_centering,300,nearest_relaxation_callback,150.0260294,0.0465827762168,true,0.00256976644791,5453,7963,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,3930,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,adaptive_low_gini_centering,300,nearest_relaxation_callback,180.0382648,0.0468974982018,true,0.00225504446294,6777,9770,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,4825,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,adaptive_low_gini_centering,300,nearest_relaxation_callback,210.0474572,0.0470996156206,true,0.00205292704407,7851,11207,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,5533,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,adaptive_low_gini_centering,300,nearest_relaxation_callback,240.0575743,0.0473198063924,true,0.00183273627231,9023,12637,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,6237,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
low_gini_1,adaptive_low_gini_centering,300,nearest_relaxation_callback,270.065608,0.047505017641,true,0.00164752502367,10036,13895,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;local_centering=0;subset_cross_h_centering=0;local_q_centering=0;variable_s_centering=0;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,6855,not_exposed,not_exposed,not_exposed,not_exposed,cplex_native_best_bound
