leaf,variant,budget_seconds,snapshot_file,snapshot_rows,snapshot_scope,best_snapshot_bound
low_gini_1,plain_fixed_interval_mip,60,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_plain_fixed_interval_mip_60s.csv,1,final_json_no_progress_trace,0.044318362677
low_gini_1,plain_fixed_interval_mip,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_plain_fixed_interval_mip_300s.csv,1,final_json_no_progress_trace,0.045482848644
low_gini_1,static_tailored_compact_bc,60,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_static_tailored_compact_bc_60s.csv,4,nearest_relaxation_callback,0.0460751920577
low_gini_1,static_tailored_compact_bc,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_static_tailored_compact_bc_300s.csv,12,nearest_relaxation_callback,0.0483291997208
low_gini_1,best_combined_paper_safe,60,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_best_combined_paper_safe_60s.csv,4,nearest_relaxation_callback,0.0453679738658
low_gini_1,best_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_best_combined_paper_safe_300s.csv,12,nearest_relaxation_callback,0.0476339655828
low_gini_1,best_new_combined_paper_safe,60,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_best_new_combined_paper_safe_60s.csv,4,nearest_relaxation_callback,0.0454067389637
low_gini_1,best_new_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_best_new_combined_paper_safe_300s.csv,12,nearest_relaxation_callback,0.0476256837823
low_gini_1,adaptive_denominator_estimator,60,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_adaptive_denominator_estimator_60s.csv,4,nearest_relaxation_callback,0.0454438670364
low_gini_1,adaptive_denominator_estimator,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_adaptive_denominator_estimator_300s.csv,12,nearest_relaxation_callback,0.0476356289487
low_gini_1,adaptive_low_gini_centering,60,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_adaptive_low_gini_centering_60s.csv,4,nearest_relaxation_callback,0.0454438670364
low_gini_1,adaptive_low_gini_centering,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_adaptive_low_gini_centering_300s.csv,12,nearest_relaxation_callback,0.0476149931452
low_gini_1,adaptive_transfer_inventory,60,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_adaptive_transfer_inventory_60s.csv,4,nearest_relaxation_callback,0.0454217989606
low_gini_1,adaptive_transfer_inventory,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_adaptive_transfer_inventory_300s.csv,12,nearest_relaxation_callback,0.0476343748841
low_gini_1,plain_fixed_interval_mip,1200,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_plain_fixed_interval_mip_1200s.csv,1,final_json_no_progress_trace,0.047531814383
low_gini_1,best_combined_paper_safe,1200,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_best_combined_paper_safe_1200s.csv,41,nearest_relaxation_callback,0.048388162834
low_gini_1,best_new_combined_paper_safe,1200,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_best_new_combined_paper_safe_1200s.csv,41,nearest_relaxation_callback,0.048388162834
low_gini_1,adaptive_denominator_estimator,1200,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_adaptive_denominator_estimator_1200s.csv,41,nearest_relaxation_callback,0.048388162834
low_gini_1,plain_fixed_interval_mip,3600,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_plain_fixed_interval_mip_3600s.csv,1,final_json_no_progress_trace,0.048296011755
low_gini_1,best_new_combined_paper_safe,3600,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_1_best_new_combined_paper_safe_3600s.csv,121,nearest_relaxation_callback,0.0487233640003
low_gini_2,plain_fixed_interval_mip,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_2_plain_fixed_interval_mip_300s.csv,1,final_json_no_progress_trace,0.048894652654
low_gini_2,best_new_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\low_gini_2_best_new_combined_paper_safe_300s.csv,12,nearest_relaxation_callback,0.0489209015481
high_imbalance_seed3201_hard,plain_fixed_interval_mip,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\high_imbalance_seed3201_hard_plain_fixed_interval_mip_300s.csv,1,final_json_no_progress_trace,2.1614382751
high_imbalance_seed3201_hard,best_new_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\high_imbalance_seed3201_hard_best_new_combined_paper_safe_300s.csv,11,nearest_relaxation_callback,2.27669085412
tight_T_seed3102_hard,plain_fixed_interval_mip,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\tight_T_seed3102_hard_plain_fixed_interval_mip_300s.csv,1,final_json_no_progress_trace,0.31231711932
tight_T_seed3102_hard,best_new_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\tight_T_seed3102_hard_best_new_combined_paper_safe_300s.csv,11,nearest_relaxation_callback,0.517898731718
moderate_seed3302_hard,plain_fixed_interval_mip,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\moderate_seed3302_hard_plain_fixed_interval_mip_300s.csv,1,final_json_no_progress_trace,0.14433282147
moderate_seed3302_hard,best_new_combined_paper_safe,300,results\gf_tailored_bc_adaptive_s_refinement_round\plateau_snapshots\moderate_seed3302_hard_best_new_combined_paper_safe_300s.csv,12,nearest_relaxation_callback,0.14256670012
