run_id,stage,arm,instance,coverage_valid,initial_intervals,final_intervals,binary_splits,single_child_contractions,contraction_model_reuses,contraction_basis_reuses,contraction_not_counted_as_binary_split,strict_certificate_safe
stage3_300s__high_imbalance_seed3201__K1-AM,stage3_300s,K1-AM,high_imbalance_seed3201,True,1,5,4,0,3,0,True,True
stage3_300s__high_imbalance_seed3201__K1-AMC,stage3_300s,K1-AMC,high_imbalance_seed3201,True,1,2,1,3,3,0,True,True
stage3_300s__high_imbalance_seed3201__K4-AM,stage3_300s,K4-AM,high_imbalance_seed3201,True,4,5,1,0,1,0,True,True
stage3_300s__high_imbalance_seed3201__K4-AMC,stage3_300s,K4-AMC,high_imbalance_seed3201,True,4,4,0,1,1,0,True,True
stage3_300s__moderate_seed3301__K1-AM,stage3_300s,K1-AM,moderate_seed3301,True,1,2,1,0,0,0,True,True
stage3_300s__moderate_seed3301__K1-AMC,stage3_300s,K1-AMC,moderate_seed3301,True,1,2,1,0,0,0,True,True
stage3_300s__moderate_seed3301__K4-AM,stage3_300s,K4-AM,moderate_seed3301,True,4,5,1,0,1,0,True,True
stage3_300s__moderate_seed3301__K4-AMC,stage3_300s,K4-AMC,moderate_seed3301,True,4,4,0,1,1,0,True,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AM,stage3_300s,K1-AM,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AMC,stage3_300s,K1-AMC,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-AM,stage3_300s,K4-AM,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,4,4,0,0,0,0,True,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-AMC,stage3_300s,K4-AMC,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,4,4,0,0,0,0,True,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-AM,stage3_300s,K1-AM,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-AMC,stage3_300s,K1-AMC,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-AM,stage3_300s,K4-AM,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,4,7,3,0,3,0,True,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-AMC,stage3_300s,K4-AMC,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,4,4,0,3,3,0,True,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM,stage3_300s,K1-AM,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMC,stage3_300s,K1-AMC,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AM,stage3_300s,K4-AM,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,4,10,6,0,6,0,True,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AMC,stage3_300s,K4-AMC,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,True,4,4,0,6,6,0,True,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM,stage3_300s,K1-AM,round39_small_hard_V12_M3_Q20_slot07_seed621538683,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AMC,stage3_300s,K1-AMC,round39_small_hard_V12_M3_Q20_slot07_seed621538683,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AM,stage3_300s,K4-AM,round39_small_hard_V12_M3_Q20_slot07_seed621538683,True,4,4,0,0,0,0,True,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AMC,stage3_300s,K4-AMC,round39_small_hard_V12_M3_Q20_slot07_seed621538683,True,4,4,0,0,0,0,True,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM,stage3_300s,K1-AM,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AMC,stage3_300s,K1-AMC,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-AM,stage3_300s,K4-AM,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,4,4,0,0,0,0,True,True
stage3_300s__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K4-AMC,stage3_300s,K4-AMC,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,True,4,4,0,0,0,0,True,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K1-AM,stage3_300s,K1-AM,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K1-AMC,stage3_300s,K1-AMC,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K4-AM,stage3_300s,K4-AM,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,4,4,0,0,0,0,True,True
stage3_300s__round39_small_medium_V10_M2_Q20_slot05_seed968549317__K4-AMC,stage3_300s,K4-AMC,round39_small_medium_V10_M2_Q20_slot05_seed968549317,True,4,4,0,0,0,0,True,True
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM,stage3_300s,K1-AM,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AMC,stage3_300s,K1-AMC,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,1,1,0,0,0,0,True,True
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-AM,stage3_300s,K4-AM,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,4,4,0,0,0,0,True,True
stage3_300s__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K4-AMC,stage3_300s,K4-AMC,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,True,4,4,0,0,0,0,True,True
