source_run_id,stage,instance,arm,K0,rho,decision_sequence,interval_id,parent_id,depth,gamma_L,gamma_U,parent_bound,left_child_bound,right_child_bound,verified_incumbent,proof_gap,g_L_raw,g_R_raw,g_L,g_R,eta,mu,S_AM,adaptive_rho,score_tolerance,round46_action,round46_reason,source_ledger,source_ledger_sha256,frozen_tau,round47_replay_action,action_differs_from_round46
stage3_300s__high_imbalance_seed3201__K4-r001,stage3_300s,high_imbalance_seed3201,K4-r001,4,0.01,2,L2,,0,0.475,0.7124999999999999,2.2712430427649135,2.2663608459488285,2.3771183114459844,2.4434031919432,0.17216014917828648,-0.02835846065066491,0.6149812786896928,0.0,0.6149812786896928,0.0,0.3074906393448464,0.0,0.25740620972606065,5.808545223767953e-07,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K4-r001/c6_split_decision_ledger.csv,72ca1129d6e7df910961d025725fee7b4e3efcbd1fffa276ac46227882e4e930,0.07915,exact-close,False
stage3_300s__high_imbalance_seed3201__K4-r012,stage3_300s,high_imbalance_seed3201,K4-r012,4,0.12,2,L2,,0,0.475,0.7124999999999999,2.2712430427649135,2.2663608459488285,2.3771183114459844,2.4434031919432,0.17216014917828648,-0.02835846065066491,0.6149812786896928,0.0,0.6149812786896928,0.0,0.3074906393448464,0.0,0.25740620972606065,5.808545223767953e-07,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K4-r012/c6_split_decision_ledger.csv,adb38a33fb98dad1aa402f73c5967f5cb2c0c91263d3984a5af4f8a48c713e96,0.07915,exact-close,False
stage3_300s__high_imbalance_seed3201__K4-r015,stage3_300s,high_imbalance_seed3201,K4-r015,4,0.15,2,L2,,0,0.475,0.7124999999999999,2.2712430427649135,2.2663608459488285,2.3771183114459844,2.4434031919432,0.17216014917828648,-0.02835846065066491,0.6149812786896928,0.0,0.6149812786896928,0.0,0.3074906393448464,0.0,0.25740620972606065,5.808545223767953e-07,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K4-r015/c6_split_decision_ledger.csv,795c3af50906e87d42dabea92af8327f066691808ca06a1690fddd7be3cae1a9,0.07915,exact-close,False
stage3_300s__high_imbalance_seed3201__K4-r020,stage3_300s,high_imbalance_seed3201,K4-r020,4,0.2,2,L2,,0,0.475,0.7124999999999999,2.2712430427649135,2.2663608459488285,2.3771183114459844,2.4434031919432,0.17216014917828648,-0.02835846065066491,0.6149812786896928,0.0,0.6149812786896928,0.0,0.3074906393448464,0.0,0.25740620972606065,5.808545223767953e-07,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K4-r020/c6_split_decision_ledger.csv,e253798cfe583151b5af6bed943dd24015276e1d49c3ee6647969a06ad307e5b,0.07915,exact-close,False
stage3_300s__high_imbalance_seed3201__K4-r050,stage3_300s,high_imbalance_seed3201,K4-r050,4,0.5,2,L2,,0,0.475,0.7124999999999999,2.2712430427649135,2.2663608459488285,2.3771183114459844,2.4434031919432,0.17216014917828648,-0.02835846065066491,0.6149812786896928,0.0,0.6149812786896928,0.0,0.3074906393448464,0.0,0.25740620972606065,5.808545223767953e-07,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K4-r050/c6_split_decision_ledger.csv,4701768528eb7502f101933c4ecc4d995503d71e3014c9c9a04e1709bc71ccad,0.07915,exact-close,False
stage3_300s__moderate_seed3301__K1-r001,stage3_300s,moderate_seed3301,K1-r001,1,0.01,1,L0,,0,0.0,0.04915255266474515,0.0295591071381483,0.033181515548994886,0.04426441257749504,0.04915255266474515,0.01959344552659685,0.18487858125460366,0.7505216690645465,0.18487858125460366,0.7505216690645465,0.18487858125460366,0.4677001251595751,0.0864677355921028,0.1692323686528729,5.103747577396543e-06,split,current_normalized_child_gain_reaches_rho,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K1-r001/c6_split_decision_ledger.csv,8500e75c0c040a3e493fa3f6061a27847c3ceafae85e18f19f1674bda7d8249b,0.07915,split,False
stage3_300s__moderate_seed3301__K1-r001,stage3_300s,moderate_seed3301,K1-r001,1,0.01,2,L0.0,L0,1,0.0,0.024576276332372575,0.044405043752714236,0.03702353198012526,0.040577244234631035,0.04915255266474515,0.004747508912030914,-1.554817886467385,-0.8062753728345768,0.0,0.0,0.0,0.0,0.0,1.0,2.10636782124448e-05,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K1-r001/c6_split_decision_ledger.csv,8500e75c0c040a3e493fa3f6061a27847c3ceafae85e18f19f1674bda7d8249b,0.07915,exact-close,False
stage3_300s__moderate_seed3301__K1-r012,stage3_300s,moderate_seed3301,K1-r012,1,0.12,1,L0,,0,0.0,0.04915255266474515,0.0295591071381483,0.033181515548994886,0.04426441257749504,0.04915255266474515,0.01959344552659685,0.18487858125460366,0.7505216690645465,0.18487858125460366,0.7505216690645465,0.18487858125460366,0.4677001251595751,0.0864677355921028,0.1692323686528729,5.103747577396543e-06,split,current_normalized_child_gain_reaches_rho,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K1-r012/c6_split_decision_ledger.csv,2c53c6a0e1873ac3864ec48b6061b7daa2878ef37950e93ac09b651b19d3daa4,0.07915,split,False
stage3_300s__moderate_seed3301__K1-r012,stage3_300s,moderate_seed3301,K1-r012,1,0.12,2,L0.0,L0,1,0.0,0.024576276332372575,0.044405043752714236,0.03702353198012526,0.040577244234631035,0.04915255266474515,0.004747508912030914,-1.554817886467385,-0.8062753728345768,0.0,0.0,0.0,0.0,0.0,1.0,2.10636782124448e-05,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K1-r012/c6_split_decision_ledger.csv,2c53c6a0e1873ac3864ec48b6061b7daa2878ef37950e93ac09b651b19d3daa4,0.07915,exact-close,False
stage3_300s__moderate_seed3301__K1-r015,stage3_300s,moderate_seed3301,K1-r015,1,0.15,1,L0,,0,0.0,0.04915255266474515,0.0295591071381483,0.033181515548994886,0.04426441257749504,0.04915255266474515,0.01959344552659685,0.18487858125460366,0.7505216690645465,0.18487858125460366,0.7505216690645465,0.18487858125460366,0.4677001251595751,0.0864677355921028,0.1692323686528729,5.103747577396543e-06,split,current_normalized_child_gain_reaches_rho,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K1-r015/c6_split_decision_ledger.csv,60522333ee6888d1be22a78987a850e8690d146ec7714e8d00e8af36fb8510ec,0.07915,split,False
stage3_300s__moderate_seed3301__K1-r015,stage3_300s,moderate_seed3301,K1-r015,1,0.15,2,L0.0,L0,1,0.0,0.024576276332372575,0.044405043752714236,0.03702353198012526,0.040577244234631035,0.04915255266474515,0.004747508912030914,-1.554817886467385,-0.8062753728345768,0.0,0.0,0.0,0.0,0.0,1.0,2.10636782124448e-05,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K1-r015/c6_split_decision_ledger.csv,60522333ee6888d1be22a78987a850e8690d146ec7714e8d00e8af36fb8510ec,0.07915,exact-close,False
stage3_300s__moderate_seed3301__K1-r020,stage3_300s,moderate_seed3301,K1-r020,1,0.2,1,L0,,0,0.0,0.04915255266474515,0.0295591071381483,0.033181515548994886,0.04426441257749504,0.04915255266474515,0.01959344552659685,0.18487858125460366,0.7505216690645465,0.18487858125460366,0.7505216690645465,0.18487858125460366,0.4677001251595751,0.0864677355921028,0.1692323686528729,5.103747577396543e-06,native-target,current_small_child_gain_target,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K1-r020/c6_split_decision_ledger.csv,3c721d65a3b3f61b9fa0ca21b4b514ccd033630af6758882fef5024f0040b2a8,0.07915,split,True
stage3_300s__moderate_seed3301__K1-r020,stage3_300s,moderate_seed3301,K1-r020,1,0.2,2,L0,,0,0.0,0.04915255266474515,0.039764731169863295,0.033181515548994886,0.04426441257749504,0.04915255266474515,0.009387821494881855,-0.7012506175642039,0.4793104992553306,0.0,0.4793104992553306,0.0,0.2396552496276653,0.0,0.33026608064279633,1.0652098585515655e-05,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K1-r020/c6_split_decision_ledger.csv,3c721d65a3b3f61b9fa0ca21b4b514ccd033630af6758882fef5024f0040b2a8,0.07915,exact-close,False
stage3_300s__moderate_seed3301__K1-r050,stage3_300s,moderate_seed3301,K1-r050,1,0.5,1,L0,,0,0.0,0.04915255266474515,0.0295591071381483,0.033181515548994886,0.04426441257749504,0.04915255266474515,0.01959344552659685,0.18487858125460366,0.7505216690645465,0.18487858125460366,0.7505216690645465,0.18487858125460366,0.4677001251595751,0.0864677355921028,0.1692323686528729,5.103747577396543e-06,native-target,current_small_child_gain_target,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K1-r050/c6_split_decision_ledger.csv,1063fba0f73115eee7679ad66ef0cce8f2e3bdc22d3b28f22df97a344e9d4387,0.07915,split,True
stage3_300s__moderate_seed3301__K1-r050,stage3_300s,moderate_seed3301,K1-r050,1,0.5,2,L0,,0,0.0,0.04915255266474515,0.039764731169863295,0.033181515548994886,0.04426441257749504,0.04915255266474515,0.009387821494881855,-0.7012506175642039,0.4793104992553306,0.0,0.4793104992553306,0.0,0.2396552496276653,0.0,0.33026608064279633,1.0652098585515655e-05,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K1-r050/c6_split_decision_ledger.csv,1063fba0f73115eee7679ad66ef0cce8f2e3bdc22d3b28f22df97a344e9d4387,0.07915,exact-close,False
stage3_300s__moderate_seed3301__K4-r001,stage3_300s,moderate_seed3301,K4-r001,4,0.01,2,L1,,0,0.012288138166186287,0.024576276332372575,0.04325846266710777,0.04163264790350033,0.044271334623974555,0.04915255266474515,0.005894089997637381,-0.2758381301030588,0.17184534971009788,0.0,0.17184534971009788,0.0,0.08592267485504894,0.0,0.9211770947951236,1.6966147459907223e-05,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K4-r001/c6_split_decision_ledger.csv,abac51bddac63451cce3f825ca43061142e5e009155a7f3dd5e262d9bfb16e78,0.07915,exact-close,False
stage3_300s__moderate_seed3301__K4-r012,stage3_300s,moderate_seed3301,K4-r012,4,0.12,2,L1,,0,0.012288138166186287,0.024576276332372575,0.04325846266710777,0.04163264790350033,0.044271334623974555,0.04915255266474515,0.005894089997637381,-0.2758381301030588,0.17184534971009788,0.0,0.17184534971009788,0.0,0.08592267485504894,0.0,0.9211770947951236,1.6966147459907223e-05,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K4-r012/c6_split_decision_ledger.csv,7f6034edf67aabeec25706b476852af231280f8be84151f021b0d510884ce598,0.07915,exact-close,False
stage3_300s__moderate_seed3301__K4-r015,stage3_300s,moderate_seed3301,K4-r015,4,0.15,2,L1,,0,0.012288138166186287,0.024576276332372575,0.04325846266710777,0.04163264790350033,0.044271334623974555,0.04915255266474515,0.005894089997637381,-0.2758381301030588,0.17184534971009788,0.0,0.17184534971009788,0.0,0.08592267485504894,0.0,0.9211770947951236,1.6966147459907223e-05,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K4-r015/c6_split_decision_ledger.csv,a75650e482af23e48a3a26f3396fb60b9d740ae7868cb883aba21b73e21ab970,0.07915,exact-close,False
stage3_300s__moderate_seed3301__K4-r020,stage3_300s,moderate_seed3301,K4-r020,4,0.2,2,L1,,0,0.012288138166186287,0.024576276332372575,0.04325846266710777,0.04163264790350033,0.044271334623974555,0.04915255266474515,0.005894089997637381,-0.2758381301030588,0.17184534971009788,0.0,0.17184534971009788,0.0,0.08592267485504894,0.0,0.9211770947951236,1.6966147459907223e-05,exact-close,current_child_gain_not_strict,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__moderate_seed3301__K4-r020/c6_split_decision_ledger.csv,701f08087fe512da0dc219cb350f3189211fb4a0c2881a0fb88a4199bc880eca,0.07915,exact-close,False
