stage,instance,left_arm,right_arm,left_certificate,right_certificate,left_work,right_work,work_delta_right_minus_left,left_time,right_time,time_delta_right_minus_left,left_gap,right_gap,left_gi_300,right_gi_300,left_gi_1200,right_gi_1200,left_models,right_models,left_splits,right_splits,right_contractions,certificate_not_weakened,bound_progress_not_weakened
stage3_300s,high_imbalance_seed3201,K4-AM,K4-AMC,False,False,512.2369950481797,501.89931598601044,-10.33767906216923,280.0493794,280.0409792,-0.008400200000039604,0.06415791857994055,0.06415791857994055,0.10242548028566102,0.10286339664051085,0.07372480900637067,0.07383428809508312,8,8,1,0,1,True,True
stage3_300s,moderate_seed3301,K4-AM,K4-AMC,False,False,429.6367094129257,435.848125135358,6.211415722432264,280.0347459,280.0286353,-0.006110599999999522,0.1123420662725595,0.1123420662725595,0.24175481220358042,0.24345957055455358,0.14469525275531472,0.14512144234305802,8,8,1,0,1,True,True
stage3_300s,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,K4-AM,K4-AMC,True,True,38.137815381093645,38.137815381093645,0.0,26.1751352,27.2457326,1.0705974000000005,0.0,0.0,0.02997393382263983,0.031977056292947115,0.007493483455659957,0.007994264073236779,8,8,0,0,0,True,True
stage3_300s,round39_small_hard_V10_M1_Q20_slot01_seed561355351,K4-AM,K4-AMC,True,True,0.989274344317732,0.989274344317732,0.0,1.7934438,1.7830544,-0.010389399999999993,0.0,0.0,0.0021802838900932316,0.002177365584611424,0.0005450709725233079,0.000544341396152856,14,14,3,0,3,True,True
stage3_300s,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K4-AM,K4-AMC,True,True,10.503884558425527,10.503884558425527,0.0,9.260668,9.2542616,-0.0064064000000012555,0.0,0.0,0.011376532186261059,0.011419629207557855,0.0028441330465652647,0.002854907301889464,22,22,6,0,6,True,True
stage3_300s,round39_small_hard_V12_M3_Q20_slot07_seed621538683,K4-AM,K4-AMC,False,False,138.4451303784979,138.4451303784979,0.0,77.9524909,78.1421533,0.18966240000000312,2.442756619520684e-07,2.442756619520684e-07,0.10260157631120174,0.10280998159608025,0.0256505772845469,0.025702678605766527,12,12,0,0,0,True,True
stage3_300s,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K4-AM,K4-AMC,True,True,133.73490192498448,133.73490192498448,0.0,78.6830752,78.8355763,0.15250109999999495,3.0696806124470356e-15,3.0696806124470356e-15,0.07093509414562,0.071174922644545,0.017733773536405,0.01779373066113625,10,10,0,0,0,True,True
stage3_300s,round39_small_medium_V10_M2_Q20_slot05_seed968549317,K4-AM,K4-AMC,True,True,109.91515934198168,109.91515934198168,0.0,67.1131436,67.0558582,-0.05728539999999782,3.4258909262802224e-16,3.4258909262802224e-16,0.09478443344518929,0.0948337064230676,0.023696108361297322,0.0237084266057669,12,12,0,0,0,True,True
stage3_300s,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K4-AM,K4-AMC,False,False,600.1792109362178,599.1156114610512,-1.0635994751665976,280.0368234,280.0350646,-0.0017588000000046122,0.17555035515550454,0.17555035515550454,0.2552558371740732,0.2554536700237098,0.19547672566014668,0.19552618387255588,7,7,0,0,0,True,True
stage3_300s,tight_T_seed3101,K4-AM,K4-AMC,False,False,516.0671203014683,508.5031251884774,-7.563995112990938,280.0386,280.0309518,-0.007648199999948702,0.4895403168329169,0.4895403168329169,0.5322696176641623,0.5325586647117704,0.5002226420407283,0.5002949038026302,5,5,0,0,0,True,True
