instance,algorithm,source_round,comparison_timing,process_cap_seconds,certificate,work,time_seconds,lower_bound,verified_upper_bound,gap,gi_300,gi_1200,gi_1800,split_count,contraction_count,lp_jobs,source_path
high_imbalance_seed3202,gamma-veto,45,historical_same_machine_solver_longer_cap,3600,True,455.0541474241866,257.2305027,1.7493134517141695,1.7493134520506337,1.9234070912132963e-10,0.07969659408979907,0.019924148522449767,,0,0,12,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv#row_id=complex__high_imbalance_seed3202__gamma-veto
high_imbalance_seed3202,no-adaptive,45,historical_same_machine_solver_longer_cap,3600,True,455.90631333279595,258.3751807,1.7493134517141695,1.7493134520506337,1.9234070912132963e-10,0.5341177781433208,0.1335294445358302,,0,0,17,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv#row_id=complex__high_imbalance_seed3202__no-adaptive
high_imbalance_seed3202,K1-r015,46,historical_same_machine_solver_context,1800.0,True,627.6730860617545,340.7282322,1.7493134517141697,1.7493134520506337,1.9234058218890098e-10,0.0885062930084659,0.022495202026979647,0.014996801351319764,3,0,9,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3202__K1-r015/result.json
high_imbalance_seed3202,K4-r001,46,historical_same_machine_solver_context,1800.0,True,408.74551643281535,229.4960002,1.7493134520506324,1.7493134520506337,7.615945718524238e-16,0.07678081381766534,0.019195203454416335,0.012796802302944223,0,0,6,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3202__K4-r001/result.json
high_imbalance_seed3202,P-GRB,46,historical_same_machine_solver_context,1800.0,False,3687.1819134570983,1780.0782172,1.242007739921101,1.7493134520506337,0.2900027502417268,0.39464733314725164,0.36510738452405544,0.34539026262079386,0,0,0,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3202__P-GRB/result.json
high_imbalance_seed3202,K1-AM,47,current_same_executable,1800.0,True,627.6730860617545,334.9960604,1.7493134517141697,1.7493134520506337,1.9234058218890098e-10,0.08742049270648741,0.022123737988674518,0.014749158659116347,3,0,9,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__high_imbalance_seed3202__K1-AM/result.json
high_imbalance_seed3202,K4-AMC,47,current_same_executable,1800.0,True,408.74551643281535,225.7017389,1.7493134520506324,1.7493134520506337,7.615945718524238e-16,0.07729941610956996,0.01932485402739249,0.012883236018261659,0,0,6,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__high_imbalance_seed3202__K4-AMC/result.json
moderate_seed3302,gamma-veto,45,historical_same_machine_solver_longer_cap,3600,False,8047.801516828706,3580.0903663,0.14946819954967203,0.19563620654901237,0.23598907284973325,0.2933105172450414,0.2503194339485601,,0,0,12,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv#row_id=complex__moderate_seed3302__gamma-veto
moderate_seed3302,no-adaptive,45,historical_same_machine_solver_longer_cap,3600,False,7389.5614166966425,3580.1042093,0.04890905163725309,0.19563620654901237,0.75,0.7675057604166668,0.7543764401041663,,0,0,9,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv#row_id=complex__moderate_seed3302__no-adaptive
moderate_seed3302,K1-r015,46,historical_same_machine_solver_context,1800.0,False,3783.0840375686116,1780.0413997,0.14696173997933837,0.19563620654901237,0.24880091179584224,0.3180669879342538,0.2706687574137336,0.26389444426797526,0,0,3,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__moderate_seed3302__K1-r015/result.json
moderate_seed3302,K4-r001,46,historical_same_machine_solver_context,1800.0,False,3637.865046174856,1780.0491175,0.14946819954967203,0.19563620654901237,0.23598907284973325,0.29199343287875024,0.2499901628569875,0.24532313285456936,0,0,6,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__moderate_seed3302__K4-r001/result.json
moderate_seed3302,P-GRB,46,historical_same_machine_solver_context,1800.0,False,3555.3150328276956,1780.0726168,0.12930515693917344,0.19563620654901237,0.33905303512016904,0.34910617736657784,0.3444669629496092,0.34294369588992785,0,0,0,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__moderate_seed3302__P-GRB/result.json
moderate_seed3302,K1-AM,47,current_same_executable,1800.0,False,3819.2762696798222,1780.0401166,0.14698630979072957,0.19563620654901237,0.24867532251037913,0.31674167381764884,0.270262575127804,0.26359194055245877,0,0,3,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__moderate_seed3302__K1-AM/result.json
moderate_seed3302,K4-AMC,47,current_same_executable,1800.0,False,3690.390913385004,1780.0581235,0.14946819954967203,0.19563620654901237,0.23598907284973325,0.291964095610248,0.24998282853986187,0.24531824330981877,0,0,6,results/gf_c6_adaptive_mass_contraction_round47/runs/stage5_1800s__moderate_seed3302__K4-AMC/result.json
tight_T_seed3102,gamma-veto,45,historical_same_machine_solver_longer_cap,3600,True,1675.9839025906258,820.591057,0.6007044366851081,0.6007044366851081,0.0,0.17054288337493748,0.054493998219344135,,0,0,17,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv#row_id=complex__tight_T_seed3102__gamma-veto
tight_T_seed3102,no-adaptive,45,historical_same_machine_solver_longer_cap,3600,True,1857.6599555999992,939.9122159,0.6007044366851081,0.6007044366851081,0.0,0.7073539983333341,0.44343362789583307,,0,0,15,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv#row_id=complex__tight_T_seed3102__no-adaptive
tight_T_seed3102,K1-r015,46,historical_same_machine_solver_context,1800.0,True,1306.2494797021486,680.7626373,0.6007044366851081,0.6007044366851081,0.0,0.19882415144314974,0.07237772683651186,0.0482518178910079,3,0,11,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__tight_T_seed3102__K1-r015/result.json
