stage,instance,left_arm,right_arm,left_certificate,right_certificate,left_work,right_work,work_delta_right_minus_left,left_time,right_time,time_delta_right_minus_left,left_gap,right_gap,left_gi_300,right_gi_300,left_gi_1200,right_gi_1200,left_models,right_models,left_splits,right_splits,right_contractions,certificate_not_weakened,bound_progress_not_weakened
stage5_1800s,high_imbalance_seed3201,K4-AMC,K1-AM,True,True,710.8503886196801,970.6039194826874,259.7535308630073,380.8227237,522.3557284,141.5330047,5.872351488108015e-10,3.635005563669461e-16,0.1009972884363032,0.07543165183102518,0.027012330706878127,0.02491544908330445,10,13,0,4,0,True,True
stage5_1800s,high_imbalance_seed3202,K4-AMC,K1-AM,True,True,408.74551643281535,627.6730860617545,218.92756962893912,225.7017389,334.9960604,109.29432149999997,7.615945718524238e-16,1.9234058218890098e-10,0.07729941610956996,0.08742049270648741,0.01932485402739249,0.022123737988674518,6,9,0,3,0,True,False
stage5_1800s,moderate_seed3301,K4-AMC,K1-AM,False,False,3078.1796242999217,3348.952552261385,270.7729279614632,1780.0328244,1780.0458299,0.013005499999962922,0.1123420662725595,0.024166104844344193,0.24143970382882013,0.21675744177501338,0.14461647566162458,0.07278881106716054,8,5,0,1,0,True,True
stage5_1800s,moderate_seed3302,K4-AMC,K1-AM,False,False,3690.390913385004,3819.2762696798222,128.8853562948184,1780.0581235,1780.0401166,-0.01800690000004579,0.23598907284973325,0.24867532251037913,0.291964095610248,0.31674167381764884,0.24998282853986187,0.270262575127804,6,3,0,0,0,True,False
stage5_1800s,round39_small_hard_V10_M2_Q20_slot03_seed490008310,K4-AMC,K1-AM,True,True,12.14001897482193,10.769132505669324,-1.3708864691526053,9.2183386,8.0182872,-1.2000513999999995,0.0,0.0,0.0108882360689598,0.009828418740687976,0.00272205901723995,0.002457104685171994,10,3,0,0,0,True,True
stage5_1800s,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,K4-AMC,K1-AM,True,True,10.503884558425527,8.991485297269257,-1.5123992611562702,9.0619342,6.8371267,-2.2248075,0.0,4.400898038348613e-16,0.011083070969079492,0.009579725221891029,0.002770767742269873,0.002394931305472757,22,3,0,0,0,True,True
stage5_1800s,round39_small_hard_V12_M2_Q20_slot06_seed258908503,K4-AMC,K1-AM,True,True,12.770682545305828,38.80867136188028,26.03798881657445,11.3940177,24.3114296,12.917411900000001,0.0,1.886388367463341e-15,0.010257247198090829,0.013011474649763976,0.0025643117995227073,0.003252868662440994,24,3,0,0,0,True,True
stage5_1800s,round39_small_hard_V12_M3_Q20_slot07_seed621538683,K4-AMC,K1-AM,False,False,138.4451303784979,188.18035718118418,49.73522680268627,76.3208237,98.5344708,22.21364709999999,2.442756619520684e-07,2.0161571633704306e-07,0.10031115959905035,0.09970648698911805,0.02507797310650905,0.024926772959066767,12,3,0,0,0,True,True
stage5_1800s,round39_small_hard_V12_M3_Q30_slot08_seed1288546114,K4-AMC,K1-AM,True,True,133.73490192498448,740.6340681077912,606.8991661828068,76.7515995,408.9598331,332.2082336,3.0696806124470356e-15,4.0828682536125e-08,0.06915523094535538,0.21115642442551713,0.017288807736338844,0.06320396821150413,10,3,0,0,0,True,False
stage5_1800s,round39_small_medium_V10_M3_Q30_slot06_seed2147082032,K4-AMC,K1-AM,True,True,84.92954014505797,46.315648034731886,-38.613892110326084,50.9036247,26.6478481,-24.2557766,0.0,5.107176761517994e-15,0.11317619971967842,0.07909687193022448,0.028294049929919605,0.01977421798255612,12,3,0,0,0,True,True
stage5_1800s,round39_small_medium_V12_M3_Q30_slot08_seed1343324363,K4-AMC,K1-AM,True,True,1571.4256243238797,843.4563311103416,-727.9692932135381,694.616193,384.6042946,-310.01189839999995,1.3877309794433272e-14,1.5419233104925857e-15,0.26019468503255705,0.20309019676178214,0.12038897117523358,0.05935379341988513,10,3,0,0,0,True,True
stage5_1800s,round39_small_medium_V8_M2_Q20_slot02_seed890603285,K4-AMC,K1-AM,True,True,14.858987962360878,19.340484300800686,4.481496338439808,11.1071733,13.8596906,2.752517300000001,0.0,0.0,0.02007190530561233,0.025729336699124587,0.005017976326403083,0.006432334174781147,12,3,0,0,0,True,True
stage5_1800s,tight_T_seed3101,K4-AMC,K1-AM,False,False,3742.8513446350257,3737.052814950427,-5.798529684598634,1780.0362065,1780.035466,-0.0007404999998925632,0.2565946908111847,0.37990762204852835,0.5316162662275602,0.5628052882023256,0.4722957428091413,0.4842891183402483,5,3,0,0,0,True,False
stage5_1800s,tight_T_seed3102,K4-AMC,K1-AM,True,False,1306.4235957628575,3788.5503848518583,2482.126789089001,657.7708206,1780.0436949,1122.2728743,0.0,0.06518359542931032,0.18295040131742446,0.2006513626266801,0.05368585920077141,0.11290193731997644,10,5,0,1,0,False,False
