run_id,stage,arm,instance,certificate,false_certificate,coverage_valid,bound_order_valid,completion_marker,lower_bound,verified_upper_bound,rejection_reason
stage3_300s__high_imbalance_seed3201__K1-AM,stage3_300s,K1-AM,high_imbalance_seed3201,False,False,True,True,True,2.3545030031536247,2.4434031919432,relevant_leaf_open
stage3_300s__high_imbalance_seed3201__K1-AMC,stage3_300s,K1-AMC,high_imbalance_seed3201,False,False,True,True,True,2.3545030031536247,2.4434031919432,relevant_leaf_open
stage3_300s__high_imbalance_seed3201__K4-AM,stage3_300s,K4-AM,high_imbalance_seed3201,False,False,True,True,True,2.2866395288965413,2.4434031919432,relevant_leaf_open
stage3_300s__high_imbalance_seed3201__K4-AMC,stage3_300s,K4-AMC,high_imbalance_seed3201,False,False,True,True,True,2.2866395288965413,2.4434031919432,relevant_leaf_open
stage3_300s__moderate_seed3301__K1-AM,stage3_300s,K1-AM,moderate_seed3301,False,False,True,True,True,0.046916027599814655,0.04915255266474515,relevant_leaf_open
stage3_300s__moderate_seed3301__K1-AMC,stage3_300s,K1-AMC,moderate_seed3301,False,False,True,True,True,0.046803201239730766,0.04915255266474515,relevant_leaf_open
stage3_300s__moderate_seed3301__K4-AM,stage3_300s,K4-AM,moderate_seed3301,False,False,True,True,True,0.04363065333581688,0.04915255266474515,relevant_leaf_open
stage3_300s__moderate_seed3301__K4-AMC,stage3_300s,K4-AMC,moderate_seed3301,False,False,True,True,True,0.04363065333581688,0.04915255266474515,relevant_leaf_open
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AM,stage3_300s,K1-AM,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,False,True,True,True,0.02133700603978056,0.021337006039780566,none
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AMC,stage3_300s,K1-AMC,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,False,True,True,True,0.02133700603978056,0.021337006039780566,none
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-AM,stage3_300s,K4-AM,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,False,True,True,True,0.021337006039780566,0.021337006039780566,none
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-AMC,stage3_300s,K4-AMC,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,True,False,True,True,True,0.021337006039780566,0.021337006039780566,none
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-AM,stage3_300s,K1-AM,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,False,True,True,True,0.8585174613256094,0.8585174613256055,none
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-AMC,stage3_300s,K1-AMC,round39_small_hard_V10_M1_Q20_slot01_seed561355351,True,False,True,True,True,0.8585174613256094,0.8585174613256055,none
