run_id,stage,arm,instance,finite_decisions,extra_lp_queries,extra_mip_queries,pass
stage3_300s__high_imbalance_seed3201__K1-AM,stage3_300s,K1-AM,high_imbalance_seed3201,2,0,0,True
stage3_300s__high_imbalance_seed3201__K1-AMC,stage3_300s,K1-AMC,high_imbalance_seed3201,2,0,0,True
stage3_300s__high_imbalance_seed3201__K4-AM,stage3_300s,K4-AM,high_imbalance_seed3201,1,0,0,True
stage3_300s__high_imbalance_seed3201__K4-AMC,stage3_300s,K4-AMC,high_imbalance_seed3201,1,0,0,True
stage3_300s__moderate_seed3301__K1-AM,stage3_300s,K1-AM,moderate_seed3301,2,0,0,True
stage3_300s__moderate_seed3301__K1-AMC,stage3_300s,K1-AMC,moderate_seed3301,2,0,0,True
stage3_300s__moderate_seed3301__K4-AM,stage3_300s,K4-AM,moderate_seed3301,1,0,0,True
stage3_300s__moderate_seed3301__K4-AMC,stage3_300s,K4-AMC,moderate_seed3301,1,0,0,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AM,stage3_300s,K1-AM,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,2,0,0,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AMC,stage3_300s,K1-AMC,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,2,0,0,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-AM,stage3_300s,K4-AM,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,3,0,0,True
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-AMC,stage3_300s,K4-AMC,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,3,0,0,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-AM,stage3_300s,K1-AM,round39_small_hard_V10_M1_Q20_slot01_seed561355351,2,0,0,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-AMC,stage3_300s,K1-AMC,round39_small_hard_V10_M1_Q20_slot01_seed561355351,2,0,0,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-AM,stage3_300s,K4-AM,round39_small_hard_V10_M1_Q20_slot01_seed561355351,2,0,0,True
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-AMC,stage3_300s,K4-AMC,round39_small_hard_V10_M1_Q20_slot01_seed561355351,2,0,0,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM,stage3_300s,K1-AM,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,1,0,0,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMC,stage3_300s,K1-AMC,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,1,0,0,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AM,stage3_300s,K4-AM,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,3,0,0,True
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K4-AMC,stage3_300s,K4-AMC,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,3,0,0,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM,stage3_300s,K1-AM,round39_small_hard_V12_M3_Q20_slot07_seed621538683,1,0,0,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AMC,stage3_300s,K1-AMC,round39_small_hard_V12_M3_Q20_slot07_seed621538683,1,0,0,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AM,stage3_300s,K4-AM,round39_small_hard_V12_M3_Q20_slot07_seed621538683,4,0,0,True
stage3_300s__round39_small_hard_V12_M3_Q20_slot07_seed621538683__K4-AMC,stage3_300s,K4-AMC,round39_small_hard_V12_M3_Q20_slot07_seed621538683,4,0,0,True
