run_id,stage,instance,arm,K0,rho,decision_sequence,parent_interval,gamma_L,gamma_U,infeasible_side,infeasible_child_id,feasible_child_id,feasible_child_bound,current_c6_action,infeasible_sibling_materialized,binary_split_count_incremented,feasible_model_already_built,potential_contraction_model_reuse,later_feasible_descendant_decisions,later_feasible_child_lp_rows,source_ledger,source_ledger_sha256
stage3_300s__high_imbalance_seed3201__K1-r001,stage3_300s,high_imbalance_seed3201,K1-r001,1,0.01,2,L0.0,0,0.47499999999999998,left,L0.0.0,L0.0.1,2.2206360803532741,split,True,True,True,True,0,0,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r001/c6_split_decision_ledger.csv,6917b56e3f2dd83c2f6c1c8845dfbccdb0062eec44c2327e89bcadbba4e6cc19
stage3_300s__high_imbalance_seed3201__K1-r001,stage3_300s,high_imbalance_seed3201,K1-r001,1,0.01,3,L0.1,0.47499999999999998,0.94999999999999996,right,L0.1.1,L0.1.0,2.2662584414844362,split,True,True,True,True,0,0,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r001/c6_split_decision_ledger.csv,6917b56e3f2dd83c2f6c1c8845dfbccdb0062eec44c2327e89bcadbba4e6cc19
stage3_300s__high_imbalance_seed3201__K1-r001,stage3_300s,high_imbalance_seed3201,K1-r001,1,0.01,4,L0.0.1,0.23749999999999999,0.47499999999999998,left,L0.0.1.0,L0.0.1.1,2.261240112868975,split,True,True,True,True,0,0,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r001/c6_split_decision_ledger.csv,6917b56e3f2dd83c2f6c1c8845dfbccdb0062eec44c2327e89bcadbba4e6cc19
stage3_300s__high_imbalance_seed3201__K1-r012,stage3_300s,high_imbalance_seed3201,K1-r012,1,0.12,2,L0.0,0,0.47499999999999998,left,L0.0.0,L0.0.1,2.2206360803532741,split,True,True,True,True,0,0,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r012/c6_split_decision_ledger.csv,16a63339041b9974c21b3094dbb4f05f16a856341e8fe41e9bb04568ea510c72
stage3_300s__high_imbalance_seed3201__K1-r012,stage3_300s,high_imbalance_seed3201,K1-r012,1,0.12,3,L0.1,0.47499999999999998,0.94999999999999996,right,L0.1.1,L0.1.0,2.2662584414844362,split,True,True,True,True,0,0,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r012/c6_split_decision_ledger.csv,16a63339041b9974c21b3094dbb4f05f16a856341e8fe41e9bb04568ea510c72
stage3_300s__high_imbalance_seed3201__K1-r012,stage3_300s,high_imbalance_seed3201,K1-r012,1,0.12,4,L0.0.1,0.23749999999999999,0.47499999999999998,left,L0.0.1.0,L0.0.1.1,2.261240112868975,split,True,True,True,True,0,0,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r012/c6_split_decision_ledger.csv,16a63339041b9974c21b3094dbb4f05f16a856341e8fe41e9bb04568ea510c72
stage3_300s__high_imbalance_seed3201__K1-r015,stage3_300s,high_imbalance_seed3201,K1-r015,1,0.14999999999999999,2,L0.0,0,0.47499999999999998,left,L0.0.0,L0.0.1,2.2206360803532741,split,True,True,True,True,0,0,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r015/c6_split_decision_ledger.csv,b4987e6057444207986623a1085ac2afdce2a53265d417aaeacd6509eddcf79a
stage3_300s__high_imbalance_seed3201__K1-r015,stage3_300s,high_imbalance_seed3201,K1-r015,1,0.14999999999999999,3,L0.1,0.47499999999999998,0.94999999999999996,right,L0.1.1,L0.1.0,2.2662584414844362,split,True,True,True,True,0,0,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r015/c6_split_decision_ledger.csv,b4987e6057444207986623a1085ac2afdce2a53265d417aaeacd6509eddcf79a
stage3_300s__high_imbalance_seed3201__K1-r015,stage3_300s,high_imbalance_seed3201,K1-r015,1,0.14999999999999999,4,L0.0.1,0.23749999999999999,0.47499999999999998,left,L0.0.1.0,L0.0.1.1,2.261240112868975,split,True,True,True,True,0,0,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r015/c6_split_decision_ledger.csv,b4987e6057444207986623a1085ac2afdce2a53265d417aaeacd6509eddcf79a
stage3_300s__high_imbalance_seed3201__K1-r020,stage3_300s,high_imbalance_seed3201,K1-r020,1,0.20000000000000001,2,L0.0,0,0.47499999999999998,left,L0.0.0,L0.0.1,2.2206360803532741,split,True,True,True,True,0,0,results/gf_c6_rho_k1_k4_screen_round46/runs/stage3_300s__high_imbalance_seed3201__K1-r020/c6_split_decision_ledger.csv,9158976f6ef9ee9d6a6389eb3dede77c60f987a30f1ac9f93abc4edc99ce111e
