run_id,stage,arm,instance,K0,mode,tau,process_cap_seconds,executable_sha256,status,certificate,certificate_rejection_reason,coverage_valid,completion_marker,time_seconds,exact_phase_time_seconds,work,lower_bound,verified_upper_bound,relative_gap,split_count,contraction_count,both_child_infeasible_closure_count,initial_interval_count,final_interval_count,lp_jobs,native_target_jobs,terminal_mip_jobs,model_count,model_reuse_count,basis_reuse_count,contraction_model_reuse_count,contraction_basis_reuse_count,nodes,peak_memory_gb,finite_decision_count,extra_lp_count,extra_mip_count,bound_order_valid,lb_300,ub_300,gap_300,gi_300,lb_1200,ub_1200,gap_1200,gi_1200,lb_1800,ub_1800,gap_1800,gi_1800
stage3_300s__high_imbalance_seed3201__K1-AM,stage3_300s,K1-AM,high_imbalance_seed3201,1,adaptive-mass,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,True,True,280.0372721,268.796612,502.64096437477366,2.3545030031536247,2.4434031919432,0.03638375732777625,4,0,0,1,5,11,5,1,11,6,0,3,0,6513.0,0.158164203,2,0,0,True,2.3545030031536247,2.4434031919432,0.03638375732777625,0.07520018302548359,2.3545030031536247,2.4434031919432,0.03638375732777625,0.04608786375220309,2.3545030031536247,2.4434031919432,0.03638375732777625,0.042853161610727476
stage3_300s__high_imbalance_seed3201__K1-AMC,stage3_300s,K1-AMC,high_imbalance_seed3201,1,adaptive-mass-contraction,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,True,True,280.0397652,268.7655314,502.56466779131057,2.3545030031536247,2.4434031919432,0.03638375732777625,1,3,0,1,2,11,5,1,11,6,0,3,0,6510.0,0.158164205,2,0,0,True,2.3545030031536247,2.4434031919432,0.03638375732777625,0.07531710541617534,2.3545030031536247,2.4434031919432,0.03638375732777625,0.04611709434987603,2.3545030031536247,2.4434031919432,0.03638375732777625,0.04287264867584277
stage3_300s__high_imbalance_seed3201__K4-AM,stage3_300s,K4-AM,high_imbalance_seed3201,4,adaptive-mass,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,True,True,280.0493794,268.83081630000004,512.2369950481797,2.2866395288965413,2.4434031919432,0.06415791857994055,1,0,0,4,5,8,3,1,8,4,0,1,0,13338.0,0.176095365,1,0,0,True,2.2866395288965413,2.4434031919432,0.06415791857994055,0.10242548028566102,2.2866395288965413,2.4434031919432,0.06415791857994055,0.07372480900637067,2.2866395288965413,2.4434031919432,0.06415791857994055,0.07053584553089397
stage3_300s__high_imbalance_seed3201__K4-AMC,stage3_300s,K4-AMC,high_imbalance_seed3201,4,adaptive-mass-contraction,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,True,True,280.0409792,268.68480089999997,501.89931598601044,2.2866395288965413,2.4434031919432,0.06415791857994055,0,1,0,4,4,8,3,1,8,4,0,1,0,12840.0,0.176095367,1,0,0,True,2.2866395288965413,2.4434031919432,0.06415791857994055,0.10286339664051085,2.2866395288965413,2.4434031919432,0.06415791857994055,0.07383428809508312,2.2866395288965413,2.4434031919432,0.06415791857994055,0.0706088315900356
stage3_300s__moderate_seed3301__K1-AM,stage3_300s,K1-AM,moderate_seed3301,1,adaptive-mass,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,True,True,280.0315481,237.4222019,459.67628913859846,0.046916027599814655,0.04915255266474515,0.04550170731081176,1,0,0,1,2,5,2,1,5,3,0,0,0,4428.0,0.153381654,2,0,0,True,0.046916027599814655,0.04915255266474515,0.04550170731081176,0.21686006576328115,0.046916027599814655,0.04915255266474515,0.04550170731081176,0.08834129692392911,0.046916027599814655,0.04915255266474515,0.04550170731081176,0.07406143371955666
stage3_300s__moderate_seed3301__K1-AMC,stage3_300s,K1-AMC,moderate_seed3301,1,adaptive-mass-contraction,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,True,True,280.0282478,237.2539488,449.80951891015565,0.046803201239730766,0.04915255266474515,0.047797139673265945,1,0,0,1,2,5,2,1,5,3,0,0,0,4335.0,0.153381656,2,0,0,True,0.046803201239730766,0.04915255266474515,0.047797139673265945,0.2178860698846467,0.046803201239730766,0.04915255266474515,0.047797139673265945,0.09031937222611112,0.046803201239730766,0.04915255266474515,0.047797139673265945,0.07614529470849607
stage3_300s__moderate_seed3301__K4-AM,stage3_300s,K4-AM,moderate_seed3301,4,adaptive-mass,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,True,True,280.0347459,237.2735857,429.6367094129257,0.04363065333581688,0.04915255266474515,0.1123420662725595,1,0,0,4,5,8,3,1,8,4,0,1,0,5155.0,0.160552843,1,0,0,True,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.24175481220358042,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.14469525275531472,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.13391085726106297
stage3_300s__moderate_seed3301__K4-AMC,stage3_300s,K4-AMC,moderate_seed3301,4,adaptive-mass-contraction,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,round31_c6_external_gini_tree_time_limit,False,relevant_leaf_open,True,True,280.0286353,236.67782700000004,435.848125135358,0.04363065333581688,0.04915255266474515,0.1123420662725595,0,1,0,4,4,8,3,1,8,4,0,1,0,5420.0,0.160552845,1,0,0,True,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.24345957055455358,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.14512144234305802,0.04363065333581688,0.04915255266474515,0.1123420662725595,0.13419498365289184
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AM,stage3_300s,K1-AM,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,1,adaptive-mass,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,optimal,True,none,True,True,18.6634856,13.589470600000002,28.285289241061992,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0,0,0,1,1,3,1,1,3,2,0,0,0,44.0,0.122623229,2,0,0,True,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.028916059933900364,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.007229014983475091,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.004819343322316727
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K1-AMC,stage3_300s,K1-AMC,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,1,adaptive-mass-contraction,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,optimal,True,none,True,True,18.6689938,13.611991999999999,28.285289241061992,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0,0,0,1,1,3,1,1,3,2,0,0,0,44.0,0.122623231,2,0,0,True,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.028866459938835843,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.007216614984708961,0.02133700603978056,0.021337006039780566,3.2520466512360744e-16,0.00481107665647264
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-AM,stage3_300s,K4-AM,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,4,adaptive-mass,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,optimal,True,none,True,True,26.1751352,21.0112456,38.137815381093645,0.021337006039780566,0.021337006039780566,0.0,0,0,0,4,4,8,3,2,8,5,0,0,0,102.0,0.116608523,3,0,0,True,0.021337006039780566,0.021337006039780566,0.0,0.02997393382263983,0.021337006039780566,0.021337006039780566,0.0,0.007493483455659957,0.021337006039780566,0.021337006039780566,0.0,0.004995655637106638
stage3_300s__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__K4-AMC,stage3_300s,K4-AMC,round39_small_easy_V12_M3_Q30_slot08_seed1167625600,4,adaptive-mass-contraction,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,optimal,True,none,True,True,27.2457326,21.7079114,38.137815381093645,0.021337006039780566,0.021337006039780566,0.0,0,0,0,4,4,8,3,2,8,5,0,0,0,102.0,0.116608525,3,0,0,True,0.021337006039780566,0.021337006039780566,0.0,0.031977056292947115,0.021337006039780566,0.021337006039780566,0.0,0.007994264073236779,0.021337006039780566,0.021337006039780566,0.0,0.005329509382157853
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-AM,stage3_300s,K1-AM,round39_small_hard_V10_M1_Q20_slot01_seed561355351,1,adaptive-mass,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,optimal,True,none,True,True,1.4831742,1.0952842,0.9381473408644397,0.8585174613256094,0.8585174613256055,0.0,0,0,0,1,1,3,1,1,3,2,0,0,0,2.0,0.013480757,2,0,0,True,0.8585174613256094,0.8585174613256055,0.0,0.0019585992638042047,0.8585174613256094,0.8585174613256055,0.0,0.0004896498159510512,0.8585174613256094,0.8585174613256055,0.0,0.00032643321063403414
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K1-AMC,stage3_300s,K1-AMC,round39_small_hard_V10_M1_Q20_slot01_seed561355351,1,adaptive-mass-contraction,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,optimal,True,none,True,True,1.4749969,1.0860995,0.9381473408644397,0.8585174613256094,0.8585174613256055,0.0,0,0,0,1,1,3,1,1,3,2,0,0,0,2.0,0.013480759,2,0,0,True,0.8585174613256094,0.8585174613256055,0.0,0.0019621972317063053,0.8585174613256094,0.8585174613256055,0.0,0.0004905493079265763,0.8585174613256094,0.8585174613256055,0.0,0.00032703287195105085
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-AM,stage3_300s,K4-AM,round39_small_hard_V10_M1_Q20_slot01_seed561355351,4,adaptive-mass,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,optimal,True,none,True,True,1.7934438,1.3582553,0.989274344317732,0.8585174613256055,0.8585174613256055,0.0,3,0,0,4,7,14,1,2,14,3,0,3,0,2.0,0.011603767,2,0,0,True,0.8585174613256055,0.8585174613256055,0.0,0.0021802838900932316,0.8585174613256055,0.8585174613256055,0.0,0.0005450709725233079,0.8585174613256055,0.8585174613256055,0.0,0.00036338064834887194
stage3_300s__round39_small_hard_V10_M1_Q20_slot01_seed561355351__K4-AMC,stage3_300s,K4-AMC,round39_small_hard_V10_M1_Q20_slot01_seed561355351,4,adaptive-mass-contraction,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,optimal,True,none,True,True,1.7830544,1.348029,0.989274344317732,0.8585174613256055,0.8585174613256055,0.0,0,3,0,4,4,14,1,2,14,3,0,3,0,2.0,0.011603769,2,0,0,True,0.8585174613256055,0.8585174613256055,0.0,0.002177365584611424,0.8585174613256055,0.8585174613256055,0.0,0.000544341396152856,0.8585174613256055,0.8585174613256055,0.0,0.00036289426410190403
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM,stage3_300s,K1-AM,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,1,adaptive-mass,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,optimal,True,none,True,True,6.8933373,5.9464821,8.991485297269257,0.5045438521642072,0.5045438521642074,4.400898038348613e-16,0,0,0,1,1,3,0,1,3,1,0,0,0,962.0,0.025677057,1,0,0,True,0.5045438521642072,0.5045438521642074,4.400898038348613e-16,0.009645113894413103,0.5045438521642072,0.5045438521642074,4.400898038348613e-16,0.0024112784736032757,0.5045438521642072,0.5045438521642074,4.400898038348613e-16,0.0016075189824021837
stage3_300s__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AMC,stage3_300s,K1-AMC,round39_small_hard_V10_M3_Q20_slot04_seed1145042375,1,adaptive-mass-contraction,0.07915,300.0,541c496881c7a0f79ffaf50cbdf4acc3bdf106dd86031990c0e6cf56c3deaa16,optimal,True,none,True,True,6.862803,5.9181761,8.991485297269257,0.5045438521642072,0.5045438521642074,4.400898038348613e-16,0,0,0,1,1,3,0,1,3,1,0,0,0,962.0,0.025677059,1,0,0,True,0.5045438521642072,0.5045438521642074,4.400898038348613e-16,0.009598142373336182,0.5045438521642072,0.5045438521642074,4.400898038348613e-16,0.0023995355933340455,0.5045438521642072,0.5045438521642074,4.400898038348613e-16,0.0015996903955560304
