instance,algorithm,source_round,source_path,source_commit,source_tree,evidence_commit,evidence_tree,artifact_sha256,input_sha256,executable_sha256,solver_version,machine,process_cap_seconds,work,time_seconds,certificate,lower_bound,verified_upper_bound,gap,gi_300,gi_1200,gi_1800,comparison_timing,source_table
high_imbalance_seed3201,gamma-veto,45,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv#row_id=complex__high_imbalance_seed3201__gamma-veto,1313086b8d1e1b1c163a8bf1c4011f08e8534dc8,fd1378ef7f93f444049d21dba58e104a0fed446d,1313086b8d1e1b1c163a8bf1c4011f08e8534dc8,fd1378ef7f93f444049d21dba58e104a0fed446d,74b4f9bbe05d4d2efa712206ba46911c43c4851d55c8913a234ecbfd31c37edd,ce60fd4e74ad23174be2d4a08ca6e52c0043cee22f3c9b17153b9e8bbcfdbe42,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,Gurobi 13.0.2 build v13.0.2rc1,WIN-3NO58RVQ4VC,3600,1138.0330315218748,589.9931994,True,2.443403191209587,2.4434031919432,3.002423720451883e-10,0.09773331541347871,0.02676883974250682,,historical_same_machine_solver_longer_cap,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv
high_imbalance_seed3201,no-adaptive,45,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv#row_id=complex__high_imbalance_seed3201__no-adaptive,1313086b8d1e1b1c163a8bf1c4011f08e8534dc8,fd1378ef7f93f444049d21dba58e104a0fed446d,1313086b8d1e1b1c163a8bf1c4011f08e8534dc8,fd1378ef7f93f444049d21dba58e104a0fed446d,74b4f9bbe05d4d2efa712206ba46911c43c4851d55c8913a234ecbfd31c37edd,ce60fd4e74ad23174be2d4a08ca6e52c0043cee22f3c9b17153b9e8bbcfdbe42,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,Gurobi 13.0.2 build v13.0.2rc1,WIN-3NO58RVQ4VC,3600,1135.9892958215353,668.2827082,True,2.443403191209587,2.4434031919432,3.002423720451883e-10,0.780082354909332,0.4124235680469337,,historical_same_machine_solver_longer_cap,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv
high_imbalance_seed3201,K1-r015,46,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3201__K1-r015/result.json,36033fab439ceb76ff6c82a28a897f423a3a501d,545bb7629500f6154534a4b690769a78254fed79,a0b5f5f623d6adbbbbfa01c31d95aaf3d65d3dce,4cc1b162d0ccdab87610a3c8f2411a87798b9a84,fb216b8fe539b5635ef636f149426705b8693d498fd1e49799b57c25f1f89fdc,ce60fd4e74ad23174be2d4a08ca6e52c0043cee22f3c9b17153b9e8bbcfdbe42,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,Gurobi 13.0.2 build v13.0.2rc1,WIN-3NO58RVQ4VC,1800.0,970.6039194826874,539.8320984,True,2.443403191943199,2.4434031919432,3.635005563669461e-16,0.0757419473252554,0.025506474259755486,0.017004316173170324,historical_same_machine_solver_context,results/gf_c6_rho_k1_k4_screen_round46/stage5_1800s_results.csv
high_imbalance_seed3201,K4-r001,46,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3201__K4-r001/result.json,36033fab439ceb76ff6c82a28a897f423a3a501d,545bb7629500f6154534a4b690769a78254fed79,a0b5f5f623d6adbbbbfa01c31d95aaf3d65d3dce,4cc1b162d0ccdab87610a3c8f2411a87798b9a84,8b5453cbbed54d6bfa85fae76945645a272549da09302d3c9c2aa1b7aa4c3e1d,ce60fd4e74ad23174be2d4a08ca6e52c0043cee22f3c9b17153b9e8bbcfdbe42,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,Gurobi 13.0.2 build v13.0.2rc1,WIN-3NO58RVQ4VC,1800.0,710.8503886196801,390.3545002,True,2.4434031905083478,2.4434031919432,5.872351488108015e-10,0.10199468378173344,0.027723277689208025,0.018482185126138685,historical_same_machine_solver_context,results/gf_c6_rho_k1_k4_screen_round46/stage5_1800s_results.csv
high_imbalance_seed3201,K4-r050,46,results/gf_c6_rho_k1_k4_screen_round46/runs/stage4_1200s__high_imbalance_seed3201__K4-r050/result.json,36033fab439ceb76ff6c82a28a897f423a3a501d,545bb7629500f6154534a4b690769a78254fed79,a0b5f5f623d6adbbbbfa01c31d95aaf3d65d3dce,4cc1b162d0ccdab87610a3c8f2411a87798b9a84,601a7c7074c59f53c0c01926c011996b45ae147762460f1d8c97f032f4aa75d2,ce60fd4e74ad23174be2d4a08ca6e52c0043cee22f3c9b17153b9e8bbcfdbe42,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,Gurobi 13.0.2 build v13.0.2rc1,WIN-3NO58RVQ4VC,1200.0,710.8503886196801,381.8246935,True,2.4434031905083478,2.4434031919432,5.872351488108015e-10,0.10143837537911995,0.02716538093350767,0.01811025395567178,historical_same_machine_solver_context,results/gf_c6_rho_k1_k4_screen_round46/stage4_1200s_results.csv
high_imbalance_seed3201,P-GRB,46,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3201__P-GRB/result.json,36033fab439ceb76ff6c82a28a897f423a3a501d,545bb7629500f6154534a4b690769a78254fed79,a0b5f5f623d6adbbbbfa01c31d95aaf3d65d3dce,4cc1b162d0ccdab87610a3c8f2411a87798b9a84,ede9a8fa1e7c00d307b3ec38d68d706ab50df85e13a898afb7aefc4d564d829a,ce60fd4e74ad23174be2d4a08ca6e52c0043cee22f3c9b17153b9e8bbcfdbe42,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,Gurobi 13.0.2 build v13.0.2rc1,WIN-3NO58RVQ4VC,1800.0,3581.442796133532,1780.0888304,False,2.1626879532523016,2.4434031919432,0.1148869902505325,0.16842320217850698,0.14992386106779754,0.14016361479485587,historical_same_machine_solver_context,results/gf_c6_rho_k1_k4_screen_round46/stage5_1800s_results.csv
high_imbalance_seed3202,gamma-veto,45,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv#row_id=complex__high_imbalance_seed3202__gamma-veto,1313086b8d1e1b1c163a8bf1c4011f08e8534dc8,fd1378ef7f93f444049d21dba58e104a0fed446d,1313086b8d1e1b1c163a8bf1c4011f08e8534dc8,fd1378ef7f93f444049d21dba58e104a0fed446d,74b4f9bbe05d4d2efa712206ba46911c43c4851d55c8913a234ecbfd31c37edd,902f4c46fa076f3e24b537737c5d58ffe833e6de21e900a42bb8846d3f76db50,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,Gurobi 13.0.2 build v13.0.2rc1,WIN-3NO58RVQ4VC,3600,455.0541474241866,257.2305027,True,1.7493134517141695,1.7493134520506337,1.9234070912132963e-10,0.07969659408979907,0.019924148522449767,,historical_same_machine_solver_longer_cap,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv
high_imbalance_seed3202,no-adaptive,45,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv#row_id=complex__high_imbalance_seed3202__no-adaptive,1313086b8d1e1b1c163a8bf1c4011f08e8534dc8,fd1378ef7f93f444049d21dba58e104a0fed446d,1313086b8d1e1b1c163a8bf1c4011f08e8534dc8,fd1378ef7f93f444049d21dba58e104a0fed446d,74b4f9bbe05d4d2efa712206ba46911c43c4851d55c8913a234ecbfd31c37edd,902f4c46fa076f3e24b537737c5d58ffe833e6de21e900a42bb8846d3f76db50,d0b17662a6021cf2cc3c7b4c66868bf76c3d11e268f0b63afc71a7a77e7e88f4,Gurobi 13.0.2 build v13.0.2rc1,WIN-3NO58RVQ4VC,3600,455.90631333279595,258.3751807,True,1.7493134517141695,1.7493134520506337,1.9234070912132963e-10,0.5341177781433208,0.1335294445358302,,historical_same_machine_solver_longer_cap,results/gf_adaptive_timing_parametric_partition_round45/completion/full_run_matrix_results.csv
high_imbalance_seed3202,K1-r015,46,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3202__K1-r015/result.json,36033fab439ceb76ff6c82a28a897f423a3a501d,545bb7629500f6154534a4b690769a78254fed79,a0b5f5f623d6adbbbbfa01c31d95aaf3d65d3dce,4cc1b162d0ccdab87610a3c8f2411a87798b9a84,5aeb8b031e25271b0fb388056f0641e2e522db35d457ff224335277c19db1d97,902f4c46fa076f3e24b537737c5d58ffe833e6de21e900a42bb8846d3f76db50,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,Gurobi 13.0.2 build v13.0.2rc1,WIN-3NO58RVQ4VC,1800.0,627.6730860617545,340.7282322,True,1.7493134517141697,1.7493134520506337,1.9234058218890098e-10,0.0885062930084659,0.022495202026979647,0.014996801351319764,historical_same_machine_solver_context,results/gf_c6_rho_k1_k4_screen_round46/stage5_1800s_results.csv
high_imbalance_seed3202,K4-r001,46,results/gf_c6_rho_k1_k4_screen_round46/runs/stage5_1800s__high_imbalance_seed3202__K4-r001/result.json,36033fab439ceb76ff6c82a28a897f423a3a501d,545bb7629500f6154534a4b690769a78254fed79,a0b5f5f623d6adbbbbfa01c31d95aaf3d65d3dce,4cc1b162d0ccdab87610a3c8f2411a87798b9a84,213c17268c40b1d44fbc3af68dc2432676abcb434e768ff394453cf7693ec997,902f4c46fa076f3e24b537737c5d58ffe833e6de21e900a42bb8846d3f76db50,d574b38b2f44ae2aacf92bf685f439354b5a08dbe257b6c399045b98a157871b,Gurobi 13.0.2 build v13.0.2rc1,WIN-3NO58RVQ4VC,1800.0,408.74551643281535,229.4960002,True,1.7493134520506324,1.7493134520506337,7.615945718524238e-16,0.07678081381766534,0.019195203454416335,0.012796802302944223,historical_same_machine_solver_context,results/gf_c6_rho_k1_k4_screen_round46/stage5_1800s_results.csv
