interval_id,gamma_L,gamma_U,interval_lower_bound,incumbent_upper_bound,interval_status,reason,certificate_basis,requires_pricing_closure,pricing_closure_available,interval_bound_valid,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources
0,0,0.228769709091,0.686309127274,0.686309127274,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,1.6980479,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation
1,0.228769709091,0.457539418182,0.48601609956,0.686309127274,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,11.3538752,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation
2,0.457539418182,0.686309127274,0.679591633974,0.686309127274,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,7.0092244,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation
3,0.228769709091,0.343154563637,0.686309127274,0.686309127274,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,1.5814506,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation
4,0.343154563637,0.457539418182,0.572368271841,0.686309127274,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,10.615514,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation
5,0.343154563637,0.40034699091,0.686309127274,0.686309127274,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,0,0,0,0,0,0,0,1.8380978,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation
6,0.40034699091,0.457539418182,0.629560699114,0.686309127274,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,8.5212536,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation
7,0.40034699091,0.428943204546,0.679479159816,0.686309127274,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,4.45809,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation
8,0.428943204546,0.457539418182,0.65815691275,0.686309127274,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,3.3725839,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation
9,0.428943204546,0.443241311364,0.672437500338,0.686309127274,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,3.4507588,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation
10,0.443241311364,0.457539418182,0.65815691275,0.686309127274,replaced_by_children,split_parent_replaced,unresolved,false,false,true,0,1,0,0,0,0,0,2.9392422,adaptive_split_inherited_inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation
11,0.443241311364,0.450390364773,0.65815691275,0.686309127274,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,2.3123978,adaptive_split_inherited_adaptive_split_inherited_inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation
12,0.450390364773,0.457539418182,0.65815691275,0.686309127274,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,0,1,0,0,0,0,0,1.8595437,adaptive_split_inherited_adaptive_split_inherited_inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation
