parent_id,parent_L,parent_U,left_id,left_L,left_U,right_id,right_L,right_U,exact_coverage,atomic_replacement,tolerance
ROOT,0,0.71850407075497091,R,0,0.71850407075497091,NA,0,0,1,true,9.9999999999999995e-08
R,0,0.71850407075497091,R.0,0,0.35925203537748546,R.1,0.35925203537748546,0.71850407075497091,true,true,9.9999999999999995e-08
R.1,0.35925203537748546,0.71850407075497091,R.1.0,0.35925203537748546,0.53887805306622816,R.1.1,0.53887805306622816,0.71850407075497091,true,true,9.9999999999999995e-08
R.1.0,0.35925203537748546,0.53887805306622816,R.1.0.0,0.35925203537748546,0.44906504422185678,R.1.0.1,0.44906504422185678,0.53887805306622816,true,true,9.9999999999999995e-08
R.1.0.0,0.35925203537748546,0.44906504422185678,R.1.0.0.0,0.35925203537748546,0.40415853979967109,R.1.0.0.1,0.40415853979967109,0.44906504422185678,true,true,9.9999999999999995e-08
R.1.0.1,0.44906504422185678,0.53887805306622816,R.1.0.1.0,0.44906504422185678,0.49397154864404247,R.1.0.1.1,0.49397154864404247,0.53887805306622816,true,true,9.9999999999999995e-08
R.1.0.0.1,0.40415853979967109,0.44906504422185678,R.1.0.0.1.0,0.40415853979967109,0.42661179201076393,R.1.0.0.1.1,0.42661179201076393,0.44906504422185678,true,true,9.9999999999999995e-08
R.1.0.0.1.0,0.40415853979967109,0.42661179201076393,R.1.0.0.1.0.0,0.40415853979967109,0.41538516590521751,R.1.0.0.1.0.1,0.41538516590521751,0.42661179201076393,true,true,9.9999999999999995e-08
R.1.0.0.1.1,0.42661179201076393,0.44906504422185678,R.1.0.0.1.1.0,0.42661179201076393,0.43783841811631036,R.1.0.0.1.1.1,0.43783841811631036,0.44906504422185678,true,true,9.9999999999999995e-08
R.1.0.0.1.0.0,0.40415853979967109,0.41538516590521751,R.1.0.0.1.0.0.0,0.40415853979967109,0.40977185285244433,R.1.0.0.1.0.0.1,0.40977185285244433,0.41538516590521751,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1,0.41538516590521751,0.42661179201076393,R.1.0.0.1.0.1.0,0.41538516590521751,0.4209984789579907,R.1.0.0.1.0.1.1,0.4209984789579907,0.42661179201076393,true,true,9.9999999999999995e-08
R.1.0.0.1.0.0.1,0.40977185285244433,0.41538516590521751,R.1.0.0.1.0.0.1.0,0.40977185285244433,0.41257850937883089,R.1.0.0.1.0.0.1.1,0.41257850937883089,0.41538516590521751,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.0,0.41538516590521751,0.4209984789579907,R.1.0.0.1.0.1.0.0,0.41538516590521751,0.41819182243160413,R.1.0.0.1.0.1.0.1,0.41819182243160413,0.4209984789579907,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.1,0.4209984789579907,0.42661179201076393,R.1.0.0.1.0.1.1.0,0.4209984789579907,0.42380513548437732,R.1.0.0.1.0.1.1.1,0.42380513548437732,0.42661179201076393,true,true,9.9999999999999995e-08
R.1.0.0.1.1.0,0.42661179201076393,0.43783841811631036,R.1.0.0.1.1.0.0,0.42661179201076393,0.43222510506353717,R.1.0.0.1.1.0.1,0.43222510506353717,0.43783841811631036,true,true,9.9999999999999995e-08
R.1.0.0.1.1.1,0.43783841811631036,0.44906504422185678,R.1.0.0.1.1.1.0,0.43783841811631036,0.44345173116908354,R.1.0.0.1.1.1.1,0.44345173116908354,0.44906504422185678,true,true,9.9999999999999995e-08
R.1.0.0.1.1.0.1,0.43222510506353717,0.43783841811631036,R.1.0.0.1.1.0.1.0,0.43222510506353717,0.43503176158992374,R.1.0.0.1.1.0.1.1,0.43503176158992374,0.43783841811631036,true,true,9.9999999999999995e-08
R.1.0.0.1.1.0.0,0.42661179201076393,0.43222510506353717,R.1.0.0.1.1.0.0.0,0.42661179201076393,0.42941844853715055,R.1.0.0.1.1.0.0.1,0.42941844853715055,0.43222510506353717,true,true,9.9999999999999995e-08
R.1.0.0.1.0.0.1.0,0.40977185285244433,0.41257850937883089,R.1.0.0.1.0.0.1.0.0,0.40977185285244433,0.41117518111563761,R.1.0.0.1.0.0.1.0.1,0.41117518111563761,0.41257850937883089,true,true,9.9999999999999995e-08
R.1.0.0.1.0.0.1.1,0.41257850937883089,0.41538516590521751,R.1.0.0.1.0.0.1.1.0,0.41257850937883089,0.41398183764202423,R.1.0.0.1.0.0.1.1.1,0.41398183764202423,0.41538516590521751,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.0.1,0.41819182243160413,0.4209984789579907,R.1.0.0.1.0.1.0.1.0,0.41819182243160413,0.41959515069479741,R.1.0.0.1.0.1.0.1.1,0.41959515069479741,0.4209984789579907,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.0.0,0.41538516590521751,0.41819182243160413,R.1.0.0.1.0.1.0.0.0,0.41538516590521751,0.41678849416841079,R.1.0.0.1.0.1.0.0.1,0.41678849416841079,0.41819182243160413,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.1.0,0.4209984789579907,0.42380513548437732,R.1.0.0.1.0.1.1.0.0,0.4209984789579907,0.42240180722118403,R.1.0.0.1.0.1.1.0.1,0.42240180722118403,0.42380513548437732,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.1.1,0.42380513548437732,0.42661179201076393,R.1.0.0.1.0.1.1.1.0,0.42380513548437732,0.4252084637475706,R.1.0.0.1.0.1.1.1.1,0.4252084637475706,0.42661179201076393,true,true,9.9999999999999995e-08
R.1.0.0.1.1.0.0.0,0.42661179201076393,0.42941844853715055,R.1.0.0.1.1.0.0.0.0,0.42661179201076393,0.42801512027395727,R.1.0.0.1.1.0.0.0.1,0.42801512027395727,0.42941844853715055,true,true,9.9999999999999995e-08
R.1.0.0.1.1.0.0.1,0.42941844853715055,0.43222510506353717,R.1.0.0.1.1.0.0.1.0,0.42941844853715055,0.43082177680034384,R.1.0.0.1.1.0.0.1.1,0.43082177680034384,0.43222510506353717,true,true,9.9999999999999995e-08
R.1.0.0.1.0.0.1.0.1,0.41117518111563761,0.41257850937883089,R.1.0.0.1.0.0.1.0.1.0,0.41117518111563761,0.41187684524723422,R.1.0.0.1.0.0.1.0.1.1,0.41187684524723422,0.41257850937883089,true,true,9.9999999999999995e-08
R.1.0.0.1.0.0.1.1.1,0.41398183764202423,0.41538516590521751,R.1.0.0.1.0.0.1.1.1.0,0.41398183764202423,0.4146835017736209,R.1.0.0.1.0.0.1.1.1.1,0.4146835017736209,0.41538516590521751,true,true,9.9999999999999995e-08
R.1.0.0.1.0.0.1.1.0,0.41257850937883089,0.41398183764202423,R.1.0.0.1.0.0.1.1.0.0,0.41257850937883089,0.41328017351042756,R.1.0.0.1.0.0.1.1.0.1,0.41328017351042756,0.41398183764202423,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.0.0.0,0.41538516590521751,0.41678849416841079,R.1.0.0.1.0.1.0.0.0.0,0.41538516590521751,0.41608683003681413,R.1.0.0.1.0.1.0.0.0.1,0.41608683003681413,0.41678849416841079,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.0.0.1,0.41678849416841079,0.41819182243160413,R.1.0.0.1.0.1.0.0.1.0,0.41678849416841079,0.41749015830000746,R.1.0.0.1.0.1.0.0.1.1,0.41749015830000746,0.41819182243160413,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.0.1.0,0.41819182243160413,0.41959515069479741,R.1.0.0.1.0.1.0.1.0.0,0.41819182243160413,0.4188934865632008,R.1.0.0.1.0.1.0.1.0.1,0.4188934865632008,0.41959515069479741,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.0.1.1,0.41959515069479741,0.4209984789579907,R.1.0.0.1.0.1.0.1.1.0,0.41959515069479741,0.42029681482639403,R.1.0.0.1.0.1.0.1.1.1,0.42029681482639403,0.4209984789579907,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.1.0.1,0.42240180722118403,0.42380513548437732,R.1.0.0.1.0.1.1.0.1.0,0.42240180722118403,0.4231034713527807,R.1.0.0.1.0.1.1.0.1.1,0.4231034713527807,0.42380513548437732,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.1.0.0,0.4209984789579907,0.42240180722118403,R.1.0.0.1.0.1.1.0.0.0,0.4209984789579907,0.42170014308958736,R.1.0.0.1.0.1.1.0.0.1,0.42170014308958736,0.42240180722118403,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.1.1.0,0.42380513548437732,0.4252084637475706,R.1.0.0.1.0.1.1.1.0.0,0.42380513548437732,0.42450679961597393,R.1.0.0.1.0.1.1.1.0.1,0.42450679961597393,0.4252084637475706,true,true,9.9999999999999995e-08
R.1.0.0.1.0.1.1.1.1,0.4252084637475706,0.42661179201076393,R.1.0.0.1.0.1.1.1.1.0,0.4252084637475706,0.42591012787916727,R.1.0.0.1.0.1.1.1.1.1,0.42591012787916727,0.42661179201076393,true,true,9.9999999999999995e-08
R.1.0.0.1.1.0.0.0.1,0.42801512027395727,0.42941844853715055,R.1.0.0.1.1.0.0.0.1.0,0.42801512027395727,0.42871678440555394,R.1.0.0.1.1.0.0.0.1.1,0.42871678440555394,0.42941844853715055,true,true,9.9999999999999995e-08
R.1.0.0.1.1.0.0.0.0,0.42661179201076393,0.42801512027395727,R.1.0.0.1.1.0.0.0.0.0,0.42661179201076393,0.4273134561423606,R.1.0.0.1.1.0.0.0.0.1,0.4273134561423606,0.42801512027395727,true,true,9.9999999999999995e-08
R.1.0.0.1.1.0.1.0,0.43222510506353717,0.43503176158992374,R.1.0.0.1.1.0.1.0.0,0.43222510506353717,0.43362843332673046,R.1.0.0.1.1.0.1.0.1,0.43362843332673046,0.43503176158992374,true,true,9.9999999999999995e-08
R.1.0.0.1.1.0.1.1,0.43503176158992374,0.43783841811631036,R.1.0.0.1.1.0.1.1.0,0.43503176158992374,0.43643508985311708,R.1.0.0.1.1.0.1.1.1,0.43643508985311708,0.43783841811631036,true,true,9.9999999999999995e-08
R.1.0.0.1.1.0.0.1.0,0.42941844853715055,0.43082177680034384,R.1.0.0.1.1.0.0.1.0.0,0.42941844853715055,0.43012011266874717,R.1.0.0.1.1.0.0.1.0.1,0.43012011266874717,0.43082177680034384,true,true,9.9999999999999995e-08
