number,id,arm,run_cap,checkpoint,conservative_overhead_shift,trace_event_count,trace_last_time,final_witness_backdated,certificate,verified_retained_UB,comparison_UB,LB,UB_scope,LB_scope,signed_gap,relative_gap,completed_wall,algorithm_reported_verified_UB,initial_witness_available_by,hga_full_route_hash
11,D6,P-GRB,3600,300,0.03726620008956161,1474,289.98615990008955,False,False,,0.15777481424266704,0.14376677030141793,Native incumbent telemetry; no complete intermediate vector retained,Original compact MIP callback bound,0.014008043941249104,0.08878504473916794,,,,
11,D6,P-GRB,3600,600,0.03726620008956161,2474,599.9651069000896,False,False,,0.15724117585229222,0.14498588325431813,Native incumbent telemetry; no complete intermediate vector retained,Original compact MIP callback bound,0.012255292597974088,0.07793946166801978,,,,
11,D6,P-GRB,3600,1200,0.03726620008956161,5154,1199.9158548000894,False,False,,0.15724117585229222,0.14691815166891264,Native incumbent telemetry; no complete intermediate vector retained,Original compact MIP callback bound,0.010323024183379576,0.06565089663967359,,,,
11,D6,P-GRB,3600,1800,0.03726620008956161,8926,1799.9649199000894,False,False,,0.15724117585229222,0.14885720679820616,Native incumbent telemetry; no complete intermediate vector retained,Original compact MIP callback bound,0.00838396905408606,0.05331917043129795,,,,
11,D6,P-GRB,3600,2400,0.03726620008956161,12846,2399.8516209000895,False,False,,0.15724117585229222,0.1497791827357929,Native incumbent telemetry; no complete intermediate vector retained,Original compact MIP callback bound,0.00746199311649931,0.04745571938172791,,,,
11,D6,P-GRB,3600,3600,0.03726620008956161,20374,3597.0114066000897,False,False,0.1572411758522922,0.1572411758522922,0.15083561712763732,Completed run: independently checked final routes,Completed full original-problem bound,0.0064055587246548695,0.040737158635038864,3597.1710000000894,,,
12,D6,K1-R,3600,300,0.031223099999806436,0,,False,False,0.15708313110317407,0.15708313110317407,0.0,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.15708313110317407,1.0,,,12.57206549999982,b22331e7663cc630a7413ae81c8fa43ec166241a5a109520fd9bd5bda6b7e26c
12,D6,K1-R,3600,600,0.031223099999806436,76,598.1523370000002,False,False,0.15708313110317407,0.15708313110317407,0.1432241498846412,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.013858981218532879,0.08822704972330947,,0.15708313110317415,12.57206549999982,b22331e7663cc630a7413ae81c8fa43ec166241a5a109520fd9bd5bda6b7e26c
12,D6,K1-R,3600,1200,0.031223099999806436,436,1197.5868019000002,False,False,0.15708313110317407,0.15708313110317407,0.1457786203173884,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.011304510785785676,0.07196514804865163,,0.15708313110317415,12.57206549999982,b22331e7663cc630a7413ae81c8fa43ec166241a5a109520fd9bd5bda6b7e26c
12,D6,K1-R,3600,1800,0.031223099999806436,850,1799.8395132000003,False,False,0.15708313110317407,0.15708313110317407,0.14686548859535573,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.010217642507818342,0.06504608379054574,,0.15708313110317415,12.57206549999982,b22331e7663cc630a7413ae81c8fa43ec166241a5a109520fd9bd5bda6b7e26c
12,D6,K1-R,3600,2400,0.031223099999806436,1347,2396.4135928,False,False,0.15708313110317407,0.15708313110317407,0.14765484405094562,Retained initial witness linked by full hash to its verified HGA event; conservative generation-completion timestamp,"Complete-frontier trace, or mathematical nonnegative bound before exact initialization",0.009428287052228451,0.06002100280287793,,0.15708313110317415,12.57206549999982,b22331e7663cc630a7413ae81c8fa43ec166241a5a109520fd9bd5bda6b7e26c
12,D6,K1-R,3600,3600,0.031223099999806436,2184,3597.1182993999996,False,False,0.15708313110317415,0.15708313110317415,0.14833271698935407,Completed run: independently checked final routes,Completed full original-problem bound,0.008750414113820076,0.05570562575603803,3597.125,,,
