number,id,arm,stage,kind,input_sha256,V,M,Q,T,executable_sha256,cap,wall,internal_wall,certificate,status,UB,LB,signed_absolute_gap,relative_gap,gap_note,hga_seconds,exact_start,initial_objective,initial_route_signature,lp_calls,mip_calls,splits,failure,result_sha256,artifact_dir
1,D3,VD-S,repeat,performance,29e0ca2c95ec2e061aa1cc524aaf6a41bf6c4a34355dca86df6966aa8a29b6b4,12,3,30,2850,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,300,84.68699999991804,84.499873,True,optimal,0.04500155005562836,0.04500155005562828,7.632783294297951e-17,1.6961156415418443e-15,within numerical tolerance,2.0967253,2.101555,0.049468682614419446,e50de38f29a2fdcd7aeeb0c8222b5a45764f0b0ede52d661ac6bf7a42b91f10e,3,2,0,False,15bcb7ee90f5113a7738968ff88426091b4297cee29ab584d91272310fdd7f1c,results\unified_exact_round69\local_raw\repeat\D3\VD-S
2,E7,P-GRB,historical-validation,performance,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,120,1.3130000000819564,1.2739422,True,optimal,0.020382503842219304,0.02038250384221927,3.469446951953614e-17,1.7021691637153893e-15,within numerical tolerance,0,,,,0,1,0,False,4680503f13279dba8d5cd9d054b26207b28286b21fe6ecc60937e15d495bd993,results\unified_exact_round69\local_raw\historical-validation\E7\P-GRB
3,E7,K1-R,historical-validation,performance,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,120,5.657000000122935,5.6340219,True,optimal,0.020382503842219304,0.020382503842219284,2.0816681711721685e-17,1.0213014982292336e-15,within numerical tolerance,4.2999291,4.3056124,0.020382503842219304,1f124f95304a91a486f1144464755d7c69180fa7b9b6dc830f13820fce6ba492,3,2,0,False,b3e783e0d9d3cad9e18c2a6cc212ce7910a0a6c1f609bca4336bd04abe2dea0e,results\unified_exact_round69\local_raw\historical-validation\E7\K1-R
4,E7,VD-S,historical-validation,performance,7171ea93b94f8e17cb61ecda9621d1bc1886cae3657dc8d11c967cd53e5189c2,12,2,30,3600,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,120,5.657000000122935,5.6236611,True,optimal,0.020382503842219304,0.020382503842219304,0.0,0.0,within numerical tolerance,4.3667299,4.3725205,0.020382503842219304,1f124f95304a91a486f1144464755d7c69180fa7b9b6dc830f13820fce6ba492,3,1,0,False,c9723d31444b3272fe99e4acf57b39d0eff4782cba0414ed26556b23c4ad0ebc,results\unified_exact_round69\local_raw\historical-validation\E7\VD-S
5,S12,P-GRB,historical-validation,performance,060ee6366b2277c8427675e1a1484de7db10d2ef82a64d4e2ffa6e4695b7b626,12,1,30,10800,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,120,5.155999999959022,5.1264284,True,optimal,0.05856397312578516,0.05856397312578512,4.163336342344337e-17,7.109040114819771e-16,within numerical tolerance,0,,,,0,1,0,False,d3c8710ff676d49f2fd7b35d6eb26fe18cf5806ea1b89541f6786f8b130071bd,results\unified_exact_round69\local_raw\historical-validation\S12\P-GRB
6,S12,K1-R,historical-validation,performance,060ee6366b2277c8427675e1a1484de7db10d2ef82a64d4e2ffa6e4695b7b626,12,1,30,10800,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,120,40.938000000081956,40.9164458,True,optimal,0.05856397312578515,0.058563973125784964,1.8735013540549517e-16,3.1990680516688973e-15,within numerical tolerance,38.4121078,38.4166677,0.05856397312578515,694b9360d03a05282af2fb9776ce281e1c97c49c76af1f47c00247c92ed3e45d,3,1,0,False,473dcc5e3e1fd0bb4d4cb93f26de09bf98f3e1460e0712a97a493b5cf726714d,results\unified_exact_round69\local_raw\historical-validation\S12\K1-R
7,S12,VD-S,historical-validation,performance,060ee6366b2277c8427675e1a1484de7db10d2ef82a64d4e2ffa6e4695b7b626,12,1,30,10800,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,120,39.67199999978766,39.6384769,True,optimal,0.05856397312578515,0.05856397312578488,2.706168622523819e-16,4.620876074632852e-15,within numerical tolerance,38.3824615,38.3870774,0.05856397312578515,694b9360d03a05282af2fb9776ce281e1c97c49c76af1f47c00247c92ed3e45d,3,1,0,False,11c13e48dd26eec13948dbd3ff8d5ee43a30e2ca18ea720b102681ca583db064,results\unified_exact_round69\local_raw\historical-validation\S12\VD-S
8,N12,P-GRB,historical-validation,performance,cc7bcb904e235fa3f505bef78089d3fc2fa5ce056a453830c01fcaf259cab331,12,1,30,3600,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,120,3.905999999959022,3.8791738,True,optimal,0.8046255197202796,0.8046255197202797,-1.1102230246251565e-16,-1.3798009103801667e-16,within numerical tolerance,0,,,,0,1,0,False,6cca456a6815374e5ff953b0a329e30147e222b1a7a064db972c4e6d586349b7,results\unified_exact_round69\local_raw\historical-validation\N12\P-GRB
9,N12,K1-R,historical-validation,performance,cc7bcb904e235fa3f505bef78089d3fc2fa5ce056a453830c01fcaf259cab331,12,1,30,3600,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,120,7.2030000002123415,7.1696267,True,optimal,0.8046255197202796,0.8046255197202764,3.219646771412954e-15,4.001422640102483e-15,within numerical tolerance,1.7406014,1.7442208,0.8162382059163058,583b7f0323c3bed2f6aa0d82551d12f8a37d250819247e37b3dcafca19df4998,3,1,0,False,a3797162fc01fd58f4396f6eeeb5c206c59b3b409b5a967fcd95b6c1b27ccd1d,results\unified_exact_round69\local_raw\historical-validation\N12\K1-R
10,N12,VD-S,historical-validation,performance,cc7bcb904e235fa3f505bef78089d3fc2fa5ce056a453830c01fcaf259cab331,12,1,30,3600,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,120,3.6409999998286366,3.6116454,True,optimal,0.8046255197202796,0.8046255197202788,7.771561172376096e-16,9.658606372661167e-16,within numerical tolerance,1.7483556,1.7530103,0.8162382059163058,583b7f0323c3bed2f6aa0d82551d12f8a37d250819247e37b3dcafca19df4998,3,1,0,False,289a6105b396e06d7c743a0c0fc21fc147ba3da767a11e39aa3c7d32ca61fcf2,results\unified_exact_round69\local_raw\historical-validation\N12\VD-S
11,D6,P-GRB,development-long,performance,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,30,3,30,18000,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,3600,3597.1710000000894,3597.1337338,False,time_limit,0.1572411758522922,0.15083561712763732,0.0064055587246548695,0.040737158635038864,open,0,,,,0,1,0,False,3de38e750a5064de83e27a3394045f90daf2477aa22384022550bd9fedb93e81,results\unified_exact_round69\local_raw\development-long\D6\P-GRB
12,D6,K1-R,development-long,performance,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,30,3,30,18000,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,3600,3597.125,3597.0937769,False,round31_c6_external_gini_tree_time_limit,0.15708313110317415,0.14833271698935407,0.008750414113820076,0.05570562575603803,open,323.7226881,323.7303347,0.15708313110317415,c892307ab74bb7cf475095845a04a39505b91e580f6516242ffc1aeb7c6f7fca,5,2,1,False,e4fea53f5297ce6a26bd3d402280c5d09d03bcfd94cce8349ec97da2e11c52f7,results\unified_exact_round69\local_raw\development-long\D6\K1-R
13,D6,VD-S,development-long,performance,070c2c1413840a09a264d238bdfa320ef76d293a45cab919095851afdea8c01d,30,3,30,18000,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,3600,3597.1410000002943,3597.037994,False,round31_c6_external_gini_tree_time_limit,0.15708313110317415,0.1531074523719963,0.003975678731177851,0.025309393206369026,open,550.5999342,550.60877,0.15708313110317415,c892307ab74bb7cf475095845a04a39505b91e580f6516242ffc1aeb7c6f7fca,5,1,1,False,f13efdbef09f939dc1ba1f1fbe568c98cad7921dc16f4b6a3efd337f677b5e05,results\unified_exact_round69\local_raw\development-long\D6\VD-S
14,D7,P-GRB,historical-validation-long,performance,d7dbd018331b9d5f3d84c0fd6c907560ef1fa92a2f8c153ac7d81e46a6cd4e9c,50,4,30,18000,ad6f29736c3f10a51339f07a3b7e2160964815e855b91ba8e60db27caeb49340,1200,1197.1089999997057,1197.058706,False,time_limit,0.27732086593398886,0.1972864787145512,0.08003438721943765,0.2885985046595389,open,0,,,,0,1,0,False,5cd7e28f0af7ac00c2ca4dbc881400ff3675427c9ffeb950b8664ace65f629df,results\unified_exact_round69\local_raw\historical-validation-long\D7\P-GRB
