number,id,arm,leaf_id,solve_kind,model_sha256,original_rows,original_columns,original_nonzeros,logged_LP_optimum
1,D3,VD-S,L0,LP,64478a37d56b76f32b25a822c6e1c1f2af7f04cebb8cea2691f35303333bd8f7,4199,1776,20707,0.03000187371
1,D3,VD-S,L0.0,LP,a0aa7ff63bacb2916b39fe5c2bbbb05367ea2a27671ba9c9081335995990fa20,4199,1776,20707,0.03074245979
1,D3,VD-S,L0.1,LP,bf3fa0da77352898cd0ac238d4613ead311a6a5a670ebca722595f549c5eaed7,4025,1598,20284,0.04082067723
1,D3,VD-S,L0,CHILD_BOUND_TARGET_MIP,64478a37d56b76f32b25a822c6e1c1f2af7f04cebb8cea2691f35303333bd8f7,4199,1776,20707,
1,D3,VD-S,L0,MIP,64478a37d56b76f32b25a822c6e1c1f2af7f04cebb8cea2691f35303333bd8f7,4199,1776,20707,
3,E7,K1-R,L0,LP,0b088f52287d7f863e1164e3bdf4427f96f1cabc9b98a32fa14cda43930a648f,3109,1018,14992,0.009821307813
3,E7,K1-R,L0.0,LP,59332100910105df71425a66c5e02e5bee868cd8cb63d27cbb0dffbc2d20965c,3109,1018,14992,0.01021588776
3,E7,K1-R,L0.1,LP,71584a54826d9529fbdd62e1bf46bea70ccc98b2c38f71b1cc6bd174809c1d89,3111,1018,15144,0.01668421292
3,E7,K1-R,L0,CHILD_BOUND_TARGET_MIP,0b088f52287d7f863e1164e3bdf4427f96f1cabc9b98a32fa14cda43930a648f,3109,1018,14992,
3,E7,K1-R,L0,MIP,0b088f52287d7f863e1164e3bdf4427f96f1cabc9b98a32fa14cda43930a648f,3109,1018,14992,
4,E7,VD-S,L0,LP,ec0550d02a7201ef78a6da050e84b9dedec57953fc635a4fc8cf3b58dfb9e21b,3085,1300,15331,0.01234224881
4,E7,VD-S,L0.0,LP,747702c37ca5f19b16f34f826d6af8bc338c0e63fcdc1c02b673abe627f51a05,3085,1300,15331,0.01234224881
4,E7,VD-S,L0.1,LP,5b64574af94dba00bc688c521da926523ccb84e2298ea4bbc8e39351b41637dd,2881,1094,14734,0.01676961806
4,E7,VD-S,L0,MIP,ec0550d02a7201ef78a6da050e84b9dedec57953fc635a4fc8cf3b58dfb9e21b,3085,1300,15331,
6,S12,K1-R,L0,LP,601ebc7df259b0ee3b98e1df919c2f57f5cc856fac25c66fdee2fb466a66837c,2076,632,9899,0.0
6,S12,K1-R,L0.0,LP,7fc8a9ae8f31c34c2e790e055ce4126273ca81fe0baa288d6b702f5dc9128801,2076,632,9899,0.0
6,S12,K1-R,L0.1,LP,2d7c2b1c35c59428a84244dee7e5c697b8d67c8f8d0a952183f1508dea040ae9,2079,632,10047,0.02928198656
6,S12,K1-R,L0,MIP,601ebc7df259b0ee3b98e1df919c2f57f5cc856fac25c66fdee2fb466a66837c,2076,632,9899,
7,S12,VD-S,L0,LP,35cad8bae4d941fc80ea5dd41ae5fa0c5f13a61f118a01b6a0db0f1e5e6f4dcf,2241,1098,10878,0.0
