number,id,arm,tree_rows,roots,replaced,independently_recomputed_interval_union,initial_range_covers_G_le_verified_F
1,D3,VD-S,1,1,0,True,True
3,E7,K1-R,1,1,0,True,True
4,E7,VD-S,1,1,0,True,True
6,S12,K1-R,1,1,0,True,True
7,S12,VD-S,1,1,0,True,True
9,N12,K1-R,1,1,0,True,True
10,N12,VD-S,1,1,0,True,True
12,D6,K1-R,3,1,1,True,True
13,D6,VD-S,3,1,1,True,True
15,D7,K1-R,5,1,2,True,True
16,D7,VD-S,5,1,2,True,True
