parent_id,eligible,decision_valid,split,child_infeasibility_trigger,strict_bound_trigger,normalized_disjunction_gain,parent_native_bound_target,target_phase_required,reason
L1,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L2,true,1,1,0,0,0.0235972,,0,"normalized_child_disjunction_gain_reaches_rho"
L3,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L1.1,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L2.0,true,1,1,0,0,0.0317849,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.0,true,1,1,0,0,0.0358849,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.0.0,true,1,1,0,0,0.0282367,,0,"normalized_child_disjunction_gain_reaches_rho"
L1.1.1,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L2.0.0.0.0,true,1,1,0,0,0.0217066,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.0.0.1,true,1,1,0,0,0.0131975,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.0.0.0.1,true,1,0,0,0,0.00898115,0.303139,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.0.0.1.0,true,1,0,0,0,0.00682284,0.303457,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.0.0.0.0,true,1,0,0,0,0.00983929,0.303731,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.0.1,true,1,1,0,0,0.0100529,,0,"normalized_child_disjunction_gain_reaches_rho"
L2.0.0.0.1.1,true,1,0,0,0,0.0066891,0.303993,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.0.1.0,true,1,0,0,0,0.0069764,0.304204,1,"small_positive_disjunction_gain_requires_parent_native_target"
L1.1.1.1,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L2.0.0.1.1,true,1,0,0,0,0.00506475,0.306358,1,"small_positive_disjunction_gain_requires_parent_native_target"
L1.1.1.1.1,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L1.1.1.1.1.1,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L1.1.1.1.1.1.1,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L1.1.1.1.1.1.1.1,true,1,0,0,0,0.00252679,0.308588,1,"small_positive_disjunction_gain_requires_parent_native_target"
L2.0.1,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L2.0.0.1.0.0,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L2.0.0.1.0.1,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L2.0.0.1.1.0,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L2.0.0.1.1.1,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L2.0.0.0.1.1.0,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L2.0.0.0.1.1.1,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L2.1,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L2.0.0.0.1.0.0,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L2.0.0.0.1.0.1,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
L3.0,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L3.0.0,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L3.0.0.0,true,1,1,1,0,,,0,"complete_child_lp_infeasibility"
L3.0.0.0.0,true,1,0,0,0,0,,0,"no_strict_child_disjunction_gain"
