leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,terminal_ready,coalesced_block_id,coverage_member_ids,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,single_child_contraction_parent,strict_infeasible_half_verified,contracted_infeasible_gamma_L,contracted_infeasible_gamma_U,contraction_source,closure_source,lower_bound_sources
L0,"",0,-1,0,0.20833333333333331,0,0.10773809523809524,replaced,1,1,0,0.10773809523809524,0,0,"","",0,0,0,0,0,,,"","","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L0.0,"L0",1,0,0,0.10416666666666666,0.10773809523809524,0.20833333333333331,empty,1,0,1,0,0,0,"","",0,0,0,0,0,,,"","complete_child_lp_infeasible","inherited_parent_lp_bound"
L0.1,"L0",1,1,0.10416666666666666,0.20833333333333331,0.18611111111111112,0.18611111111111112,replaced,1,1,0,0.18611111111111112,0,0,"","",0,0,0,0,0,,,"","","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0,"L0.1",2,0,0.10416666666666666,0.15625,0.18611111111111112,0.18611111111111112,replaced,1,1,0,0.18611111111111109,0,0,"","",0,0,0,0,0,,,"","","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.1,"L0.1",2,1,0.15625,0.20833333333333331,0.18611111111111112,0.20833333333333331,empty,1,0,1,0,0,0,"","",0,0,0,0,0,,,"","complete_child_lp_infeasible","inherited_parent_lp_bound"
L0.1.0.0,"L0.1.0",3,0,0.10416666666666666,0.13020833333333331,0.18611111111111112,0.20833333333333331,empty,1,0,1,0,0,0,"","",0,0,0,0,0,,,"","complete_child_lp_infeasible","inherited_parent_lp_bound"
L0.1.0.1,"L0.1.0",3,1,0.13020833333333331,0.15625,0.20595238095238094,0.20595238095238094,replaced,1,1,0,0.20595238095238094,0,0,"","",0,0,0,0,0,,,"","","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0.1.0,"L0.1.0.1",4,0,0.13020833333333331,0.14322916666666666,0.20595238095238094,0.20595238095238094,replaced,1,1,0,0.20595238095238089,0,0,"","",0,0,0,0,0,,,"","","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0.1.1,"L0.1.0.1",4,1,0.14322916666666666,0.15625,0.20595238095238094,0.20833333333333331,empty,1,0,1,0,0,0,"","",0,0,0,0,0,,,"","complete_child_lp_infeasible","inherited_parent_lp_bound"
L0.1.0.1.0.0,"L0.1.0.1.0",5,0,0.13020833333333331,0.13671875,0.205952380952381,0.205952380952381,replaced,1,1,0,0.205952380952381,0,0,"","",0,0,0,0,0,,,"","","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0.1.0.1,"L0.1.0.1.0",5,1,0.13671875,0.14322916666666666,0.20595238095238094,0.20833333333333331,empty,1,0,1,0,0,0,"","",0,0,0,0,0,,,"","complete_child_lp_infeasible","inherited_parent_lp_bound"
L0.1.0.1.0.0.0,"L0.1.0.1.0.0",6,0,0.13020833333333331,0.13346354166666666,0.20609188988095223,0.20609188988095223,replaced,1,1,0,0.20609188988095223,0,0,"","",0,0,0,0,0,,,"","","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0.1.0.0.1,"L0.1.0.1.0.0",6,1,0.13346354166666666,0.13671875,0.205952380952381,0.20833333333333331,empty,1,0,1,0,0,0,"","",0,0,0,0,0,,,"","complete_child_lp_infeasible","inherited_parent_lp_bound"
L0.1.0.1.0.0.0.0,"L0.1.0.1.0.0.0",7,0,0.13020833333333331,0.1318359375,0.20609188988095223,0.20833333333333331,empty,1,0,1,0,0,0,"","",0,0,0,0,0,,,"","complete_child_lp_infeasible","inherited_parent_lp_bound"
L0.1.0.1.0.0.0.1,"L0.1.0.1.0.0.0",7,1,0.1318359375,0.13346354166666666,0.20725446428571426,0.20725446428571426,replaced,1,1,0,0.20725446428571426,0,0,"","",0,0,0,0,0,,,"","","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L0.1.0.1.0.0.0.1.0,"L0.1.0.1.0.0.0.1",8,0,0.1318359375,0.13264973958333331,0.20725446428571426,0.20833333333333331,empty,1,0,1,0,0,0,"","",0,0,0,0,0,,,"","complete_child_lp_infeasible","inherited_parent_lp_bound"
L0.1.0.1.0.0.0.1.1,"L0.1.0.1.0.0.0.1",8,1,0.13264973958333331,0.13346354166666666,0.20783575148809524,0.20833333333333331,closed,1,1,0,0.20783575148809524,1,1,"","",0,0,0,0,0,,,"","native_terminal_mip_optimal","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;native_terminal_mip_bound"
