"instance","variant","status","lower_bound","upper_bound","gap","unresolved_intervals","open_nodes","frontier_min_interval_lower_bound","frontier_lower_bound_source","result_file"
"gcap_smoke_V4_M1.txt","v4_gcap_frontier_exact-label_cert","optimal","0","0","0","0","0","0","incumbent_cutoff","results\optimization_update_round13\raw\v4_gcap_frontier_exact-label_cert.json"
"gcap_smoke_V4_M1.txt","v4_gcap_frontier_hybrid_cert","optimal","0","0","0","0","0","0","incumbent_cutoff","results\optimization_update_round13\raw\v4_gcap_frontier_hybrid_cert.json"
"regen_candidate_V12_M2_average.txt","v12_m2_focus_exact_300s","gcap_frontier_not_closed","0.712948394993","0.780792889928","0.0868917939828","1","1","0.712948394993","inventory_route_gini_relaxation","results\optimization_update_round13\raw\v12_m2_focus_exact_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_focus_hybrid_300s","gcap_frontier_not_closed","0.712948394993","0.780792889928","0.0868917939828","1","1","0.712948394993","inventory_route_gini_relaxation","results\optimization_update_round13\raw\v12_m2_focus_hybrid_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_focus_hybrid_smooth_300s","gcap_frontier_not_closed","0.712948394993","0.780792889928","0.0868917939828","1","1","0.712948394993","inventory_route_gini_relaxation","results\optimization_update_round13\raw\v12_m2_focus_hybrid_smooth_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_full_exact_300s","gcap_frontier_not_closed","0.68422213022","0.780792889928","0.123682939425","3","3","0.68422213022","inventory_route_gini_relaxation","results\optimization_update_round13\raw\v12_m2_full_exact_300s.json"
"regen_candidate_V12_M2_average.txt","v12_m2_full_hybrid_300s","gcap_frontier_not_closed","0.68422213022","0.780792889928","0.123682939425","3","3","0.68422213022","inventory_route_gini_relaxation","results\optimization_update_round13\raw\v12_m2_full_hybrid_300s.json"
"regen_candidate_V12_M1_average.txt","v12_m1_full_exact_300s","gcap_frontier_not_closed","0.33898058872","0.386764365884","0.123547517245","2","2","0.33898058872","inventory_route_gini_relaxation","results\optimization_update_round13\raw\v12_m1_full_exact_300s.json"
"regen_candidate_V12_M1_average.txt","v12_m1_full_hybrid_300s","gcap_frontier_not_closed","0.33478231708","0.386764365884","0.134402373613","3","3","0.33478231708","inventory_route_gini_relaxation","results\optimization_update_round13\raw\v12_m1_full_hybrid_300s.json"
"regen_V20_M2_average.txt","v20_hybrid_300s","gcap_frontier_not_closed","0.368133269885","1.13623075045","0.676004834634","6","3","0.368133269885","inventory_route_gini_relaxation","results\optimization_update_round13\raw\v20_hybrid_300s.json"
"regen_V50_M3_average.txt","v50_hybrid_pricing_300s","time_limit","337.944378217","337.944378217","0","0","0","0","","results\optimization_update_round13\raw\v50_hybrid_pricing_300s.json"
"regen_V100_M5_average.txt","v100_hybrid_pricing_300s","time_limit","270.875838714","270.875838714","0","0","0","0","","results\optimization_update_round13\raw\v100_hybrid_pricing_300s.json"
"regen_V100_M5_average.txt","v100_large_lb_test","diagnostic_complete","0","6.62899864046","1","0","0","0","","results\optimization_update_round13\raw\v100_large_lb_test.json"
"regen_V50_M3_average.txt","v50_external_incumbent_test","diagnostic_complete","0","3.25947584043","0","0","0","0","","results\optimization_update_round13\raw\v50_external_incumbent_test.json"
"gcap_smoke_V4_M1.txt","v4_export_reimport","diagnostic_complete","0","0","0","0","0","0","","results\optimization_update_round13\raw\v4_export_reimport.json"
"regen_V50_M3_average.txt","v50_malformed_incumbent","diagnostic_complete","0","3.25947584043","0","0","0","0","","results\optimization_update_round13\raw\v50_malformed_incumbent.json"
