call,leaf,round,gamma_L,gamma_U,cutoff,bound,work,seconds,selected,status
0,"L0",0,0,0.50642278922416295,0.50642278922416295,0.093948255393593263,29.919292178177912,15,3,launch
0,"L0",0,0,0.50642278922416295,0.50642278922416295,0.10092291423676571,0.1570209013805326,0.063455999999999999,3,2
1,"L0",1,0,0.50642278922416295,0.50642278922416295,0.10092291423676571,29.761287362364666,15,6,launch
1,"L0",1,0,0.50642278922416295,0.50642278922416295,0.16715304127924974,0.03367158800970959,0.015210599999999999,6,2
2,"L0",2,0,0.50642278922416295,0.50642278922416295,0.16715304127924974,29.72716813088909,15,8,launch
2,"L0",2,0,0.50642278922416295,0.50642278922416295,0.17117318940895282,0.024197035620488579,0.010835300000000001,8,2
3,"L0.0",0,0,0.25321139461208148,0.50642278922416295,0.093948255393593263,29.562181569272919,15,6,launch
3,"L0.0",0,0,0.25321139461208148,0.50642278922416295,0.16947928298873208,0.12998023249399779,0.055349099999999998,6,2
4,"L0.0",1,0,0.25321139461208148,0.50642278922416295,0.16947928298873208,29.43220133677892,15,8,launch
4,"L0.0",1,0,0.25321139461208148,0.50642278922416295,0.17117318940895285,0.0051444621476758349,0.0053528999999999998,8,2
5,"L0.1",0,0.25321139461208148,0.50642278922416295,0.50642278922416295,0.32496933294190894,29.269190189826773,15,8,launch
5,"L0.1",0,0.25321139461208148,0.50642278922416295,0.50642278922416295,0.39130689035593846,0.11360683288461303,0.050034200000000001,8,2
