leaf_id,attempt,time_limit_seconds,solver_runtime_seconds,work,nodes,simplex_iterations,barrier_iterations,cumulative_runtime,cumulative_work,cumulative_nodes,cumulative_simplex_iterations,cumulative_barrier_iterations,optimize_return_code
L0,0,30,0.255,0.437063,1,425,0,0.255,0.437063,1,425,0,0
L1,0,30,0.636,1.27926,1,4643,0,0.636,1.27926,1,4643,0,0
L2,0,30,30.002,60.8433,84,97934,0,30.002,60.8433,84,97934,0,0
L3,0,30,0.358,0.637957,1,1444,0,0.358,0.637957,1,1444,0,0
L2,1,60,60.002,110.807,571,270783,0,90.004,171.65,655,368717,0,0
L2.0,0,30,30.002,61.6833,471,156996,0,30.002,61.6833,471,156996,0,0
L2.1,0,30,2.156,4.24638,1,12989,0,2.156,4.24638,1,12989,0,0
L2.0,1,60,60.003,113.183,769,338606,0,90.005,174.866,1240,495602,0,0
L2.0.0,0,30,30.001,64.8208,208,142688,0,30.001,64.8208,208,142688,0,0
L2.0.1,0,30,30,62.7669,729,208977,0,30,62.7669,729,208977,0,0
L2.0.0,1,23.9067,23.914,51.46,562,285183,0,53.915,116.281,770,427871,0,0
