vehicle,position,station
0,0,7
0,1,9
0,2,18
0,3,17
0,4,23
0,5,30
0,6,29
0,7,19
0,8,13
0,9,14
0,10,25
0,11,26
0,12,28
0,13,22
0,14,16
0,15,11
0,16,10
0,17,27
0,18,20
0,19,21
0,20,8
0,21,4
0,22,5
0,23,2
0,24,15
0,25,24
0,26,12
0,27,3
0,28,6
0,29,1
