step,process_seconds,vehicle,pickup,drop,quantity,pickup_leg,drop_leg,travel_delta,added_duration,objective,G,P,placements,quantity_evaluations,status
0,0.0021581,-1,0,0,0,-1,-1,0,0,1.0756498987534941,0.34197197965516968,4.8911861273221628,0,0,initial_verified
1,0.0032057000000000001,0,9,13,9,0,0,686.06793469176478,1766.0679346917648,1.0122862593642625,0.33786756438358528,4.4961246332045146,2790,7213,accepted_verified
2,0.0041498000000000004,0,18,30,9,1,1,612.59500745494483,1692.5950074549448,0.94307630221927474,0.33347243473859756,4.0640257832045146,9118,13401,accepted_verified
3,0.0050247,0,19,5,6,3,4,333.17714778375296,1053.1771477837528,0.90300882400913773,0.32070431037461444,3.8820300908968224,20532,18619,accepted_verified
4,0.0060825999999999996,0,16,8,7,5,5,308.88806931318277,1148.8880693131828,0.85256732065019736,0.30483069407861108,3.6515775104772419,37524,23119,accepted_verified
5,0.0068189000000000001,0,10,20,8,6,6,811.09920907703531,1771.0992090770353,0.77444515575410633,0.2974904236269646,3.1796982141809447,59722,26912,accepted_verified
6,0.0074609000000000003,0,14,11,1,5,6,3.4371705252224274,123.43717052522243,0.766262515911738,0.29342300378459635,3.1522634141809447,86082,29945,accepted_verified
7,0.0080283000000000004,0,4,2,7,11,12,344.5676542856919,1184.5676542856918,0.71523334810246619,0.27840204462917051,2.9122086898219712,115080,32466,accepted_verified
8,0.0085162999999999992,0,27,21,7,9,10,388.61493061631705,1228.614930616317,0.66167288752689235,0.25652881655359666,2.7009604731553045,144904,34462,accepted_verified
9,0.0089311000000000008,0,17,23,6,2,2,466.70921238634412,1186.709212386344,0.60770654419930725,0.2420686195896479,2.4375861640643954,173646,35993,accepted_verified
10,0.0092610999999999995,0,29,26,6,5,8,554.26147096330533,1274.2614709633053,0.55197345131660736,0.22213799170694801,2.1989030640643956,199494,37097,accepted_verified
11,0.0095181999999999992,0,7,25,5,0,9,191.47551692651763,791.47551692651768,0.50498353849802213,0.20395465783573116,2.0068592044152731,220924,37866,accepted_verified
12,0.0097020000000000006,0,3,1,5,22,22,580.59665422833268,1180.5966542283327,0.45852816949267117,0.18013306155765299,1.8559673862334547,236892,38361,accepted_verified
13,0.009835,0,15,6,6,22,23,597.12824670898033,1317.1282467089804,0.40086846215668109,0.15086844285802653,1.6666667953243637,247026,38658,accepted_verified
14,0.0099234000000000006,0,24,12,6,23,23,474.50732461031123,1194.5073246103111,0.34299492667906589,0.12138999601677501,1.4773662044152727,251818,38797,accepted_verified
15,0.0099565000000000001,0,28,22,4,12,12,521.37417622514283,1001.3741762251428,0.3019504692743149,0.098452528612024026,1.3566529377486061,252816,38834,accepted_verified
15,0.0099748000000000007,-1,0,0,0,-1,-1,0,0,0.3019504692743149,0.098452528612024026,1.3566529377486061,252816,38834,motif_exhausted
