process_elapsed_seconds,exact_phase_elapsed_seconds,event_type,active_leaf,active_leaf_valid_lower_bound,other_open_leaf_min_valid_lower_bound,valid_global_lower_bound,verified_global_upper_bound,open_relevant_leaf_count,closed_relevant_leaf_count,event_source
0.020830100000000001,0.0093437999999999993,"exact_tree_initialization","",0,,0,10.82672037080388,4,0,"initial_exact_interval_cover"
5.2844600000000002,5.2729733999999997,"parent_lp_completion","L0",0,0.245,0,10.82672037080388,4,0,"complete_parent_lp_infeasible"
5.2857827999999998,5.2742963999999999,"infeasible_closure","L0",,0.245,0.245,10.82672037080388,3,1,"complete_parent_lp_infeasible"
22.479532500000001,22.4680459,"parent_lp_completion","L1",0.245,0.48999999999999999,0.245,10.82672037080388,3,1,"complete_parent_lp_infeasible"
22.4803225,22.468836199999998,"infeasible_closure","L1",,0.48999999999999999,0.48999999999999999,10.82672037080388,2,2,"complete_parent_lp_infeasible"
25.795946699999998,25.7844601,"parent_lp_completion","L2",7.4070090034849541,0.73499999999999999,0.73499999999999999,10.82672037080388,2,2,"complete_parent_lp_optimal"
25.795976100000001,25.784489799999999,"parent_lp_requeue","L2",7.4070090034849541,0.73499999999999999,0.73499999999999999,10.82672037080388,2,2,"c6_selected_leaf_no_longer_controlling"
29.737380600000002,29.725894,"parent_lp_completion","L3",7.5557176110501914,7.4070090034849541,7.4070090034849541,10.82672037080388,2,2,"complete_parent_lp_optimal"
29.737406100000001,29.7259198,"parent_lp_requeue","L3",7.5557176110501914,7.4070090034849541,7.4070090034849541,10.82672037080388,2,2,"c6_selected_leaf_no_longer_controlling"
31.634846800000002,31.6233605,"native_root_processing_bound","L2",7.4070090034849541,7.5557176110501914,7.4070090034849541,10.82672037080388,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
38.697359500000005,38.685873200000003,"native_root_processing_bound","L2",7.4273431278406266,7.5557176110501914,7.4273431278406266,10.82672037080388,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
42.740760800000004,42.729274500000002,"native_root_processing_bound","L2",7.5092782784932766,7.5557176110501914,7.5092782784932766,10.82672037080388,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
45.064290499999998,45.052804199999997,"next_leaf_native_bound_target","L2",7.7850579556832047,7.5557176110501914,7.5557176110501914,10.82672037080388,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
45.121456100000003,45.109969499999998,"next_leaf_native_bound_target","L2",7.7850579556832047,7.5557176110501914,7.5557176110501914,10.82672037080388,2,2,"c6_next_strict_frontier_bound_reached_requeue"
46.9560119,46.944525599999999,"native_root_processing_bound","L3",7.5557176110501914,7.7850579556832047,7.5557176110501914,10.82672037080388,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
52.396535100000001,52.3850488,"native_root_processing_bound","L3",7.557223598795022,7.7850579556832047,7.557223598795022,10.82672037080388,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
54.532163800000006,54.520677500000005,"next_leaf_native_bound_target","L3",7.8204691924362839,7.7850579556832047,7.7850579556832047,10.82672037080388,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
54.595373899999998,54.583887400000002,"incumbent_improvement","L3",7.8204691924362839,7.7850579556832047,7.7850579556832047,10.73345384956975,2,2,"independently_verified_c6_partial_mip_incumbent"
54.595388399999997,54.583902100000003,"next_leaf_native_bound_target","L3",7.8204691924362839,7.7850579556832047,7.7850579556832047,10.73345384956975,2,2,"c6_next_strict_frontier_bound_reached_requeue"
59.257051300000001,59.245564700000003,"child_lp_completion","L2.0",7.9098944247546239,7.7850579556832047,7.7850579556832047,10.73345384956975,2,2,"complete_speculative_child_lp_optimal"
62.785457200000003,62.773970800000001,"child_lp_completion","L2.1",7.7850579556832047,7.7850579556832047,7.7850579556832047,10.73345384956975,2,2,"complete_speculative_child_lp_optimal"
62.787014399999997,62.775528000000001,"declined_split","L2",7.7850579556832047,7.8204691924362839,7.7850579556832047,10.73345384956975,2,2,"c6_current_child_gain_not_strict_exact_closure"
62.826243400000003,62.814757100000001,"native_root_processing_bound","L2",7.7850579556832047,7.8204691924362839,7.7850579556832047,10.73345384956975,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
72.304065800000004,72.292579500000002,"native_root_processing_bound","L2",7.7853089760003913,7.8204691924362839,7.7853089760003913,10.73345384956975,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
72.552144499999997,72.540658199999996,"native_root_processing_bound","L2",7.7874954972284511,7.8204691924362839,7.7874954972284511,10.73345384956975,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
74.635023099999998,74.623536799999997,"native_root_processing_bound","L2",7.9311715350818455,7.8204691924362839,7.8204691924362839,10.73345384956975,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
76.104810600000008,76.093324300000006,"native_root_processing_bound","L2",7.9315997003192109,7.8204691924362839,7.8204691924362839,10.73345384956975,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
76.726178300000001,76.714691999999999,"native_root_processing_bound","L2",8.2810373643747859,7.8204691924362839,7.8204691924362839,10.73345384956975,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
78.270433100000005,78.258946800000004,"native_root_processing_bound","L2",8.3963277495044917,7.8204691924362839,7.8204691924362839,10.73345384956975,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
79.707562600000003,79.696076300000001,"native_root_processing_bound","L2",8.3965510434071273,7.8204691924362839,7.8204691924362839,10.73345384956975,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
80.031644099999994,80.020157799999993,"native_root_processing_bound","L2",8.4622448961226358,7.8204691924362839,7.8204691924362839,10.73345384956975,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
80.324182399999998,80.312696099999997,"native_root_processing_bound","L2",8.4880875186055569,7.8204691924362839,7.8204691924362839,10.73345384956975,2,2,"gurobi_cb_mip_objbnd_valid_native_bound"
