generation,best_fitness,strict_improvement
0,-2.9861708000972538,true
1,-2.9861708000972538,false
2,-2.8361800702460074,true
3,-2.8361800702460074,false
4,-2.8361800702460074,false
5,-2.8361800702460074,false
6,-2.8361800702460074,false
7,-2.8361800702460074,false
8,-2.8361800702460074,false
9,-2.8127326682018294,true
10,-2.8127326682018294,false
11,-2.8127326682018294,false
12,-2.8058394044099586,true
13,-2.8058394044099586,false
14,-2.8058394044099586,false
15,-2.8058394044099586,false
16,-2.8058394044099586,false
17,-2.8058394044099586,false
18,-2.8058394044099586,false
19,-2.8058394044099586,false
20,-2.8058394044099586,false
21,-2.8058394044099586,false
22,-2.8058394044099586,false
23,-2.8058394044099586,false
24,-2.8058394044099586,false
25,-2.8058394044099586,false
26,-2.7939141495859827,true
27,-2.7922549523165787,true
28,-2.7922549523165787,false
29,-2.7922549523165787,false
30,-2.7908021796043152,true
31,-2.7908021796043152,false
32,-2.7908021796043152,false
33,-2.7908021796043152,false
34,-2.7908021796043152,false
35,-2.7851678740250452,true
36,-2.7851678740250452,false
37,-2.7851678740250452,false
38,-2.7851678740250452,false
39,-2.7851678740250452,false
40,-2.7851678740250452,false
41,-2.7851678740250452,false
42,-2.7851678740250452,false
43,-2.7851678740250452,false
44,-2.7851678740250452,false
45,-2.7851678740250452,false
46,-2.7851678740250452,false
47,-2.7851678740250452,false
48,-2.7847557805115848,true
49,-2.7847557805115848,false
50,-2.7847557805115848,false
51,-2.7846302751761995,true
52,-2.7846302751761995,false
53,-2.7846302751761995,false
54,-2.7846302751761995,false
55,-2.7846302751761995,false
56,-2.7846302751761995,false
57,-2.7846302751761995,false
58,-2.7846302751761995,false
59,-2.7846302751761995,false
60,-2.7846302751761995,false
61,-2.7846302751761995,false
62,-2.7846302751761995,false
63,-2.7846302751761995,false
64,-2.7846302751761995,false
65,-2.7846302751761995,false
66,-2.7846302751761995,false
67,-2.7846302751761995,false
68,-2.7846302751761995,false
69,-2.7846302751761995,false
70,-2.7846302751761995,false
71,-2.7846302751761995,false
72,-2.7846302751761995,false
73,-2.7846302751761995,false
74,-2.7846302751761995,false
75,-2.7846302751761995,false
76,-2.7846302751761995,false
77,-2.7846302751761995,false
78,-2.7846302751761995,false
79,-2.7846302751761995,false
80,-2.7846302751761995,false
81,-2.7846302751761995,false
82,-2.7846302751761995,false
83,-2.7846302751761995,false
84,-2.7846302751761995,false
85,-2.7846302751761995,false
86,-2.7846302751761995,false
87,-2.7846302751761995,false
88,-2.7846302751761995,false
89,-2.7846302751761995,false
90,-2.7846302751761995,false
91,-2.7846302751761995,false
92,-2.7846302751761995,false
93,-2.7846302751761995,false
94,-2.7846302751761995,false
95,-2.7846302751761995,false
96,-2.7846302751761995,false
97,-2.7846302751761995,false
98,-2.7846302751761995,false
99,-2.7846302751761995,false
100,-2.7846302751761995,false
101,-2.7846302751761995,false
102,-2.7846302751761995,false
103,-2.7846302751761995,false
104,-2.7846302751761995,false
105,-2.7846302751761995,false
106,-2.7846302751761995,false
107,-2.7846302751761995,false
108,-2.7846302751761995,false
109,-2.7846302751761995,false
110,-2.7846302751761995,false
111,-2.7846302751761995,false
112,-2.7846302751761995,false
113,-2.7846302751761995,false
114,-2.7846302751761995,false
115,-2.7846302751761995,false
116,-2.7846302751761995,false
117,-2.7846302751761995,false
118,-2.7846302751761995,false
119,-2.7846302751761995,false
120,-2.7846302751761995,false
121,-2.7846302751761995,false
122,-2.7846302751761995,false
123,-2.7846302751761995,false
124,-2.7846302751761995,false
125,-2.7846302751761995,false
126,-2.7846302751761995,false
127,-2.7846302751761995,false
128,-2.7846302751761995,false
129,-2.7846302751761995,false
130,-2.7846302751761995,false
131,-2.7846302751761995,false
132,-2.7846302751761995,false
133,-2.7846302751761995,false
134,-2.7846302751761995,false
135,-2.7846302751761995,false
136,-2.7846302751761995,false
137,-2.7846302751761995,false
138,-2.7846302751761995,false
139,-2.7846302751761995,false
140,-2.7846302751761995,false
141,-2.7846302751761995,false
142,-2.7846302751761995,false
143,-2.7846302751761995,false
144,-2.7846302751761995,false
145,-2.7846302751761995,false
146,-2.7846302751761995,false
147,-2.7846302751761995,false
148,-2.7846302751761995,false
149,-2.7846302751761995,false
150,-2.7846302751761995,false
151,-2.7846302751761995,false
152,-2.7846302751761995,false
153,-2.7846302751761995,false
154,-2.7846302751761995,false
155,-2.7846302751761995,false
156,-2.7846302751761995,false
157,-2.7846302751761995,false
158,-2.7846302751761995,false
159,-2.7846302751761995,false
160,-2.7846302751761995,false
161,-2.7846302751761995,false
162,-2.7846302751761995,false
163,-2.7846302751761995,false
164,-2.7846302751761995,false
165,-2.7846302751761995,false
166,-2.7846302751761995,false
167,-2.7846302751761995,false
168,-2.7846302751761995,false
169,-2.7846302751761995,false
170,-2.7846302751761995,false
171,-2.7846302751761995,false
172,-2.7846302751761995,false
173,-2.7846302751761995,false
174,-2.7846302751761995,false
175,-2.7846302751761995,false
176,-2.7846302751761995,false
177,-2.7846302751761995,false
178,-2.7846302751761995,false
179,-2.7846302751761995,false
180,-2.7846302751761995,false
181,-2.7846302751761995,false
182,-2.7846302751761995,false
183,-2.7846302751761995,false
184,-2.7846302751761995,false
185,-2.7846302751761995,false
186,-2.7846302751761995,false
187,-2.7846302751761995,false
188,-2.7846302751761995,false
189,-2.7846302751761995,false
190,-2.7846302751761995,false
191,-2.7846302751761995,false
192,-2.7846302751761995,false
193,-2.7846302751761995,false
194,-2.7846302751761995,false
195,-2.7846302751761995,false
196,-2.7846302751761995,false
197,-2.7846302751761995,false
198,-2.7846302751761995,false
199,-2.7846302751761995,false
200,-2.7846302751761995,false
201,-2.7846302751761995,false
202,-2.7846302751761995,false
203,-2.7846302751761995,false
204,-2.7846302751761995,false
205,-2.7846302751761995,false
206,-2.7846302751761995,false
207,-2.7846302751761995,false
208,-2.7846302751761995,false
209,-2.7846302751761995,false
210,-2.7846302751761995,false
211,-2.7846302751761995,false
212,-2.7846302751761995,false
213,-2.7846302751761995,false
214,-2.7846302751761995,false
215,-2.7846302751761995,false
216,-2.7846302751761995,false
217,-2.7846302751761995,false
218,-2.7846302751761995,false
219,-2.7846302751761995,false
220,-2.7846302751761995,false
221,-2.7846302751761995,false
222,-2.7846302751761995,false
223,-2.7846302751761995,false
224,-2.7846302751761995,false
225,-2.7846302751761995,false
226,-2.7846302751761995,false
227,-2.7846302751761995,false
228,-2.7846302751761995,false
229,-2.7846302751761995,false
230,-2.7846302751761995,false
231,-2.7846302751761995,false
232,-2.7846302751761995,false
233,-2.7846302751761995,false
234,-2.7846302751761995,false
235,-2.7846302751761995,false
236,-2.7846302751761995,false
237,-2.7846302751761995,false
238,-2.7846302751761995,false
239,-2.7846302751761995,false
240,-2.7846302751761995,false
241,-2.7846302751761995,false
242,-2.7846302751761995,false
243,-2.7846302751761995,false
244,-2.7846302751761995,false
245,-2.7846302751761995,false
246,-2.7846302751761995,false
247,-2.7846302751761995,false
248,-2.7846302751761995,false
249,-2.7846302751761995,false
250,-2.7846302751761995,false
251,-2.7846302751761995,false
252,-2.7846302751761995,false
253,-2.7844860560179194,true
254,-2.7844860560179194,false
255,-2.7844860560179194,false
