"instance","variant","route_mask_count_before_support_duration","route_mask_count_after_support_duration","route_masks_removed_by_support_duration","route_mask_support_duration_precompute_time_seconds","result_file"
"v12_m1_average","baseline_round3","8190","8190","0","0.0001002","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_baseline_round3.json"
"v12_m1_average","improved_full","8190","8190","0","4.65E-05","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_improved_full.json"
"v12_m1_average","improved_full_long","8190","8190","0","4.99E-05","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_improved_full_long.json"
"v12_m1_average","route_mask_support_only","8190","8190","0","0.0001288","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_route_mask_support_only.json"
"v12_m1_average","strong_incumbent_only","8190","8190","0","0.0001384","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_strong_incumbent_only.json"
"v12_m1_average","support_both","8190","8190","0","0.0001255","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_support_both.json"
"v12_m1_average","support_pricing_only","8190","8190","0","6.39E-05","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_support_pricing_only.json"
"v12_m2_average","baseline_round3","16380","16380","0","8.98E-05","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_baseline_round3.json"
"v12_m2_average","improved_full","16380","16380","0","6.86E-05","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_improved_full.json"
"v12_m2_average","improved_full_long","16380","16380","0","7.49E-05","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_improved_full_long.json"
"v12_m2_average","route_mask_support_only","16380","16380","0","7.88E-05","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_route_mask_support_only.json"
"v12_m2_average","strong_incumbent_only","16380","16380","0","7.43E-05","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_strong_incumbent_only.json"
"v12_m2_average","support_both","16380","16380","0","9.43E-05","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_support_both.json"
"v12_m2_average","support_pricing_only","16380","16380","0","6.62E-05","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_support_pricing_only.json"
"v4_smoke","baseline_round3","15","15","0","4.9E-06","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_baseline_round3.json"
"v4_smoke","improved_full","0","0","0","0","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_improved_full.json"
"v4_smoke","improved_full_long","0","0","0","0","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_improved_full_long.json"
"v4_smoke","route_mask_support_only","15","15","0","2.2E-06","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_route_mask_support_only.json"
"v4_smoke","strong_incumbent_only","0","0","0","0","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_strong_incumbent_only.json"
"v4_smoke","support_both","15","15","0","2.3E-06","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_support_both.json"
"v4_smoke","support_pricing_only","15","15","0","2.2E-06","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_support_pricing_only.json"
