"instance","variant","status","lower_bound","upper_bound","gap","unresolved_intervals","open_nodes","frontier_min_interval_lower_bound","frontier_lower_bound_source","frontier_covers_all_improving_gini_values","frontier_range_certificate_scope","result_file"
"v12_m1_average","baseline_round3","gcap_frontier_not_closed","0.23998843493","0.493696053863","0.51389436263","2","2","0.23998843493","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_baseline_round3.json"
"v12_m1_average","improved_full","gcap_frontier_not_closed","0.27668902459","0.366157179488","0.244343576775","1","1","0.27668902459","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_improved_full.json"
"v12_m1_average","improved_full_long","gcap_frontier_not_closed","0.27747774057","0.368331870826","0.24666377648","1","1","0.27747774057","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_improved_full_long.json"
"v12_m1_average","route_mask_support_only","gcap_frontier_not_closed","0.23998843493","0.493696053863","0.51389436263","2","2","0.23998843493","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_route_mask_support_only.json"
"v12_m1_average","strong_incumbent_only","gcap_frontier_not_closed","0.27500311905","0.361181725513","0.238601790665","1","1","0.27500311905","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_strong_incumbent_only.json"
"v12_m1_average","support_both","gcap_frontier_not_closed","0.23998843493","0.493696053863","0.51389436263","2","2","0.23998843493","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_support_both.json"
"v12_m1_average","support_pricing_only","gcap_frontier_not_closed","0.23998843493","0.493696053863","0.51389436263","2","2","0.23998843493","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m1_average_support_pricing_only.json"
"v12_m2_average","baseline_round3","gcap_frontier_not_closed","0.3542027578","1.00822320985","0.648686169552","2","2","0.3542027578","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_baseline_round3.json"
"v12_m2_average","improved_full","gcap_frontier_not_closed","0.58959762356","0.759438494406","0.223640060515","1","1","0.58959762356","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_improved_full.json"
"v12_m2_average","improved_full_long","gcap_frontier_not_closed","0.58959762356","0.759438494406","0.223640060515","1","1","0.58959762356","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_improved_full_long.json"
"v12_m2_average","route_mask_support_only","gcap_frontier_not_closed","0.3542027578","1.00822320985","0.648686169552","2","2","0.3542027578","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_route_mask_support_only.json"
"v12_m2_average","strong_incumbent_only","gcap_frontier_not_closed","0.58959762356","0.759438494406","0.223640060515","1","1","0.58959762356","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_strong_incumbent_only.json"
"v12_m2_average","support_both","gcap_frontier_not_closed","0.3542027578","1.00822320985","0.648686169552","2","2","0.3542027578","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_support_both.json"
"v12_m2_average","support_pricing_only","gcap_frontier_not_closed","0.3542027578","1.00822320985","0.648686169552","2","2","0.3542027578","inventory_route_gini_relaxation","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v12_m2_average_support_pricing_only.json"
"v4_smoke","baseline_round3","optimal","0","0","0","0","0","0","incumbent_cutoff","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_baseline_round3.json"
"v4_smoke","improved_full","optimal","0","0","0","0","0","0","","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_improved_full.json"
"v4_smoke","improved_full_long","optimal","0","0","0","0","0","0","","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_improved_full_long.json"
"v4_smoke","route_mask_support_only","optimal","0","0","0","0","0","0","incumbent_cutoff","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_route_mask_support_only.json"
"v4_smoke","strong_incumbent_only","optimal","0","0","0","0","0","0","","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_strong_incumbent_only.json"
"v4_smoke","support_both","optimal","0","0","0","0","0","0","incumbent_cutoff","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_support_both.json"
"v4_smoke","support_pricing_only","optimal","0","0","0","0","0","0","incumbent_cutoff","True","original_full_improving_range","E:\codes\ExactEBRP\results\optimization_update_round4\raw\ablation_v4_smoke_support_pricing_only.json"
