row,method,source_class,diagnostic_row,paper_certificate_contamination
certificate-basis-test,certificate-basis-test,tailored_bc_assisted_noncertified,False,False
certificate_basis_recheck,certificate-basis-test,off,False,False
certificate_basis_test,certificate-basis-test,off,False,False
fair_high_imbalance_seed3202_cplex_60s,cplex,off,False,False
fair_high_imbalance_seed3202_tailored_60s,gcap-frontier,wrapper_checkpoint_only,False,False
fair_tight_T_seed3101_cplex_60s,cplex,off,False,False
fair_tight_T_seed3101_tailored_60s,gcap-frontier,wrapper_checkpoint_only,False,False
fair_v12_m1_cplex_60s,cplex,off,False,False
fair_v12_m1_tailored_60s,gcap-frontier,tailored_bc_certified,False,False
fair_v12_m2_cplex_60s,cplex,off,False,False
fair_v12_m2_tailored_60s,gcap-frontier,wrapper_checkpoint_only,False,False
fair_v4_smoke_cplex_60s,cplex,off,False,False
fair_v4_smoke_tailored_60s,gcap-frontier,relaxation_only,False,False
gini-subset-envelope-test,gini-subset-envelope-test,tailored_bc_assisted_noncertified,False,False
interval_callback_smoke,interval-cutoff-oracle,tailored_bc_assisted_noncertified,False,False
low-gini-l1-centering-test,low-gini-l1-centering-test,tailored_bc_assisted_noncertified,False,False
moderate_low_gini1_callback_60s,interval-cutoff-oracle,compact_bc_leaf_diagnostic,True,False
moderate_low_gini1_callback_auto_10s,interval-cutoff-oracle,compact_bc_leaf_diagnostic,True,False
moderate_low_gini1_callback_auto_60s,interval-cutoff-oracle,compact_bc_leaf_diagnostic,True,False
moderate_low_gini1_plain_60s,interval-cutoff-oracle,compact_bc_leaf_diagnostic,True,False
moderate_low_gini1_static_tailored_60s,interval-cutoff-oracle,compact_bc_leaf_diagnostic,True,False
moderate_low_gini2_callback_auto_60s,interval-cutoff-oracle,compact_bc_leaf_diagnostic,True,False
option-consistency-test,option-consistency-test,tailored_bc_assisted_noncertified,False,False
option_consistency_recheck,option-consistency-test,off,False,False
option_consistency_test,option-consistency-test,off,False,False
s-bucket-coverage-test,s-bucket-coverage-test,tailored_bc_assisted_noncertified,False,False
tailored-bc-branch-callback-smoke-test,tailored-bc-branch-callback-smoke-test,tailored_bc_assisted_noncertified,False,False
tailored-bc-callback-smoke-test,tailored-bc-callback-smoke-test,tailored_bc_assisted_noncertified,False,False
tailored_bc_callback_smoke_test,tailored-bc-callback-smoke-test,tailored_bc_assisted_noncertified,False,False
transfer-cutset-validity-test,transfer-cutset-validity-test,tailored_bc_assisted_noncertified,False,False
