row,json,method,instance,status,certified_original_problem,lower_bound,upper_bound,gap,runtime_seconds,thread_fairness_class,source_class,callback_available,callback_user_cuts_total,callback_branch_events,progress_checkpoints_written,best_bound_available,bound_valid,fail_reason,plateau_detected,last_progress_elapsed,cuts_added_by_family,violations_by_family,diagnostic_row,paper_certificate_contamination,classification,evidence
moderate_low_gini1_static_tailored_60s,results\gf_tailored_bc_next_optimization_round\raw\moderate_low_gini1_static_tailored_60s.json,interval-cutoff-oracle,E:\codes\ExactEBRP\reference\hard_stress\V20_M3\moderate_seed3301.txt,wrapper_timeout_noncertified,False,0.0,0.0491525526647,1.0,180.11595559120178,one_thread_fair,compact_bc_leaf_diagnostic,True,,0,0,False,False,native_exit_before_solver_final_best_bound_api,True,,,,True,False,no_valid_bound_emitted,native_exit_before_solver_final_best_bound_api
moderate_low_gini2_callback_auto_60s,results\gf_tailored_bc_next_optimization_round\raw\moderate_low_gini2_callback_auto_60s.json,interval-cutoff-oracle,E:\codes\ExactEBRP\reference\hard_stress\V20_M3\moderate_seed3301.txt,wrapper_timeout_noncertified,False,0.0,0.0491525426647,1.0,180.11834478378296,one_thread_fair,compact_bc_leaf_diagnostic,True,,3046,12,False,False,native_exit_before_solver_final_best_bound_api,True,165.0796625,gini_interval=1;visit_inventory_linking=0;gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,gini_subset_envelope=0;low_gini_l1_centering=0;variable_s_centering=1;subset_inventory_imbalance=0;transfer_cutset=0;support_duration_pair=0;support_duration_triple=0;support_duration_quad=0;support_duration_lifted=0,True,False,no_valid_bound_emitted,native_exit_before_solver_final_best_bound_api
option-consistency-test,results\gf_tailored_bc_next_optimization_round\raw\option-consistency-test.json,option-consistency-test,E:\codes\ExactEBRP\testdata\examples\gcap_smoke_V4_M1.txt,diagnostic_complete,False,0,0.49,1,7.85e-05,one_thread_fair,tailored_bc_assisted_noncertified,True,0,0,0,False,False,,False,,,,False,False,,
option_consistency_recheck,results\gf_tailored_bc_next_optimization_round\raw\option_consistency_recheck.json,option-consistency-test,E:\codes\ExactEBRP\reference\regen_candidate_V12_M1_average.txt,diagnostic_complete,False,0,0.493696053863,1,9.13e-05,unknown_not_paper,off,False,0,0,0,False,False,,False,,,,False,False,,
option_consistency_test,results\gf_tailored_bc_next_optimization_round\raw\option_consistency_test.json,option-consistency-test,E:\codes\ExactEBRP\testdata\examples\gcap_smoke_V4_M1.txt,diagnostic_complete,False,0,0.49,1,9.52e-05,unknown_not_paper,off,False,0,0,0,False,False,,False,,,,False,False,,
s-bucket-coverage-test,results\gf_tailored_bc_next_optimization_round\raw\s-bucket-coverage-test.json,s-bucket-coverage-test,E:\codes\ExactEBRP\testdata\examples\gcap_smoke_V4_M1.txt,diagnostic_passed,False,0,0.49,1,0.0007541,one_thread_fair,tailored_bc_assisted_noncertified,True,0,0,0,False,False,,False,,,,False,False,,
tailored-bc-branch-callback-smoke-test,results\gf_tailored_bc_next_optimization_round\raw\tailored-bc-branch-callback-smoke-test.json,tailored-bc-branch-callback-smoke-test,E:\codes\ExactEBRP\testdata\examples\gcap_smoke_V4_M1.txt,diagnostic_passed,False,0,0.49,1,0.3877543,one_thread_fair,tailored_bc_assisted_noncertified,True,1,6053,0,False,False,,False,,callback_gini_interval_cap=1;callback_visit_inventory_linking=0;callback_gini_subset_envelope=0;callback_low_gini_l1_centering=0,,False,False,,
tailored-bc-callback-smoke-test,results\gf_tailored_bc_next_optimization_round\raw\tailored-bc-callback-smoke-test.json,tailored-bc-callback-smoke-test,E:\codes\ExactEBRP\testdata\examples\gcap_smoke_V4_M1.txt,diagnostic_passed,False,0,0.49,1,0.0009703,one_thread_fair,tailored_bc_assisted_noncertified,True,0,0,0,False,False,,False,,,,False,False,,
tailored_bc_callback_smoke_test,results\gf_tailored_bc_next_optimization_round\raw\tailored_bc_callback_smoke_test.json,tailored-bc-callback-smoke-test,E:\codes\ExactEBRP\testdata\examples\gcap_smoke_V4_M1.txt,diagnostic_passed,False,0,0.49,1,0.0012296,one_thread_fair,tailored_bc_assisted_noncertified,True,0,0,0,False,False,,False,,,,False,False,,
transfer-cutset-validity-test,results\gf_tailored_bc_next_optimization_round\raw\transfer-cutset-validity-test.json,transfer-cutset-validity-test,E:\codes\ExactEBRP\testdata\examples\gcap_smoke_V4_M1.txt,diagnostic_passed,False,0,0.49,1,0.0008212,one_thread_fair,tailored_bc_assisted_noncertified,True,1,0,0,False,False,,False,,vehicle_transfer_cutset=1,,False,False,,
