file,method,algorithm_preset,status,certified_original_problem,verifier_passed,thread_fairness_class,audit_passed,failures
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\certificate-basis-test.json,certificate-basis-test,paper-gf-tailored-bc,diagnostic_passed,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\certificate_basis_recheck.json,certificate-basis-test,custom,diagnostic_passed,False,True,unknown_not_paper,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\certificate_basis_test.json,certificate-basis-test,custom,diagnostic_passed,False,True,unknown_not_paper,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_high_imbalance_seed3202_cplex_60s.json,cplex,custom,not_certified,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_high_imbalance_seed3202_tailored_60s.json,gcap-frontier,paper-gf-tailored-bc,wrapper_timeout_noncertified,False,False,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_tight_T_seed3101_cplex_60s.json,cplex,custom,not_certified,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_tight_T_seed3101_tailored_60s.json,gcap-frontier,paper-gf-tailored-bc,wrapper_timeout_noncertified,False,False,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v12_m1_cplex_60s.json,cplex,custom,not_certified,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v12_m1_tailored_60s.json,gcap-frontier,paper-gf-tailored-bc,optimal,True,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v12_m1_tailored_60s_auto_oracle\interval_6.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,False,False,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v12_m1_tailored_60s_auto_oracle\interval_7.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_closed,False,False,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v12_m2_cplex_60s.json,cplex,custom,not_certified,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v12_m2_tailored_60s.json,gcap-frontier,paper-gf-tailored-bc,wrapper_timeout_noncertified,False,False,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v4_smoke_cplex_60s.json,cplex,custom,optimal,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\fair_v4_smoke_tailored_60s.json,gcap-frontier,paper-gf-tailored-bc,optimal,True,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\gini-subset-envelope-test.json,gini-subset-envelope-test,paper-gf-tailored-bc,diagnostic_passed,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\interval_callback_smoke.json,interval-cutoff-oracle,paper-gf-tailored-bc,interval_feasible_improving_ub,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\low-gini-l1-centering-test.json,low-gini-l1-centering-test,paper-gf-tailored-bc,diagnostic_passed,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\moderate_low_gini1_callback_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,False,False,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\moderate_low_gini1_callback_auto_10s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,False,False,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\moderate_low_gini1_callback_auto_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,False,False,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\moderate_low_gini1_plain_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,False,False,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\moderate_low_gini1_static_tailored_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,False,False,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\moderate_low_gini2_callback_auto_60s.json,interval-cutoff-oracle,paper-gf-tailored-bc,wrapper_timeout_noncertified,False,False,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\option-consistency-test.json,option-consistency-test,paper-gf-tailored-bc,diagnostic_complete,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\option_consistency_recheck.json,option-consistency-test,custom,diagnostic_complete,False,True,unknown_not_paper,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\option_consistency_test.json,option-consistency-test,custom,diagnostic_complete,False,True,unknown_not_paper,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\s-bucket-coverage-test.json,s-bucket-coverage-test,paper-gf-tailored-bc,diagnostic_passed,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\tailored-bc-branch-callback-smoke-test.json,tailored-bc-branch-callback-smoke-test,paper-gf-tailored-bc,diagnostic_passed,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\tailored-bc-callback-smoke-test.json,tailored-bc-callback-smoke-test,paper-gf-tailored-bc,diagnostic_passed,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\tailored_bc_callback_smoke_test.json,tailored-bc-callback-smoke-test,paper-gf-tailored-bc,diagnostic_passed,False,True,one_thread_fair,True,
E:\codes\ExactEBRP\results\gf_tailored_bc_next_optimization_round\raw\transfer-cutset-validity-test.json,transfer-cutset-validity-test,paper-gf-tailored-bc,diagnostic_passed,False,True,one_thread_fair,True,
